"var","categoria","Alberto Fernández presidente – Daniel Scioli vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P04","Tengo trabajo estable",0.411,0.433,0.407
"P04","Realizo changas o trabajos de vez en cuando",0.22,0.159,0.222
"P04","No tengo trabajo",0.163,0.162,0.222
"P04","Soy jubilado o pensionado",0.206,0.246,0.149
"P05","1",0.192,0.364,0.306
"P05","2",0.047,0.069,0.068
"P05","3",0.027,0.095,0.062
"P05","4",0.036,0.096,0.061
"P05","5",0.14,0.2,0.223
"P05","6",0.08,0.037,0.041
"P05","7",0.149,0.035,0.048
"P05","8",0.093,0.026,0.043
"P05","9",0.236,0.078,0.148
"P06","1",0.467,0.159,0.213
"P06","2",0.078,0.038,0.041
"P06","3",0.068,0.028,0.048
"P06","4",0.048,0.039,0.05
"P06","5",0.14,0.191,0.203
"P06","6",0.026,0.069,0.042
"P06","7",0.023,0.087,0.051
"P06","8",0.028,0.084,0.056
"P06","9",0.122,0.305,0.296
"P07","1",0.603,0.236,0.302
"P07","2",0.029,0.035,0.029
"P07","3",0.026,0.027,0.031
"P07","4",0.012,0.024,0.027
"P07","5",0.059,0.119,0.099
"P07","6",0.011,0.025,0.019
"P07","7",0.017,0.054,0.036
"P07","8",0.012,0.058,0.045
"P07","9",0.231,0.422,0.412
"P09","Del Frente de Todos y el peronismo",0.813,0.046,0.18
"P09","De Cambiemos",0.054,0.624,0.183
"P09","De los Liberales libertarios",0.02,0.197,0.304
"P09","De la Izquierda",0.033,0.016,0.055
"P09","No sabe",0.08,0.117,0.278
"P10","A Alberto Fernández",0.196,0.105,0.101
"P10","A Sergio Massa",0.178,0.309,0.23
"P10","A algún candidato del peronismo",0.13,0.459,0.209
"P10","A algún candidato del kirchnerismo",0.496,0.127,0.46
"P11","A Alberto Fernández",0.144,0.07,0.073
"P11","A Sergio Massa",0.118,0.254,0.192
"P11","A algún candidato del peronismo",0.057,0.525,0.167
"P11","A Cristina Fernández de Kirchner",0.681,0.151,0.568
"P12","A Horacio Rodriguez Larreta",0.31,0.228,0.085
"P12","A Mauricio Macri",0.238,0.328,0.436
"P12","A Patricia Bullrich",0.128,0.342,0.341
"P12","A Facundo Manes",0.212,0.066,0.09
"P12","A Gerardo Morales",0.112,0.036,0.048
"P13","Seguro lo votaria",0.252,0.204,0.23
"P13","Quizás lo votaría",0.34,0.314,0.28
"P13","Nunca lo votaría",0.408,0.482,0.49
"P14","Lo votaría",0.034,0.465,0.156
"P14","Puede que lo vote",0.044,0.301,0.212
"P14","Nunca lo votaría",0.845,0.179,0.503
"P14","No sabe",0.077,0.055,0.129
"P15","Lo votaría",0.291,0.06,0.086
"P15","Puede que lo vote",0.401,0.068,0.167
"P15","Nunca lo votaría",0.209,0.827,0.64
"P15","No sabe",0.099,0.045,0.107
"P16","Lo votaría",0.342,0.009,0.044
"P16","Puede que lo vote",0.422,0.019,0.104
"P16","Nunca lo votaría",0.158,0.952,0.758
"P16","No sabe",0.078,0.02,0.094
"P17","La votaría",0.756,0.013,0.176
"P17","Puede que la vote",0.129,0.019,0.068
"P17","Nunca la votaría",0.087,0.958,0.692
"P17","No sabe",0.028,0.01,0.064
"P18","Lo votaría",0.052,0.313,0.04
"P18","Puede que lo vote",0.062,0.467,0.175
"P18","Nunca lo votaría",0.828,0.177,0.663
"P18","No sabe",0.058,0.043,0.122
"P19","Lo votaría",0.035,0.177,0.05
"P19","Puede que lo vote",0.096,0.407,0.198
"P19","Nunca lo votaría",0.726,0.311,0.579
"P19","No sabe",0.143,0.105,0.173
"P20","La votaría",0.025,0.513,0.204
"P20","Puede que la vote",0.04,0.286,0.217
"P20","Nunca la votaría",0.886,0.16,0.488
"P20","No sabe",0.049,0.041,0.091
"P21","Lo votaría",0.034,0.251,0.327
"P21","Puede que lo vote",0.057,0.265,0.145
"P21","Nunca lo votaría",0.848,0.427,0.434
"P21","No sabe",0.061,0.057,0.094
"P22","La votaría",0.015,0.242,0.088
"P22","Puede que la vote",0.06,0.384,0.163
"P22","Nunca la votaría",0.843,0.283,0.625
"P22","No sabe",0.082,0.091,0.124
"P23","Lo votaría",0.215,0.023,0.035
"P23","Puede que lo vote",0.465,0.062,0.132
"P23","Nunca lo votaría",0.227,0.891,0.745
"P23","No sabe",0.093,0.024,0.088
"P24","Lo votaría",0.025,0.098,0.016
"P24","Puede que lo vote",0.097,0.284,0.103
"P24","Nunca lo votaría",0.75,0.513,0.71
"P24","No sabe",0.128,0.105,0.171
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.01,0.44,0.157
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.021,0.258,0.04
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.159,0.011,0.014
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.747,0.018,0.212
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.019,0.187,0.34
"P25","Otros candidatos",0.044,0.086,0.237
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.866,0.026,0.225
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.026,0.612,0.154
"P29","Javier Milei – José Luis Espert por los liberales",0.023,0.223,0.379
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.035,0.011,0.037
"P29","Otro candidato",0.05,0.128,0.205
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.071,0.576,0.084
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.697,0.058,0.06
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.037,0.246,0.4
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.05,0.008,0.06
"P31","Otro candidato",0.145,0.112,0.396
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.697,0.06,0.151
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.04,0.648,0.202
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.035,0.191,0.331
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.046,0.007,0.051
"P33","Otro candidato",0.182,0.094,0.265
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.558,0.182,0.126
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.208,0.456,0.097
"P35","Javier Milei – José Luis Espert por los liberales",0.029,0.258,0.393
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.042,0.009,0.049
"P35","Otro candidato",0.163,0.095,0.335
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.469,0.295,0.148
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.412,0.336,0.116
"P37","Javier Milei – José Luis Espert por los liberales",0.02,0.256,0.399
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.029,0.008,0.041
"P37","Otro candidato",0.07,0.105,0.296
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.875,0.06,0.206
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.052,0.801,0.258
"P38","No sabe",0.073,0.139,0.536
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.825,0.04,0.138
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.03,0.859,0.288
"P40","No sabe",0.145,0.101,0.574
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.899,0.022,0.222
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.02,0.91,0.115
"P41","No sabe",0.081,0.068,0.663
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.826,0.035,0.176
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.026,0.874,0.104
"P42","No sabe",0.148,0.091,0.72
"P43","Muy buena",0.184,0.005,0.025
"P43","Buena",0.382,0.067,0.055
"P43","Ni buena ni mala",0.275,0.04,0.181
"P43","Mala",0.104,0.113,0.171
"P43","Muy mala",0.044,0.771,0.546
"P43","No sabe",0.011,0.004,0.022
"P44","Muy de acuerdo",0.335,0.095,0.131
"P44","De acuerdo",0.309,0.146,0.12
"P44","Ni de acuerdo ni en desacuerdo",0.249,0.305,0.309
"P44","En desacuerdo",0.039,0.174,0.162
"P44","Muy en desacuerdo",0.029,0.231,0.181
"P44","No sabe",0.039,0.049,0.097
"P45","Muy de acuerdo",0.358,0.045,0.099
"P45","De acuerdo",0.339,0.075,0.116
"P45","Ni de acuerdo ni en desacuerdo",0.206,0.295,0.29
"P45","En desacuerdo",0.046,0.209,0.147
"P45","Muy en desacuerdo",0.029,0.35,0.292
"P45","No sabe",0.022,0.026,0.056
"P46","Si",0.648,0.069,0.183
"P46","No",0.123,0.723,0.52
"P46","No sabe",0.229,0.208,0.297
"P47","Muy buena",0.239,0.012,0.043
"P47","Buena",0.384,0.079,0.084
"P47","Ni buena ni mala",0.239,0.067,0.188
"P47","Mala",0.095,0.13,0.167
"P47","Muy mala",0.04,0.709,0.505
"P47","No sabe",0.003,0.003,0.013
"P48","Muy buena",0.663,0.009,0.136
"P48","Buena",0.17,0.016,0.058
"P48","Ni buena ni mala",0.085,0.021,0.094
"P48","Mala",0.037,0.073,0.102
"P48","Muy mala",0.042,0.877,0.593
"P48","No sabe",0.003,0.004,0.017
"P49","Muy buena",0.075,0.264,0.109
"P49","Buena",0.019,0.306,0.144
"P49","Ni buena ni mala",0.061,0.198,0.174
