"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P04","Tengo trabajo estable",0.474,0.463,0.416,0.404,0.372,0.323
"P04","Realizo changas o trabajos de vez en cuando",0.172,0.16,0.189,0.218,0.224,0.224
"P04","No tengo trabajo",0.169,0.125,0.191,0.192,0.244,0.205
"P04","Soy jubilado o pensionado",0.185,0.252,0.204,0.186,0.16,0.248
"P05","1",0.216,0.221,0.287,0.357,0.411,0.282
"P05","2",0.047,0.049,0.068,0.068,0.07,0.104
"P05","3",0.051,0.063,0.073,0.066,0.095,0.046
"P05","4",0.056,0.084,0.07,0.078,0.065,0.058
"P05","5",0.194,0.186,0.2,0.202,0.187,0.202
"P05","6",0.067,0.062,0.053,0.036,0.02,0.056
"P05","7",0.11,0.114,0.067,0.035,0.024,0.04
"P05","8",0.074,0.056,0.053,0.037,0.021,0.043
"P05","9",0.185,0.165,0.129,0.121,0.107,0.169
"P06","1",0.36,0.296,0.23,0.214,0.175,0.218
"P06","2",0.05,0.07,0.04,0.045,0.042,0.024
"P06","3",0.078,0.049,0.037,0.044,0.033,0.025
"P06","4",0.043,0.051,0.054,0.053,0.023,0.063
"P06","5",0.16,0.163,0.213,0.203,0.173,0.189
"P06","6",0.04,0.058,0.063,0.043,0.043,0.038
"P06","7",0.061,0.069,0.063,0.051,0.055,0.039
"P06","8",0.044,0.065,0.071,0.049,0.052,0.081
"P06","9",0.164,0.179,0.229,0.298,0.404,0.323
"P07","1",0.524,0.454,0.304,0.289,0.242,0.275
"P07","2",0.03,0.047,0.032,0.025,0.024,0.019
"P07","3",0.021,0.038,0.041,0.019,0.013,0.009
"P07","4",0.023,0.025,0.027,0.024,0.02,0.013
"P07","5",0.083,0.077,0.11,0.096,0.122,0.094
"P07","6",0.017,0.022,0.021,0.018,0.016,0.032
"P07","7",0.024,0.042,0.041,0.037,0.054,0.035
"P07","8",0.027,0.04,0.039,0.049,0.057,0.062
"P07","9",0.251,0.255,0.385,0.443,0.452,0.461
"P09","Del Frente de Todos y el peronismo",0.572,0.476,0.244,0.118,0.075,0.18
"P09","De Cambiemos",0.146,0.232,0.352,0.444,0.473,0.253
"P09","De los Liberales libertarios",0.141,0.136,0.171,0.213,0.298,0.243
"P09","De la Izquierda",0.036,0.028,0.041,0.054,0.015,0.022
"P09","No sabe",0.105,0.128,0.192,0.171,0.139,0.302
"P10","A Alberto Fernández",0.153,0.142,0.205,0.203,0.157,0.228
"P10","A Sergio Massa",0.25,0.149,0.203,0.115,0.069,0.142
"P10","A algún candidato del peronismo",0.139,0.131,0.172,0.314,0.489,0.141
"P10","A algún candidato del kirchnerismo",0.458,0.578,0.42,0.368,0.285,0.489
"P11","A Alberto Fernández",0.113,0.08,0.172,0.077,0.047,0.241
"P11","A Sergio Massa",0.182,0.092,0.159,0.052,0.062,0.121
"P11","A algún candidato del peronismo",0.061,0.083,0.096,0.281,0.616,0.134
"P11","A Cristina Fernández de Kirchner",0.644,0.745,0.573,0.59,0.275,0.504
"P12","A Horacio Rodriguez Larreta",0.247,0.205,0.211,0.214,0.154,0.189
"P12","A Mauricio Macri",0.228,0.266,0.351,0.317,0.443,0.365
"P12","A Patricia Bullrich",0.361,0.34,0.328,0.363,0.311,0.361
"P12","A Facundo Manes",0.122,0.124,0.075,0.051,0.065,0.036
"P12","A Gerardo Morales",0.042,0.065,0.035,0.055,0.027,0.049
"P13","Seguro lo votaria",0.252,0.16,0.158,0.265,0.251,0.194
"P13","Quizás lo votaría",0.364,0.317,0.305,0.261,0.293,0.3
"P13","Nunca lo votaría",0.384,0.523,0.537,0.474,0.456,0.506
"P14","Lo votaría",0.129,0.142,0.267,0.329,0.387,0.193
"P14","Puede que lo vote",0.129,0.187,0.204,0.235,0.264,0.243
"P14","Nunca lo votaría",0.686,0.6,0.436,0.34,0.275,0.38
"P14","No sabe",0.056,0.071,0.093,0.096,0.074,0.184
"P15","Lo votaría",0.328,0.154,0.078,0.057,0.064,0.098
"P15","Puede que lo vote",0.279,0.331,0.16,0.081,0.074,0.147
"P15","Nunca lo votaría",0.344,0.421,0.669,0.772,0.823,0.575
"P15","No sabe",0.049,0.094,0.093,0.09,0.039,0.18
"P16","Lo votaría",0.225,0.136,0.1,0.026,0.019,0.093
"P16","Puede que lo vote",0.278,0.293,0.12,0.069,0.017,0.099
"P16","Nunca lo votaría",0.446,0.499,0.705,0.858,0.943,0.668
"P16","No sabe",0.051,0.072,0.075,0.047,0.021,0.14
"P17","La votaría",0.539,0.418,0.218,0.099,0.042,0.191
"P17","Puede que la vote",0.091,0.084,0.074,0.047,0.017,0.052
"P17","Nunca la votaría",0.355,0.46,0.668,0.819,0.929,0.668
"P17","No sabe",0.015,0.038,0.04,0.035,0.012,0.089
"P18","Lo votaría",0.094,0.134,0.155,0.194,0.19,0.088
"P18","Puede que lo vote",0.146,0.216,0.286,0.345,0.307,0.277
"P18","Nunca lo votaría",0.727,0.598,0.458,0.412,0.424,0.447
"P18","No sabe",0.033,0.052,0.101,0.049,0.079,0.188
"P19","Lo votaría",0.073,0.075,0.091,0.103,0.155,0.054
"P19","Puede que lo vote",0.171,0.23,0.272,0.319,0.284,0.273
