"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P04","Tengo trabajo estable",0.44,0.42,0.391
"P04","Realizo changas o trabajos de vez en cuando",0.2,0.171,0.227
"P04","No tengo trabajo",0.155,0.17,0.238
"P04","Soy jubilado o pensionado",0.205,0.239,0.144
"P05","1",0.174,0.371,0.323
"P05","2",0.051,0.075,0.061
"P05","3",0.023,0.096,0.077
"P05","4",0.037,0.092,0.072
"P05","5",0.143,0.2,0.246
"P05","6",0.084,0.038,0.027
"P05","7",0.144,0.031,0.04
"P05","8",0.093,0.023,0.033
"P05","9",0.251,0.074,0.121
"P06","1",0.455,0.157,0.166
"P06","2",0.072,0.037,0.034
"P06","3",0.07,0.029,0.042
"P06","4",0.055,0.039,0.046
"P06","5",0.146,0.192,0.219
"P06","6",0.029,0.068,0.047
"P06","7",0.024,0.084,0.063
"P06","8",0.03,0.079,0.063
"P06","9",0.119,0.315,0.32
"P07","1",0.606,0.23,0.247
"P07","2",0.034,0.035,0.024
"P07","3",0.031,0.026,0.029
"P07","4",0.017,0.023,0.028
"P07","5",0.057,0.12,0.109
"P07","6",0.011,0.021,0.027
"P07","7",0.019,0.053,0.043
"P07","8",0.017,0.057,0.05
"P07","9",0.208,0.435,0.443
"P09","Del Frente de Todos y el peronismo",0.795,0.034,0.084
"P09","De Cambiemos",0.039,0.628,0.201
"P09","De los Liberales libertarios",0.023,0.206,0.354
"P09","De la Izquierda",0.038,0.014,0.06
"P09","No sabe",0.105,0.118,0.301
"P10","A Alberto Fernández",0.157,0.193,0.33
"P10","A Sergio Massa",0.19,0.19,0.238
"P10","A algún candidato del peronismo",0.133,0.53,0.306
"P10","A algún candidato del kirchnerismo",0.52,0.087,0.126
"P11","A Alberto Fernández",0.108,0.137,0.257
"P11","A Sergio Massa",0.128,0.189,0.218
"P11","A algún candidato del peronismo",0.057,0.628,0.382
"P11","A Cristina Fernández de Kirchner",0.707,0.046,0.143
"P12","A Horacio Rodriguez Larreta",0.22,0.225,0.074
"P12","A Mauricio Macri",0.271,0.333,0.433
"P12","A Patricia Bullrich",0.064,0.343,0.365
"P12","A Facundo Manes",0.26,0.063,0.093
"P12","A Gerardo Morales",0.185,0.036,0.035
"P13","Seguro lo votaria",0.21,0.214,0.185
"P13","Quizás lo votaría",0.268,0.308,0.292
"P13","Nunca lo votaría",0.522,0.478,0.523
"P14","Lo votaría",0.028,0.46,0.185
"P14","Puede que lo vote",0.038,0.308,0.244
"P14","Nunca lo votaría",0.867,0.172,0.425
"P14","No sabe",0.067,0.06,0.146
"P15","Lo votaría",0.285,0.051,0.064
"P15","Puede que lo vote",0.393,0.065,0.13
"P15","Nunca lo votaría",0.21,0.836,0.712
"P15","No sabe",0.112,0.048,0.094
"P16","Lo votaría",0.268,0.01,0.057
"P16","Puede que lo vote",0.394,0.017,0.075
"P16","Nunca lo votaría",0.233,0.953,0.796
"P16","No sabe",0.105,0.02,0.072
"P17","La votaría",0.776,0.004,0.048
"P17","Puede que la vote",0.138,0.011,0.057
"P17","Nunca la votaría",0.057,0.971,0.828
"P17","No sabe",0.029,0.014,0.067
"P18","Lo votaría",0.054,0.302,0.036
"P18","Puede que lo vote",0.065,0.46,0.197
"P18","Nunca lo votaría",0.829,0.191,0.625
"P18","No sabe",0.052,0.047,0.142
"P19","Lo votaría",0.028,0.171,0.062
"P19","Puede que lo vote",0.105,0.409,0.202
"P19","Nunca lo votaría",0.736,0.306,0.558
"P19","No sabe",0.131,0.114,0.178
"P20","La votaría",0.018,0.52,0.235
"P20","Puede que la vote",0.042,0.294,0.238
"P20","Nunca la votaría",0.894,0.149,0.42
"P20","No sabe",0.046,0.037,0.107
"P21","Lo votaría",0.035,0.269,0.361
"P21","Puede que lo vote",0.062,0.263,0.156
"P21","Nunca lo votaría",0.853,0.413,0.374
"P21","No sabe",0.05,0.055,0.109
"P22","La votaría",0.018,0.248,0.092
"P22","Puede que la vote",0.044,0.385,0.189
"P22","Nunca la votaría",0.868,0.272,0.582
"P22","No sabe",0.07,0.095,0.137
"P23","Lo votaría",0.193,0.02,0.022
"P23","Puede que lo vote",0.459,0.05,0.085
"P23","Nunca lo votaría",0.261,0.898,0.814
"P23","No sabe",0.087,0.032,0.079
"P24","Lo votaría",0.02,0.095,0.017
"P24","Puede que lo vote",0.103,0.268,0.11
"P24","Nunca lo votaría",0.758,0.527,0.698
"P24","No sabe",0.119,0.11,0.175
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.007,0.434,0.191
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.01,0.254,0.044
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.101,0.004,0.051
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.813,0.008,0.049
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.009,0.209,0.394
"P25","Otros candidatos",0.06,0.091,0.271
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.905,0.015,0.066
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.017,0.6,0.191
"P29","Javier Milei – José Luis Espert por los liberales",0.015,0.249,0.433
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.033,0.011,0.041
"P29","Otro candidato",0.03,0.125,0.269
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.079,0.56,0.073
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.574,0.05,0.071
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.033,0.272,0.455
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.066,0.008,0.045
"P31","Otro candidato",0.248,0.11,0.356
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.675,0.048,0.081
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.033,0.654,0.22
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.024,0.203,0.398
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.058,0.006,0.038
"P33","Otro candidato",0.21,0.089,0.263
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.537,0.17,0.079
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.205,0.446,0.067
"P35","Javier Milei – José Luis Espert por los liberales",0.02,0.281,0.454
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.055,0.006,0.04
"P35","Otro candidato",0.183,0.097,0.36
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.481,0.285,0.067
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.433,0.318,0.045
"P37","Javier Milei – José Luis Espert por los liberales",0.009,0.284,0.455
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.029,0.009,0.046
"P37","Otro candidato",0.048,0.104,0.387
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.905,0.047,0.05
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.055,0.791,0.296
"P38","No sabe",0.04,0.162,0.654
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.729,0.013,0.075
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.026,0.884,0.092
"P39","No sabe",0.245,0.103,0.833
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.78,0.027,0.068
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.016,0.868,0.329
"P40","No sabe",0.204,0.105,0.603
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.811,0.028,0.069
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.015,0.904,0.06
"P42","No sabe",0.174,0.068,0.871
