"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.415,0.393,0.448,0.492,0.367
"P04","Realizo changas o trabajos de vez en cuando",0.219,0.168,0.235,0.254,0.214
"P04","No tengo trabajo",0.176,0.154,0.237,0.16,0.221
"P04","Soy jubilado o pensionado",0.19,0.285,0.08,0.094,0.198
"P05","1",0.205,0.393,0.384,0.165,0.249
"P05","2",0.054,0.071,0.075,0.044,0.054
"P05","3",0.029,0.087,0.088,0.028,0.057
"P05","4",0.038,0.089,0.073,0.056,0.085
"P05","5",0.131,0.194,0.19,0.152,0.318
"P05","6",0.078,0.031,0.024,0.06,0.051
"P05","7",0.128,0.033,0.026,0.117,0.054
"P05","8",0.09,0.024,0.04,0.062,0.018
"P05","9",0.247,0.078,0.1,0.316,0.114
"P06","1",0.457,0.172,0.126,0.35,0.2
"P06","2",0.073,0.035,0.039,0.051,0.034
"P06","3",0.064,0.031,0.023,0.129,0.032
"P06","4",0.05,0.034,0.035,0.072,0.062
"P06","5",0.144,0.177,0.173,0.204,0.313
"P06","6",0.028,0.056,0.042,0.043,0.067
"P06","7",0.024,0.084,0.066,0.024,0.045
"P06","8",0.025,0.077,0.093,0.054,0.039
"P06","9",0.135,0.334,0.403,0.073,0.208
"P07","1",0.582,0.214,0.204,0.649,0.324
"P07","2",0.031,0.029,0.029,0.048,0.033
"P07","3",0.029,0.03,0.025,0.018,0.028
"P07","4",0.016,0.024,0.023,0.018,0.022
"P07","5",0.054,0.111,0.122,0.048,0.112
"P07","6",0.01,0.02,0.021,0.002,0.022
"P07","7",0.017,0.051,0.05,0.039,0.028
"P07","8",0.014,0.049,0.062,0.02,0.05
"P07","9",0.247,0.472,0.464,0.158,0.381
"P09","Del Frente de Todos y el peronismo",0.782,0.046,0.03,0.148,0.122
"P09","De Cambiemos",0.051,0.801,0.109,0.083,0.247
"P09","De los Liberales libertarios",0.013,0.049,0.68,0.096,0.062
"P09","De la Izquierda",0.017,0.011,0.027,0.494,0.036
"P09","No sabe",0.137,0.093,0.154,0.179,0.533
"P10","A Alberto Fernández",0.157,0.105,0.346,0.281,0.337
"P10","A Sergio Massa",0.19,0.24,0.269,0.246,0.217
"P10","A algún candidato del peronismo",0.139,0.524,0.263,0.173,0.339
"P10","A algún candidato del kirchnerismo",0.514,0.131,0.122,0.3,0.107
"P11","A Alberto Fernández",0.117,0.083,0.315,0.138,0.286
"P11","A Sergio Massa",0.13,0.157,0.295,0.236,0.214
"P11","A algún candidato del peronismo",0.065,0.58,0.325,0.251,0.406
"P11","A Cristina Fernández de Kirchner",0.688,0.18,0.065,0.375,0.094
"P12","A Horacio Rodriguez Larreta",0.187,0.19,0.261,0.363,0.303
"P12","A Mauricio Macri",0.292,0.412,0.279,0.123,0.083
"P12","A Patricia Bullrich",0.107,0.334,0.36,0.07,0.32
"P12","A Facundo Manes",0.218,0.045,0.072,0.38,0.17
"P12","A Gerardo Morales",0.196,0.019,0.028,0.064,0.124
"P13","Seguro lo votaria",0.328,0.197,0.545,0.336,0.114
"P13","Quizás lo votaría",0.318,0.312,0.398,0.166,0.22
"P13","Nunca lo votaría",0.354,0.491,0.057,0.498,0.666
"P14","Lo votaría",0.024,0.634,0.154,0.039,0.053
"P14","Puede que lo vote",0.045,0.268,0.34,0.113,0.197
"P14","Nunca lo votaría",0.85,0.068,0.398,0.719,0.541
"P14","No sabe",0.081,0.03,0.108,0.129,0.209
"P15","Lo votaría",0.276,0.064,0.045,0.102,0.072
"P15","Puede que lo vote",0.389,0.063,0.098,0.219,0.179
"P15","Nunca lo votaría",0.218,0.839,0.797,0.606,0.533
"P15","No sabe",0.117,0.034,0.06,0.073,0.216
"P16","Lo votaría",0.285,0.015,0.018,0.088,0.085
"P16","Puede que lo vote",0.38,0.027,0.034,0.183,0.092
"P16","Nunca lo votaría",0.227,0.939,0.913,0.6,0.685
"P16","No sabe",0.108,0.019,0.035,0.129,0.138
"P17","La votaría",0.775,0.013,0.023,0.146,0.063
"P17","Puede que la vote",0.134,0.016,0.02,0.195,0.064
"P17","Nunca la votaría",0.054,0.956,0.936,0.571,0.737
"P17","No sabe",0.037,0.015,0.021,0.088,0.136
"P18","Lo votaría",0.057,0.309,0.078,0.106,0.11
"P18","Puede que lo vote",0.082,0.434,0.25,0.146,0.259
"P18","Nunca lo votaría",0.796,0.205,0.594,0.685,0.401
"P18","No sabe",0.065,0.052,0.078,0.063,0.23
"P19","Lo votaría",0.024,0.152,0.072,0.097,0.133
"P19","Puede que lo vote",0.105,0.399,0.225,0.242,0.242
"P19","Nunca lo votaría",0.714,0.342,0.566,0.545,0.358
"P19","No sabe",0.157,0.107,0.137,0.116,0.267
"P20","La votaría",0.021,0.564,0.284,0.053,0.159
"P20","Puede que la vote",0.041,0.275,0.316,0.143,0.184
"P20","Nunca la votaría",0.877,0.116,0.334,0.749,0.485
"P20","No sabe",0.061,0.045,0.066,0.055,0.172
"P21","Lo votaría",0.022,0.126,0.719,0.084,0.059
"P21","Puede que lo vote",0.06,0.285,0.18,0.149,0.151
"P21","Nunca lo votaría",0.837,0.516,0.071,0.668,0.603
"P21","No sabe",0.081,0.073,0.03,0.099,0.187
"P22","La votaría",0.013,0.298,0.109,0.052,0.056
"P22","Puede que la vote",0.048,0.39,0.245,0.155,0.176
"P22","Nunca la votaría",0.838,0.228,0.539,0.691,0.54
"P22","No sabe",0.101,0.084,0.107,0.102,0.228
"P23","Lo votaría",0.184,0.03,0.013,0.016,0.03
"P23","Puede que lo vote",0.432,0.057,0.054,0.226,0.117
"P23","Nunca lo votaría",0.275,0.873,0.886,0.658,0.699
"P23","No sabe",0.109,0.04,0.047,0.1,0.154
"P24","Lo votaría",0.02,0.079,0.03,0.032,0.072
"P24","Puede que lo vote",0.094,0.279,0.11,0.2,0.137
"P24","Nunca lo votaría",0.73,0.536,0.74,0.588,0.535
"P24","No sabe",0.156,0.106,0.12,0.18,0.256
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.009,0.692,0.056,0.021,0.042
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.014,0.207,0.066,0.142,0.209
