"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P04","Tengo trabajo estable",0.375,0.435,0.421
"P04","Realizo changas o trabajos de vez en cuando",0.276,0.209,0.154
"P04","No tengo trabajo",0.189,0.157,0.172
"P04","Soy jubilado o pensionado",0.16,0.199,0.253
"P05","1",0.425,0.373,0.367
"P05","2",0.063,0.069,0.069
"P05","3",0.06,0.1,0.096
"P05","4",0.057,0.097,0.1
"P05","5",0.168,0.183,0.205
"P05","6",0.018,0.031,0.043
"P05","7",0.02,0.04,0.043
"P05","8",0.047,0.023,0.013
"P05","9",0.142,0.084,0.064
"P06","1",0.278,0.17,0.151
"P06","2",0.06,0.032,0.039
"P06","3",0.039,0.036,0.028
"P06","4",0.021,0.031,0.044
"P06","5",0.132,0.17,0.21
"P06","6",0.024,0.067,0.079
"P06","7",0.039,0.1,0.085
"P06","8",0.071,0.077,0.073
"P06","9",0.336,0.317,0.291
"P07","1",0.285,0.234,0.219
"P07","2",0.032,0.033,0.041
"P07","3",0.015,0.039,0.03
"P07","4",0.021,0.013,0.023
"P07","5",0.112,0.102,0.137
"P07","6",0.013,0.026,0.02
"P07","7",0.01,0.069,0.049
"P07","8",0.028,0.052,0.06
"P07","9",0.484,0.432,0.421
"P12","A Horacio Rodriguez Larreta",0.286,0.213,0.186
"P12","A Mauricio Macri",0.37,0.39,0.329
"P12","A Patricia Bullrich",0.235,0.311,0.323
"P12","A Facundo Manes",0.059,0.062,0.102
"P12","A Gerardo Morales",0.05,0.024,0.06
"P14","Lo votaría",0.604,0.511,0.538
"P14","Puede que lo vote",0.227,0.377,0.214
"P14","Nunca lo votaría",0.145,0.09,0.213
"P14","No sabe",0.024,0.022,0.035
"P15","Lo votaría",0.106,0.069,0.053
"P15","Puede que lo vote",0.117,0.099,0.056
"P15","Nunca lo votaría",0.733,0.788,0.857
"P15","No sabe",0.044,0.044,0.034
"P16","Lo votaría",0.052,0.033,0.041
"P16","Puede que lo vote",0.049,0.045,0.016
"P16","Nunca lo votaría",0.87,0.894,0.932
"P16","No sabe",0.029,0.028,0.011
"P17","La votaría",0.054,0.035,0.036
"P17","Puede que la vote",0.02,0.033,0.013
"P17","Nunca la votaría",0.91,0.908,0.939
"P17","No sabe",0.016,0.024,0.012
"P18","Lo votaría",0.343,0.278,0.301
"P18","Puede que lo vote",0.356,0.454,0.423
"P18","Nunca lo votaría",0.269,0.215,0.236
"P18","No sabe",0.032,0.053,0.04
"P19","Lo votaría",0.179,0.171,0.164
"P19","Puede que lo vote",0.375,0.418,0.366
"P19","Nunca lo votaría",0.351,0.293,0.397
"P19","No sabe",0.095,0.118,0.073
"P20","La votaría",0.482,0.511,0.552
"P20","Puede que la vote",0.287,0.317,0.266
"P20","Nunca la votaría",0.158,0.116,0.157
"P20","No sabe",0.073,0.056,0.025
"P21","Lo votaría",0.348,0.101,0.052
"P21","Puede que lo vote",0.278,0.575,0.095
"P21","Nunca lo votaría",0.299,0.227,0.821
"P21","No sabe",0.075,0.097,0.032
"P22","La votaría",0.316,0.256,0.241
"P22","Puede que la vote",0.305,0.409,0.388
"P22","Nunca la votaría",0.275,0.221,0.312
"P22","No sabe",0.104,0.114,0.059
"P23","Lo votaría",0.028,0.03,0.025
"P23","Puede que lo vote",0.088,0.076,0.036
"P23","Nunca lo votaría",0.836,0.832,0.909
"P23","No sabe",0.048,0.062,0.03
"P24","Lo votaría",0.121,0.057,0.101
"P24","Puede que lo vote",0.227,0.292,0.26
"P24","Nunca lo votaría",0.555,0.527,0.548
"P24","No sabe",0.097,0.124,0.091
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.504,0.566,0.583
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.242,0.236,0.224
