"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P04","Tengo trabajo estable",0.386,0.438,0.427,0.247
"P04","Realizo changas o trabajos de vez en cuando",0.179,0.196,0.224,0.308
"P04","No tengo trabajo",0.174,0.191,0.194,0.285
"P04","Soy jubilado o pensionado",0.261,0.175,0.155,0.16
"P05","1",0.411,0.338,0.246,0.281
"P05","2",0.075,0.068,0.056,0.077
"P05","3",0.102,0.067,0.039,0.038
"P05","4",0.082,0.086,0.05,0.066
"P05","5",0.167,0.236,0.19,0.232
"P05","6",0.028,0.044,0.06,0.041
"P05","7",0.028,0.037,0.098,0.036
"P05","8",0.026,0.03,0.064,0.035
"P05","9",0.081,0.094,0.197,0.194
"P06","1",0.149,0.137,0.365,0.272
"P06","2",0.039,0.035,0.066,0.035
"P06","3",0.024,0.039,0.055,0.018
"P06","4",0.029,0.043,0.054,0.04
"P06","5",0.151,0.219,0.188,0.282
"P06","6",0.047,0.067,0.037,0.042
"P06","7",0.09,0.072,0.029,0.029
"P06","8",0.088,0.08,0.033,0.039
"P06","9",0.383,0.308,0.173,0.243
"P07","1",0.219,0.233,0.475,0.292
"P07","2",0.031,0.029,0.037,0.013
"P07","3",0.023,0.032,0.029,0.036
"P07","4",0.021,0.025,0.017,0.022
"P07","5",0.129,0.116,0.07,0.084
"P07","6",0.025,0.031,0.009,0.023
"P07","7",0.046,0.058,0.023,0.022
"P07","8",0.047,0.056,0.028,0.041
"P07","9",0.459,0.42,0.312,0.467
"P09","Del Frente de Todos y el peronismo",0.034,0.069,0.507,0.17
"P09","De Cambiemos",0.643,0.443,0.085,0.154
"P09","De los Liberales libertarios",0.226,0.296,0.119,0.093
"P09","De la Izquierda",0.017,0.018,0.051,0.024
"P09","No sabe",0.08,0.174,0.238,0.559
"P10","A Alberto Fernández",0.262,0.354,0.171,0.351
"P10","A Sergio Massa",0.148,0.288,0.201,0.182
"P10","A algún candidato del peronismo",0.341,0.24,0.158,0.272
"P10","A algún candidato del kirchnerismo",0.249,0.118,0.47,0.195
"P11","A Alberto Fernández",0.176,0.338,0.13,0.317
"P11","A Sergio Massa",0.127,0.301,0.138,0.209
"P11","A algún candidato del peronismo",0.401,0.25,0.093,0.207
"P11","A Cristina Fernández de Kirchner",0.296,0.111,0.639,0.267
"P12","A Horacio Rodriguez Larreta",0.123,0.304,0.365,0.248
"P12","A Mauricio Macri",0.323,0.406,0.296,0.494
"P12","A Patricia Bullrich",0.49,0.136,0.085,0.071
"P12","A Facundo Manes",0.046,0.11,0.137,0.069
"P12","A Gerardo Morales",0.018,0.044,0.117,0.118
"P13","Seguro lo votaria",0.213,0.232,0.253,0.371
"P13","Quizás lo votaría",0.298,0.339,0.244,0.378
"P13","Nunca lo votaría",0.489,0.429,0.503,0.251
"P14","Lo votaría",0.564,0.277,0.057,0.1
"P14","Puede que lo vote",0.271,0.384,0.081,0.194
"P14","Nunca lo votaría",0.11,0.251,0.786,0.288
"P14","No sabe",0.055,0.088,0.076,0.418
"P15","Lo votaría",0.067,0.066,0.194,0.094
"P15","Puede que lo vote",0.051,0.133,0.29,0.171
"P15","Nunca lo votaría",0.853,0.752,0.408,0.274
"P15","No sabe",0.029,0.049,0.108,0.461
"P16","Lo votaría",0.025,0.047,0.188,0.125
"P16","Puede que lo vote",0.012,0.063,0.258,0.106
