"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Mauricio Macri presidente – María Eugenia Vidal vice","No sabe"
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.215,0.39,0.122
"P35","Javier Milei – José Luis Espert por los liberales",0.018,0.308,0.443
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.049,0.007,0.046
"P35","Otro candidato",0.194,0.142,0.295
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.529,0.215,0.101
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.387,0.319,0.078
"P37","Javier Milei – José Luis Espert por los liberales",0.009,0.307,0.451
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.027,0.007,0.049
"P37","Otro candidato",0.048,0.152,0.321
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.697,0.032,0.07
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.071,0.741,0.199
"P39","No sabe",0.232,0.227,0.731
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.727,0.041,0.102
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.058,0.867,0.238
"P40","No sabe",0.215,0.092,0.66
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.899,0.042,0.049
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.058,0.756,0.246
"P41","No sabe",0.043,0.202,0.705
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.762,0.047,0.098
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.056,0.732,0.225
"P42","No sabe",0.182,0.221,0.677
"P43","Muy buena",0.145,0.013,0.025
"P43","Buena",0.334,0.062,0.043
"P43","Ni buena ni mala",0.271,0.051,0.164
"P43","Mala",0.151,0.092,0.169
"P43","Muy mala",0.086,0.775,0.58
"P43","No sabe",0.013,0.007,0.019
"P44","Muy de acuerdo",0.325,0.101,0.089
"P44","De acuerdo",0.277,0.141,0.119
"P44","Ni de acuerdo ni en desacuerdo",0.24,0.312,0.324
"P44","En desacuerdo",0.065,0.174,0.159
"P44","Muy en desacuerdo",0.05,0.215,0.211
"P44","No sabe",0.043,0.057,0.098
"P45","Muy de acuerdo",0.342,0.04,0.07
"P45","De acuerdo",0.32,0.066,0.107
