"var","categoria","Tengo trabajo estable","Realizo changas o trabajos de vez en cuando","No tengo trabajo","Soy jubilado o pensionado"
"P05","1",0.33,0.293,0.298,0.318
"P05","2",0.051,0.115,0.059,0.046
"P05","3",0.056,0.034,0.112,0.04
"P05","4",0.06,0.044,0.053,0.113
"P05","5",0.194,0.209,0.202,0.182
"P05","6",0.045,0.038,0.039,0.045
"P05","7",0.08,0.039,0.038,0.046
"P05","8",0.047,0.051,0.033,0.045
"P05","9",0.137,0.177,0.166,0.165
"P06","1",0.24,0.26,0.298,0.31
"P06","2",0.049,0.069,0.053,0.049
"P06","3",0.05,0.037,0.036,0.033
"P06","4",0.049,0.041,0.043,0.041
"P06","5",0.191,0.202,0.195,0.165
"P06","6",0.044,0.036,0.044,0.051
"P06","7",0.067,0.035,0.035,0.05
"P06","8",0.07,0.037,0.043,0.06
"P06","9",0.24,0.283,0.253,0.241
"P07","1",0.378,0.315,0.321,0.324
"P07","2",0.038,0.035,0.031,0.023
"P07","3",0.034,0.023,0.027,0.029
"P07","4",0.023,0.017,0.02,0.022
"P07","5",0.11,0.099,0.092,0.084
"P07","6",0.024,0.01,0.018,0.019
"P07","7",0.046,0.025,0.021,0.027
"P07","8",0.036,0.041,0.041,0.035
"P07","9",0.311,0.435,0.429,0.437
"P09","Del Frente de Todos y el peronismo",0.304,0.259,0.247,0.302
"P09","De Cambiemos",0.295,0.254,0.245,0.423
"P09","De los Liberales libertarios",0.196,0.175,0.174,0.083
"P09","De la Izquierda",0.033,0.037,0.036,0.026
"P09","No sabe",0.172,0.275,0.298,0.166
"P10","A Alberto Fernández",0.129,0.293,0.32,0.196
"P10","A Sergio Massa",0.199,0.195,0.222,0.22
"P10","A algún candidato del peronismo",0.207,0.171,0.144,0.132
"P10","A algún candidato del kirchnerismo",0.465,0.341,0.314,0.452
"P11","A Alberto Fernández",0.111,0.246,0.256,0.118
"P11","A Sergio Massa",0.152,0.148,0.15,0.164
"P11","A algún candidato del peronismo",0.142,0.1,0.118,0.092
"P11","A Cristina Fernández de Kirchner",0.595,0.506,0.476,0.626
"P12","A Horacio Rodriguez Larreta",0.263,0.177,0.235,0.164
"P12","A Mauricio Macri",0.337,0.428,0.335,0.351
"P12","A Patricia Bullrich",0.274,0.253,0.325,0.364
"P12","A Facundo Manes",0.086,0.081,0.051,0.083
"P12","A Gerardo Morales",0.04,0.061,0.054,0.038
"P13","Seguro lo votaria",0.225,0.341,0.274,0.185
"P13","Quizás lo votaría",0.318,0.315,0.276,0.281
"P13","Nunca lo votaría",0.457,0.344,0.45,0.534
"P14","Lo votaría",0.22,0.2,0.193,0.317
"P14","Puede que lo vote",0.211,0.19,0.176,0.178
"P14","Nunca lo votaría",0.484,0.483,0.489,0.413
"P14","No sabe",0.085,0.127,0.142,0.092
"P15","Lo votaría",0.124,0.125,0.132,0.168
"P15","Puede que lo vote",0.203,0.204,0.187,0.158
"P15","Nunca lo votaría",0.58,0.538,0.539,0.577
"P15","No sabe",0.093,0.133,0.142,0.097
"P16","Lo votaría",0.083,0.141,0.159,0.124
"P16","Puede que lo vote",0.158,0.151,0.136,0.136
"P16","Nunca lo votaría",0.685,0.6,0.6,0.675
"P16","No sabe",0.074,0.108,0.105,0.065
"P17","La votaría",0.251,0.275,0.265,0.26
"P17","Puede que la vote",0.075,0.082,0.076,0.036
"P17","Nunca la votaría",0.634,0.562,0.585,0.665
"P17","No sabe",0.04,0.081,0.074,0.039
"P18","Lo votaría",0.141,0.123,0.1,0.2
"P18","Puede que lo vote",0.241,0.221,0.228,0.28
"P18","Nunca lo votaría",0.542,0.538,0.522,0.424
"P18","No sabe",0.076,0.118,0.15,0.096
"P19","Lo votaría",0.09,0.085,0.068,0.11
"P19","Puede que lo vote",0.251,0.187,0.2,0.284
"P19","Nunca lo votaría",0.536,0.526,0.523,0.421
"P19","No sabe",0.123,0.202,0.209,0.185
"P20","La votaría",0.234,0.204,0.217,0.345
"P20","Puede que la vote",0.208,0.174,0.186,0.181
"P20","Nunca la votaría",0.504,0.497,0.47,0.398
"P20","No sabe",0.054,0.125,0.127,0.076
"P21","Lo votaría",0.223,0.253,0.257,0.099
"P21","Puede que lo vote",0.181,0.166,0.151,0.159
"P21","Nunca lo votaría",0.539,0.46,0.459,0.637
"P21","No sabe",0.057,0.121,0.133,0.105
"P22","La votaría",0.121,0.12,0.095,0.139
"P22","Puede que la vote",0.227,0.176,0.176,0.236
"P22","Nunca la votaría",0.571,0.552,0.531,0.486
"P22","No sabe",0.081,0.152,0.198,0.139
"P23","Lo votaría",0.071,0.073,0.07,0.089
"P23","Puede que lo vote",0.199,0.178,0.149,0.191
"P23","Nunca lo votaría",0.666,0.615,0.652,0.649
"P23","No sabe",0.064,0.134,0.129,0.071
"P24","Lo votaría",0.044,0.044,0.043,0.07
"P24","Puede que lo vote",0.159,0.115,0.129,0.228
"P24","Nunca lo votaría",0.675,0.631,0.624,0.568
"P24","No sabe",0.122,0.21,0.204,0.134
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.2,0.198,0.169,0.326
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.123,0.076,0.104,0.146
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.029,0.077,0.074,0.056
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.277,0.273,0.237,0.271
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.221,0.225,0.244,0.07
"P25","Otros candidatos",0.15,0.151,0.172,0.131
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.308,0.321,0.282,0.305
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.27,0.227,0.228,0.423
"P29","Javier Milei – José Luis Espert por los liberales",0.251,0.259,0.286,0.096
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.032,0.033,0.023,0.014
"P29","Otro candidato",0.139,0.16,0.181,0.162
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.25,0.195,0.209,0.37
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.205,0.235,0.193,0.244
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.276,0.291,0.317,0.109
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.04,0.044,0.047,0.027
"P31","Otro candidato",0.229,0.235,0.234,0.25
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.26,0.24,0.216,0.276
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.298,0.269,0.271,0.461
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.232,0.243,0.26,0.067
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.035,0.046,0.034,0.018
"P33","Otro candidato",0.175,0.202,0.219,0.178
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.252,0.218,0.22,0.296
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.263,0.202,0.189,0.365
"P35","Javier Milei – José Luis Espert por los liberales",0.281,0.289,0.306,0.095
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.031,0.046,0.047,0.018
"P35","Otro candidato",0.173,0.245,0.238,0.226
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.271,0.28,0.222,0.36
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.279,0.238,0.242,0.317
"P37","Javier Milei – José Luis Espert por los liberales",0.281,0.284,0.303,0.099
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.024,0.032,0.036,0.013
"P37","Otro candidato",0.145,0.166,0.197,0.211
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.336,0.313,0.3,0.317
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.418,0.363,0.363,0.479
"P38","No sabe",0.246,0.324,0.337,0.204
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.253,0.285,0.227,0.264
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.394,0.307,0.335,0.467
"P39","No sabe",0.353,0.408,0.438,0.269
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.298,0.262,0.244,0.284
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.446,0.38,0.409,0.512
"P40","No sabe",0.256,0.358,0.347,0.204
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.338,0.328,0.27,0.327
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.398,0.345,0.366,0.471
"P41","No sabe",0.264,0.327,0.364,0.202
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.314,0.266,0.241,0.305
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.385,0.325,0.354,0.461
"P42","No sabe",0.301,0.409,0.405,0.234
"P43","Muy buena",0.05,0.049,0.061,0.081
"P43","Buena",0.141,0.159,0.1,0.176
"P43","Ni buena ni mala",0.153,0.172,0.15,0.124
"P43","Mala",0.136,0.128,0.127,0.127
"P43","Muy mala",0.515,0.472,0.545,0.477
"P43","No sabe",0.005,0.02,0.017,0.015
"P44","Muy de acuerdo",0.192,0.151,0.155,0.155
"P44","De acuerdo",0.197,0.149,0.121,0.223
"P44","Ni de acuerdo ni en desacuerdo",0.289,0.286,0.301,0.294
"P44","En desacuerdo",0.13,0.152,0.14,0.124
"P44","Muy en desacuerdo",0.143,0.188,0.213,0.127
