"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P04","Tengo trabajo estable",0.417,0.459,0.429,0.426,0.397,0.349
"P04","Realizo changas o trabajos de vez en cuando",0.193,0.17,0.185,0.187,0.213,0.204
"P04","No tengo trabajo",0.185,0.133,0.178,0.167,0.235,0.174
"P04","Soy jubilado o pensionado",0.205,0.238,0.208,0.22,0.155,0.273
"P05","1",0.248,0.175,0.253,0.342,0.405,0.312
"P05","2",0.054,0.055,0.064,0.058,0.073,0.066
"P05","3",0.028,0.047,0.082,0.059,0.097,0.071
"P05","4",0.044,0.069,0.068,0.114,0.066,0.041
"P05","5",0.178,0.163,0.227,0.179,0.191,0.248
"P05","6",0.06,0.088,0.048,0.051,0.02,0.06
"P05","7",0.108,0.127,0.086,0.039,0.019,0.026
"P05","8",0.078,0.076,0.051,0.045,0.019,0.024
"P05","9",0.202,0.2,0.121,0.113,0.11,0.152
"P06","1",0.418,0.374,0.22,0.196,0.15,0.225
"P06","2",0.056,0.076,0.035,0.03,0.048,0.041
"P06","3",0.063,0.084,0.039,0.024,0.035,0.025
"P06","4",0.042,0.071,0.055,0.029,0.032,0.059
"P06","5",0.187,0.156,0.214,0.191,0.161,0.218
"P06","6",0.03,0.031,0.073,0.069,0.044,0.029
"P06","7",0.029,0.043,0.067,0.069,0.075,0.063
"P06","8",0.032,0.04,0.07,0.085,0.062,0.08
"P06","9",0.143,0.125,0.227,0.307,0.393,0.26
"P07","1",0.556,0.498,0.326,0.276,0.229,0.315
"P07","2",0.025,0.046,0.037,0.02,0.029,0
"P07","3",0.023,0.044,0.033,0.03,0.014,0.018
"P07","4",0.013,0.034,0.019,0.023,0.024,0.02
"P07","5",0.075,0.071,0.104,0.117,0.114,0.119
"P07","6",0.01,0.02,0.022,0.022,0.019,0.039
"P07","7",0.022,0.025,0.039,0.065,0.044,0.03
"P07","8",0.022,0.028,0.049,0.058,0.052,0.026
"P07","9",0.254,0.234,0.371,0.389,0.475,0.433
"P09","Del Frente de Todos y el peronismo",0.718,0.636,0.218,0.105,0.04,0.131
"P09","De Cambiemos",0.061,0.143,0.367,0.469,0.467,0.235
"P09","De los Liberales libertarios",0.056,0.075,0.159,0.225,0.35,0.214
"P09","De la Izquierda",0.032,0.03,0.038,0.051,0.028,0.011
"P09","No sabe",0.133,0.116,0.218,0.15,0.115,0.409
"P10","A Alberto Fernández",0.165,0.145,0.204,0.192,0.15,0.186
"P10","A Sergio Massa",0.337,0.137,0.074,0.086,0.036,0.137
"P10","A algún candidato del peronismo",0.117,0.144,0.239,0.264,0.4,0.166
"P10","A algún candidato del kirchnerismo",0.381,0.574,0.483,0.458,0.414,0.511
"P11","A Alberto Fernández",0.139,0.083,0.136,0.131,0.044,0.186
"P11","A Sergio Massa",0.249,0.097,0.047,0.02,0.036,0.127
"P11","A algún candidato del peronismo",0.066,0.084,0.165,0.194,0.476,0.063
"P11","A Cristina Fernández de Kirchner",0.546,0.736,0.652,0.655,0.444,0.624
"P12","A Horacio Rodriguez Larreta",0.383,0.231,0.236,0.214,0.143,0.189
"P12","A Mauricio Macri",0.123,0.231,0.328,0.314,0.411,0.492
"P12","A Patricia Bullrich",0.107,0.241,0.312,0.402,0.355,0.255
"P12","A Facundo Manes",0.307,0.158,0.079,0.044,0.063,0.04
"P12","A Gerardo Morales",0.08,0.139,0.045,0.026,0.028,0.024
"P13","Seguro lo votaria",0.333,0.204,0.175,0.23,0.223,0.165
"P13","Quizás lo votaría",0.211,0.383,0.329,0.3,0.264,0.331
"P13","Nunca lo votaría",0.456,0.413,0.496,0.47,0.513,0.504
"P14","Lo votaría",0.049,0.072,0.229,0.372,0.421,0.166
"P14","Puede que lo vote",0.094,0.099,0.25,0.257,0.256,0.212
"P14","Nunca lo votaría",0.779,0.745,0.441,0.286,0.248,0.367
"P14","No sabe",0.078,0.084,0.08,0.085,0.075,0.255
"P15","Lo votaría",0.471,0.206,0.051,0.025,0.039,0.046
"P15","Puede que lo vote",0.334,0.428,0.181,0.06,0.026,0.163
"P15","Nunca lo votaría",0.138,0.251,0.642,0.858,0.92,0.507
"P15","No sabe",0.057,0.115,0.126,0.057,0.015,0.284
"P16","Lo votaría",0.33,0.177,0.072,0.023,0.011,0.085
"P16","Puede que lo vote",0.307,0.371,0.133,0.057,0.009,0.103
"P16","Nunca lo votaría",0.291,0.337,0.723,0.892,0.97,0.606
"P16","No sabe",0.072,0.115,0.072,0.028,0.01,0.206
"P17","La votaría",0.644,0.56,0.202,0.098,0.023,0.171
"P17","Puede que la vote",0.122,0.128,0.066,0.027,0.011,0.063
"P17","Nunca la votaría",0.206,0.269,0.676,0.866,0.958,0.658
"P17","No sabe",0.028,0.043,0.056,0.009,0.008,0.108
"P18","Lo votaría",0.09,0.08,0.175,0.219,0.164,0.08
"P18","Puede que lo vote",0.087,0.167,0.301,0.337,0.336,0.248
"P18","Nunca lo votaría",0.756,0.693,0.445,0.371,0.444,0.379
"P18","No sabe",0.067,0.06,0.079,0.073,0.056,0.293
"P19","Lo votaría",0.06,0.069,0.11,0.102,0.114,0.092
"P19","Puede que lo vote",0.143,0.202,0.281,0.346,0.277,0.266
"P19","Nunca lo votaría",0.682,0.604,0.441,0.423,0.522,0.281
"P19","No sabe",0.115,0.125,0.168,0.129,0.087,0.361
"P20","La votaría",0.067,0.087,0.289,0.374,0.485,0.171
"P20","Puede que la vote",0.066,0.113,0.207,0.274,0.266,0.265
"P20","Nunca la votaría",0.829,0.754,0.44,0.305,0.213,0.268
"P20","No sabe",0.038,0.046,0.064,0.047,0.036,0.296
"P21","Lo votaría",0.097,0.092,0.181,0.259,0.399,0.198
"P21","Puede que lo vote",0.075,0.124,0.19,0.238,0.193,0.194
"P21","Nunca lo votaría",0.777,0.746,0.532,0.456,0.368,0.355
"P21","No sabe",0.051,0.038,0.097,0.047,0.04,0.253
"P22","La votaría",0.044,0.046,0.13,0.213,0.199,0.088
"P22","Puede que la vote",0.087,0.123,0.262,0.298,0.29,0.198
"P22","Nunca la votaría",0.777,0.771,0.489,0.404,0.444,0.398
"P22","No sabe",0.092,0.06,0.119,0.085,0.067,0.316
"P23","Lo votaría",0.241,0.13,0.04,0.02,0.017,0.064
