"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Positiva",0.434,0.439,0.429,0.389,0.377,0.468,0.566,0.394,0.434,0.469,0.454,0.428,0.399,0.423,0.128,0.733,0.36
"Patricia Bullrich","Neutra",0.145,0.158,0.133,0.184,0.161,0.129,0.087,0.181,0.137,0.123,0.148,0.179,0.149,0.128,0.126,0.129,0.224
"Patricia Bullrich","Negativa",0.394,0.387,0.401,0.395,0.423,0.391,0.333,0.379,0.403,0.397,0.37,0.338,0.444,0.431,0.71,0.13,0.4
"Patricia Bullrich","No sabe",0.027,0.016,0.037,0.032,0.039,0.012,0.014,0.046,0.026,0.011,0.028,0.055,0.008,0.018,0.036,0.008,0.016
"Maria Eugenia Vidal","Positiva",0.367,0.347,0.387,0.29,0.323,0.407,0.503,0.362,0.356,0.388,0.387,0.432,0.326,0.329,0.1,0.626,0.398
"Maria Eugenia Vidal","Neutra",0.17,0.176,0.163,0.189,0.177,0.158,0.145,0.188,0.164,0.159,0.176,0.178,0.184,0.158,0.104,0.198,0.165
"Maria Eugenia Vidal","Negativa",0.441,0.457,0.425,0.49,0.476,0.42,0.333,0.412,0.46,0.441,0.414,0.341,0.476,0.5,0.77,0.164,0.423
"Maria Eugenia Vidal","No sabe",0.022,0.02,0.025,0.031,0.024,0.015,0.019,0.038,0.02,0.012,0.023,0.049,0.014,0.013,0.026,0.012,0.014
"Mauricio Macri","Positiva",0.336,0.303,0.367,0.319,0.275,0.365,0.448,0.291,0.341,0.371,0.354,0.344,0.286,0.323,0.107,0.606,0.152
"Mauricio Macri","Neutra",0.154,0.168,0.141,0.14,0.17,0.152,0.14,0.171,0.153,0.139,0.159,0.2,0.132,0.134,0.08,0.189,0.16
"Mauricio Macri","Negativa",0.496,0.514,0.478,0.521,0.542,0.469,0.401,0.513,0.496,0.48,0.472,0.43,0.582,0.532,0.799,0.201,0.655
"Mauricio Macri","No sabe",0.014,0.015,0.014,0.02,0.013,0.014,0.011,0.025,0.01,0.01,0.015,0.026,0,0.011,0.014,0.004,0.033
"Horacio Rodriguez Larreta","Positiva",0.335,0.314,0.356,0.262,0.284,0.374,0.481,0.309,0.329,0.367,0.322,0.377,0.338,0.329,0.117,0.564,0.353
"Horacio Rodriguez Larreta","Neutra",0.22,0.212,0.228,0.194,0.248,0.217,0.193,0.246,0.217,0.2,0.241,0.211,0.24,0.203,0.176,0.243,0.249
"Horacio Rodriguez Larreta","Negativa",0.41,0.443,0.378,0.501,0.43,0.379,0.303,0.387,0.424,0.414,0.399,0.345,0.407,0.447,0.67,0.179,0.363
"Horacio Rodriguez Larreta","No sabe",0.035,0.031,0.038,0.043,0.038,0.03,0.023,0.058,0.03,0.019,0.038,0.067,0.015,0.021,0.037,0.014,0.035
"Javier Milei","Positiva",0.319,0.393,0.248,0.457,0.331,0.265,0.205,0.324,0.334,0.293,0.329,0.389,0.288,0.285,0.126,0.421,0.367
"Javier Milei","Neutra",0.221,0.187,0.254,0.144,0.209,0.243,0.31,0.243,0.212,0.213,0.206,0.251,0.196,0.225,0.146,0.294,0.224
"Javier Milei","Negativa",0.424,0.39,0.457,0.354,0.42,0.468,0.453,0.37,0.422,0.478,0.425,0.293,0.481,0.47,0.691,0.265,0.403
"Javier Milei","No sabe",0.036,0.03,0.041,0.045,0.04,0.024,0.032,0.063,0.032,0.016,0.04,0.067,0.035,0.02,0.037,0.02,0.006
"CFK","Positiva",0.294,0.255,0.332,0.251,0.308,0.315,0.286,0.324,0.278,0.288,0.258,0.279,0.308,0.33,0.673,0.045,0.129
"CFK","Neutra",0.063,0.053,0.072,0.052,0.077,0.065,0.041,0.09,0.061,0.039,0.059,0.062,0.093,0.062,0.098,0.022,0.089
"CFK","Negativa",0.635,0.684,0.587,0.683,0.609,0.617,0.658,0.574,0.653,0.668,0.676,0.648,0.589,0.6,0.222,0.928,0.759
"CFK","No sabe",0.008,0.008,0.009,0.014,0.006,0.003,0.015,0.012,0.008,0.005,0.007,0.011,0.01,0.008,0.007,0.005,0.023
"Facundo Manes","Positiva",0.264,0.274,0.255,0.193,0.227,0.305,0.373,0.244,0.253,0.297,0.248,0.287,0.302,0.264,0.148,0.372,0.336
"Facundo Manes","Neutra",0.343,0.338,0.347,0.287,0.356,0.366,0.347,0.348,0.346,0.334,0.343,0.358,0.315,0.34,0.363,0.327,0.331
"Facundo Manes","Negativa",0.31,0.328,0.292,0.43,0.324,0.255,0.211,0.281,0.321,0.322,0.317,0.228,0.29,0.339,0.385,0.25,0.2
"Facundo Manes","No sabe",0.083,0.06,0.106,0.09,0.093,0.074,0.069,0.127,0.08,0.047,0.092,0.127,0.093,0.057,0.104,0.051,0.133
"Alberto Fernandez","Positiva",0.242,0.214,0.269,0.181,0.242,0.256,0.293,0.344,0.225,0.172,0.208,0.264,0.229,0.264,0.442,0.1,0.131
"Alberto Fernandez","Neutra",0.153,0.129,0.178,0.134,0.182,0.137,0.136,0.15,0.157,0.151,0.148,0.154,0.143,0.159,0.252,0.071,0.182
"Alberto Fernandez","Negativa",0.598,0.651,0.545,0.679,0.571,0.602,0.558,0.494,0.613,0.673,0.635,0.578,0.625,0.571,0.301,0.824,0.667
"Alberto Fernandez","No sabe",0.007,0.006,0.008,0.006,0.005,0.005,0.013,0.012,0.005,0.004,0.009,0.004,0.003,0.006,0.005,0.005,0.02
"Sergio Massa","Positiva",0.235,0.217,0.251,0.189,0.226,0.265,0.267,0.281,0.231,0.195,0.202,0.251,0.243,0.254,0.456,0.085,0.145
"Sergio Massa","Neutra",0.199,0.18,0.216,0.182,0.222,0.182,0.189,0.221,0.181,0.202,0.193,0.18,0.195,0.212,0.285,0.115,0.3
"Sergio Massa","Negativa",0.544,0.587,0.504,0.603,0.525,0.539,0.525,0.464,0.564,0.595,0.575,0.538,0.553,0.52,0.236,0.785,0.522
"Sergio Massa","No sabe",0.022,0.016,0.029,0.026,0.027,0.014,0.019,0.034,0.024,0.008,0.03,0.031,0.009,0.014,0.023,0.015,0.033
"Daniel Scioli","Positiva",0.212,0.209,0.215,0.125,0.211,0.252,0.262,0.246,0.202,0.195,0.181,0.206,0.245,0.237,0.421,0.084,0.151
"Daniel Scioli","Neutra",0.191,0.173,0.209,0.187,0.213,0.186,0.152,0.244,0.178,0.158,0.197,0.189,0.197,0.186,0.3,0.093,0.203
"Daniel Scioli","Negativa",0.574,0.6,0.549,0.647,0.558,0.552,0.557,0.478,0.595,0.637,0.598,0.553,0.553,0.566,0.255,0.811,0.629
"Daniel Scioli","No sabe",0.023,0.018,0.027,0.041,0.018,0.01,0.029,0.032,0.025,0.01,0.024,0.052,0.005,0.011,0.024,0.012,0.017
"Gerardo Morales","Positiva",0.181,0.194,0.17,0.116,0.132,0.23,0.302,0.188,0.166,0.196,0.171,0.233,0.173,0.171,0.066,0.3,0.191
"Gerardo Morales","Neutra",0.325,0.308,0.342,0.298,0.347,0.315,0.323,0.344,0.336,0.294,0.31,0.345,0.353,0.327,0.266,0.366,0.397
"Gerardo Morales","Negativa",0.398,0.427,0.368,0.454,0.413,0.379,0.321,0.345,0.399,0.443,0.405,0.309,0.379,0.429,0.57,0.267,0.277
"Gerardo Morales","No sabe",0.096,0.071,0.12,0.132,0.108,0.076,0.054,0.123,0.099,0.067,0.114,0.113,0.095,0.073,0.098,0.067,0.135
