"var","categoria","Sergio Massa – Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.42,0.424,0.46,0.366,0.339
"P04","Realizo changas o trabajos de vez en cuando",0.181,0.162,0.236,0.273,0.239
"P04","No tengo trabajo",0.17,0.141,0.232,0.262,0.216
"P04","Soy jubilado o pensionado",0.229,0.273,0.072,0.099,0.206
"P05","1",0.243,0.326,0.381,0.16,0.28
"P05","2",0.046,0.065,0.078,0.038,0.074
"P05","3",0.043,0.067,0.096,0.032,0.055
"P05","4",0.057,0.081,0.071,0.027,0.074
"P05","5",0.168,0.212,0.175,0.151,0.226
"P05","6",0.063,0.045,0.032,0.051,0.054
"P05","7",0.119,0.055,0.031,0.095,0.057
"P05","8",0.078,0.03,0.04,0.094,0.037
"P05","9",0.183,0.119,0.096,0.352,0.143
"P06","1",0.372,0.247,0.122,0.336,0.262
"P06","2",0.059,0.048,0.042,0.069,0.04
"P06","3",0.061,0.033,0.029,0.093,0.044
"P06","4",0.052,0.053,0.031,0.058,0.047
"P06","5",0.174,0.187,0.15,0.217,0.241
"P06","6",0.042,0.06,0.038,0.053,0.047
"P06","7",0.039,0.065,0.074,0.009,0.049
"P06","8",0.038,0.05,0.107,0.046,0.039
"P06","9",0.163,0.257,0.407,0.119,0.231
"P07","1",0.501,0.325,0.212,0.6,0.338
"P07","2",0.03,0.033,0.027,0.081,0.025
"P07","3",0.031,0.025,0.026,0.012,0.038
"P07","4",0.018,0.02,0.027,0.013,0.023
"P07","5",0.07,0.102,0.116,0.054,0.1
"P07","6",0.016,0.019,0.018,0.02,0.019
"P07","7",0.032,0.033,0.052,0.006,0.036
"P07","8",0.029,0.034,0.067,0.006,0.042
"P07","9",0.273,0.409,0.455,0.208,0.379
"P09","Del Frente de Todos y el peronismo",0.606,0.25,0.026,0.193,0.265
"P09","De Cambiemos",0.229,0.582,0.169,0.063,0.286
"P09","De los Liberales libertarios",0.025,0.032,0.655,0.07,0.043
"P09","De la Izquierda",0.018,0.018,0.022,0.443,0.023
"P09","No sabe",0.122,0.118,0.128,0.231,0.383
"P10","A Alberto Fernández",0.155,0.127,0.263,0.145,0.254
"P10","A Sergio Massa",0.229,0.262,0.137,0.049,0.064
"P10","A algún candidato del peronismo",0.145,0.156,0.501,0.199,0.222
"P10","A algún candidato del kirchnerismo",0.471,0.455,0.099,0.607,0.46
"P11","A Alberto Fernández",0.118,0.091,0.289,0.081,0.178
"P11","A Sergio Massa",0.163,0.191,0.115,0.061,0.043
"P11","A algún candidato del peronismo",0.075,0.116,0.511,0.153,0.176
"P11","A Cristina Fernández de Kirchner",0.644,0.602,0.085,0.705,0.603
"P12","A Horacio Rodriguez Larreta",0.248,0.244,0.145,0.441,0.136
"P12","A Mauricio Macri",0.322,0.348,0.396,0.118,0.319
"P12","A Patricia Bullrich",0.27,0.293,0.403,0.193,0.41
"P12","A Facundo Manes",0.093,0.069,0.051,0.217,0.087
"P12","A Gerardo Morales",0.067,0.046,0.005,0.031,0.048
"P13","Seguro lo votaria",0.205,0.183,0.502,0.223,0.1
"P13","Quizás lo votaría",0.315,0.295,0.392,0.476,0.274
"P13","Nunca lo votaría",0.48,0.522,0.106,0.301,0.626
"P14","Lo votaría",0.131,0.402,0.227,0.057,0.185
"P14","Puede que lo vote",0.127,0.209,0.331,0.066,0.151
"P14","Nunca lo votaría",0.674,0.342,0.339,0.695,0.517
"P14","No sabe",0.068,0.047,0.103,0.182,0.147
"P15","Lo votaría",0.26,0.141,0.04,0.033,0.068
"P15","Puede que lo vote",0.352,0.142,0.093,0.263,0.18
"P15","Nunca lo votaría",0.312,0.647,0.822,0.546,0.585
"P15","No sabe",0.076,0.07,0.045,0.158,0.167
"P16","Lo votaría",0.209,0.094,0.015,0.064,0.114
"P16","Puede que lo vote",0.309,0.117,0.032,0.242,0.142
"P16","Nunca lo votaría",0.404,0.744,0.926,0.555,0.623
"P16","No sabe",0.078,0.045,0.027,0.139,0.121
"P17","La votaría",0.542,0.195,0.019,0.32,0.279
"P17","Puede que la vote",0.102,0.057,0.02,0.185,0.066
