"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","No sabe"
"P04","Tengo trabajo estable",0.448,0.424,0.379
"P04","Realizo changas o trabajos de vez en cuando",0.185,0.17,0.249
"P04","No tengo trabajo",0.162,0.172,0.227
"P04","Soy jubilado o pensionado",0.205,0.234,0.145
"P05","1",0.177,0.381,0.284
"P05","2",0.044,0.07,0.069
"P05","3",0.028,0.098,0.054
"P05","4",0.053,0.092,0.044
"P05","5",0.154,0.192,0.239
"P05","6",0.073,0.033,0.051
"P05","7",0.147,0.035,0.047
"P05","8",0.088,0.024,0.048
"P05","9",0.236,0.075,0.164
"P06","1",0.434,0.149,0.247
"P06","2",0.081,0.034,0.038
"P06","3",0.071,0.026,0.049
"P06","4",0.05,0.035,0.059
"P06","5",0.153,0.179,0.22
"P06","6",0.032,0.06,0.047
"P06","7",0.028,0.09,0.039
"P06","8",0.028,0.088,0.046
"P06","9",0.123,0.339,0.255
"P07","1",0.602,0.215,0.335
"P07","2",0.037,0.032,0.025
"P07","3",0.027,0.026,0.035
"P07","4",0.014,0.024,0.029
"P07","5",0.064,0.12,0.088
"P07","6",0.012,0.028,0.013
"P07","7",0.017,0.052,0.038
"P07","8",0.016,0.054,0.048
"P07","9",0.211,0.449,0.389
"P09","Del Frente de Todos y el peronismo",0.781,0.032,0.217
"P09","De Cambiemos",0.04,0.609,0.135
"P09","De los Liberales libertarios",0.029,0.257,0.242
"P09","De la Izquierda",0.037,0.014,0.065
"P09","No sabe",0.113,0.088,0.341
"P10","A Alberto Fernández",0.16,0.121,0.233
"P10","A Sergio Massa",0.215,0.212,0.121
"P10","A algún candidato del peronismo",0.125,0.537,0.22
"P10","A algún candidato del kirchnerismo",0.5,0.13,0.426
"P11","A Alberto Fernández",0.11,0.095,0.183
"P11","A Sergio Massa",0.151,0.178,0.089
"P11","A algún candidato del peronismo",0.059,0.626,0.174
"P11","A Cristina Fernández de Kirchner",0.68,0.101,0.554
"P12","A Horacio Rodriguez Larreta",0.377,0.184,0.249
"P12","A Mauricio Macri",0.164,0.358,0.321
"P12","A Patricia Bullrich",0.062,0.375,0.145
"P12","A Facundo Manes",0.237,0.059,0.164
"P12","A Gerardo Morales",0.16,0.024,0.121
"P13","Seguro lo votaria",0.283,0.211,0.177
"P13","Quizás lo votaría",0.232,0.305,0.333
"P13","Nunca lo votaría",0.485,0.484,0.49
"P14","Lo votaría",0.028,0.477,0.091
"P14","Puede que lo vote",0.044,0.324,0.172
"P14","Nunca lo votaría",0.866,0.14,0.581
"P14","No sabe",0.062,0.059,0.156
"P15","Lo votaría",0.335,0.047,0.052
"P15","Puede que lo vote",0.399,0.058,0.188
"P15","Nunca lo votaría",0.174,0.864,0.611
"P15","No sabe",0.092,0.031,0.149
"P16","Lo votaría",0.267,0.01,0.101
"P16","Puede que lo vote",0.402,0.01,0.134
"P16","Nunca lo votaría",0.236,0.963,0.665
"P16","No sabe",0.095,0.017,0.1
"P17","La votaría",0.71,0.01,0.22
"P17","Puede que la vote",0.138,0.009,0.08
"P17","Nunca la votaría",0.124,0.973,0.62
"P17","No sabe",0.028,0.008,0.08
"P18","Lo votaría",0.055,0.247,0.084
"P18","Puede que lo vote",0.076,0.43,0.169
"P18","Nunca lo votaría",0.821,0.268,0.613
"P18","No sabe",0.048,0.055,0.134
"P19","Lo votaría",0.033,0.15,0.07
"P19","Puede que lo vote",0.122,0.389,0.166
"P19","Nunca lo votaría",0.728,0.354,0.552
"P19","No sabe",0.117,0.107,0.212
"P20","La votaría",0.03,0.565,0.071
"P20","Puede que la vote",0.043,0.318,0.163
"P20","Nunca la votaría",0.898,0.084,0.631
"P20","No sabe",0.029,0.033,0.135
"P21","Lo votaría",0.044,0.305,0.268
"P21","Puede que lo vote",0.055,0.265,0.131
"P21","Nunca lo votaría",0.859,0.374,0.478
"P21","No sabe",0.042,0.056,0.123
"P22","La votaría",0.021,0.233,0.073
"P22","Puede que la vote",0.046,0.385,0.131
"P22","Nunca la votaría",0.866,0.291,0.645
"P22","No sabe",0.067,0.091,0.151
"P23","Lo votaría",0.2,0.018,0.046
"P23","Puede que lo vote",0.46,0.049,0.145
"P23","Nunca lo votaría",0.263,0.904,0.702
"P23","No sabe",0.077,0.029,0.107
"P24","Lo votaría",0.027,0.073,0.032
"P24","Puede que lo vote",0.101,0.252,0.111
"P24","Nunca lo votaría",0.757,0.57,0.659
"P24","No sabe",0.115,0.105,0.198
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.009,0.455,0.084
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.033,0.178,0.106
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.099,0.007,0.07
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.758,0.011,0.214
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.025,0.255,0.284
"P25","Otros candidatos",0.076,0.094,0.242
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.839,0.019,0.258
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.022,0.594,0.1
"P29","Javier Milei – José Luis Espert por los liberales",0.039,0.289,0.319
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.036,0.009,0.044
"P29","Otro candidato",0.064,0.089,0.279
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.088,0.457,0.148
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.58,0.053,0.139
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.05,0.333,0.316
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.06,0.007,0.06
"P31","Otro candidato",0.222,0.15,0.337
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.776,0.031,0.102
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.039,0.68,0.075
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.027,0.237,0.32
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.044,0.004,0.062
"P33","Otro candidato",0.114,0.048,0.441
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.603,0.139,0.109
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.239,0.374,0.106
"P35","Javier Milei – José Luis Espert por los liberales",0.025,0.341,0.327
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.038,0.007,0.063
"P35","Otro candidato",0.095,0.139,0.395
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.464,0.229,0.199
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.41,0.269,0.154
"P37","Javier Milei – José Luis Espert por los liberales",0.033,0.341,0.311
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.026,0.007,0.052
"P37","Otro candidato",0.067,0.154,0.284
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.842,0.043,0.245
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.061,0.813,0.134
"P38","No sabe",0.097,0.144,0.621
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.768,0.018,0.133
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.055,0.747,0.137
"P39","No sabe",0.177,0.235,0.73
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.892,0.012,0.236
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.039,0.778,0.15
"P41","No sabe",0.069,0.21,0.614
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.912,0.016,0.102
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.019,0.751,0.154
"P42","No sabe",0.069,0.233,0.744
"P43","Muy buena",0.164,0.008,0.033
"P43","Buena",0.338,0.053,0.095
"P43","Ni buena ni mala",0.286,0.029,0.21
"P43","Mala",0.141,0.089,0.191
"P43","Muy mala",0.058,0.815,0.451
"P43","No sabe",0.013,0.006,0.02
"P44","Muy de acuerdo",0.367,0.086,0.106
"P44","De acuerdo",0.311,0.13,0.124
"P44","Ni de acuerdo ni en desacuerdo",0.212,0.305,0.352
"P44","En desacuerdo",0.047,0.174,0.161
"P44","Muy en desacuerdo",0.024,0.246,0.161
"P44","No sabe",0.039,0.059,0.096
"P45","Muy de acuerdo",0.398,0.027,0.079
"P45","De acuerdo",0.355,0.057,0.121
"P45","Ni de acuerdo ni en desacuerdo",0.179,0.285,0.34
"P45","En desacuerdo",0.036,0.207,0.157
"P45","Muy en desacuerdo",0.019,0.394,0.234
"P45","No sabe",0.013,0.03,0.069
"P46","Si",0.681,0.047,0.175
"P46","No",0.092,0.759,0.478
"P46","No sabe",0.227,0.194,0.347
