"var","categoria","Del Frente de Todos y el peronismo","De Cambiemos","De los Liberales libertarios","De la Izquierda","No sabe"
"P04","Tengo trabajo estable",0.429,0.393,0.47,0.396,0.313
"P04","Realizo changas o trabajos de vez en cuando",0.201,0.186,0.23,0.244,0.275
"P04","No tengo trabajo",0.175,0.164,0.209,0.218,0.274
"P04","Soy jubilado o pensionado",0.195,0.257,0.091,0.142,0.138
"P05","1",0.238,0.388,0.376,0.185,0.254
"P05","2",0.058,0.065,0.083,0.08,0.056
"P05","3",0.026,0.087,0.094,0.015,0.041
"P05","4",0.046,0.089,0.068,0.054,0.06
"P05","5",0.127,0.185,0.185,0.163,0.328
"P05","6",0.073,0.033,0.028,0.027,0.044
"P05","7",0.119,0.036,0.034,0.082,0.042
"P05","8",0.075,0.026,0.029,0.073,0.035
"P05","9",0.238,0.091,0.103,0.321,0.14
"P06","1",0.446,0.193,0.107,0.326,0.241
"P06","2",0.077,0.042,0.036,0.08,0.04
"P06","3",0.061,0.031,0.027,0.093,0.032
"P06","4",0.052,0.034,0.026,0.062,0.063
"P06","5",0.144,0.179,0.169,0.177,0.294
"P06","6",0.023,0.061,0.045,0.053,0.049
"P06","7",0.031,0.075,0.073,0.023,0.031
"P06","8",0.033,0.072,0.1,0.026,0.032
"P06","9",0.133,0.313,0.417,0.16,0.218
"P07","1",0.548,0.245,0.197,0.57,0.309
"P07","2",0.041,0.034,0.023,0.037,0.026
"P07","3",0.028,0.029,0.029,0.022,0.031
"P07","4",0.02,0.02,0.025,0.024,0.019
"P07","5",0.06,0.119,0.126,0.051,0.101
"P07","6",0.01,0.019,0.024,0.008,0.023
"P07","7",0.023,0.042,0.05,0.02,0.027
"P07","8",0.016,0.049,0.061,0.022,0.033
"P07","9",0.254,0.443,0.465,0.246,0.431
"P14","Lo votaría",0.051,0.552,0.156,0.101,0.087
"P14","Puede que lo vote",0.044,0.264,0.342,0.098,0.183
"P14","Nunca lo votaría",0.842,0.156,0.412,0.631,0.459
"P14","No sabe",0.063,0.028,0.09,0.17,0.271
"P15","Lo votaría",0.306,0.071,0.048,0.096,0.073
"P15","Puede que lo vote",0.384,0.082,0.078,0.217,0.186
"P15","Nunca lo votaría",0.203,0.808,0.834,0.574,0.467
"P15","No sabe",0.107,0.039,0.04,0.113,0.274
"P16","Lo votaría",0.312,0.042,0.019,0.059,0.065
"P16","Puede que lo vote",0.369,0.033,0.021,0.231,0.114
"P16","Nunca lo votaría",0.224,0.905,0.942,0.63,0.604
"P16","No sabe",0.095,0.02,0.018,0.08,0.217
"P17","La votaría",0.748,0.04,0.031,0.191,0.133
"P17","Puede que la vote",0.115,0.02,0.023,0.18,0.097
"P17","Nunca la votaría",0.105,0.925,0.935,0.551,0.599
"P17","No sabe",0.032,0.015,0.011,0.078,0.171
"P18","Lo votaría",0.06,0.309,0.08,0.066,0.073
"P18","Puede que lo vote",0.085,0.415,0.24,0.182,0.215
"P18","Nunca lo votaría",0.798,0.234,0.622,0.689,0.424
"P18","No sabe",0.057,0.042,0.058,0.063,0.288
"P19","Lo votaría",0.027,0.174,0.076,0.06,0.064
"P19","Puede que lo vote",0.12,0.384,0.244,0.201,0.169
"P19","Nunca lo votaría",0.716,0.35,0.576,0.561,0.403
"P19","No sabe",0.137,0.092,0.104,0.178,0.364
"P20","La votaría",0.029,0.532,0.314,0.125,0.092
"P20","Puede que la vote",0.048,0.286,0.321,0.102,0.154
"P20","Nunca la votaría",0.869,0.137,0.319,0.712,0.526
"P20","No sabe",0.054,0.045,0.046,0.061,0.228
"P21","Lo votaría",0.036,0.134,0.728,0.167,0.134
"P21","Puede que lo vote",0.066,0.274,0.189,0.1,0.144
"P21","Nunca lo votaría",0.837,0.527,0.063,0.65,0.479
"P21","No sabe",0.061,0.065,0.02,0.083,0.243
"P22","La votaría",0.021,0.264,0.106,0.069,0.063
"P22","Puede que la vote",0.064,0.373,0.245,0.167,0.139
"P22","Nunca la votaría",0.834,0.275,0.557,0.664,0.51
"P22","No sabe",0.081,0.088,0.092,0.1,0.288
"P23","Lo votaría",0.192,0.028,0.028,0.057,0.031
"P23","Puede que lo vote",0.438,0.058,0.038,0.177,0.15
"P23","Nunca lo votaría",0.275,0.872,0.9,0.695,0.606
"P23","No sabe",0.095,0.042,0.034,0.071,0.213
"P24","Lo votaría",0.023,0.095,0.036,0.055,0.026
"P24","Puede que lo vote",0.094,0.274,0.117,0.134,0.11
"P24","Nunca lo votaría",0.743,0.533,0.751,0.684,0.536
"P24","No sabe",0.14,0.098,0.096,0.127,0.328
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.03,0.564,0.074,0.051,0.113
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.021,0.235,0.055,0.083,0.119
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.119,0.013,0.005,0.049,0.063
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.768,0.031,0.021,0.164,0.168
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.016,0.053,0.797,0.115,0.144
"P25","Otros candidatos",0.046,0.104,0.048,0.538,0.393
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.848,0.05,0.021,0.158,0.219
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.046,0.736,0.075,0.09,0.137
"P29","Javier Milei – José Luis Espert por los liberales",0.024,0.082,0.838,0.184,0.185
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.014,0.007,0.014,0.401,0.025
"P29","Otro candidato",0.068,0.125,0.052,0.167,0.434
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.1,0.585,0.052,0.051,0.18
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.583,0.074,0.015,0.132,0.122
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.035,0.13,0.865,0.16,0.191
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.045,0.007,0.013,0.439,0.041
"P31","Otro candidato",0.237,0.204,0.055,0.218,0.466
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.675,0.053,0.019,0.186,0.186
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.055,0.749,0.188,0.085,0.172
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.025,0.085,0.737,0.154,0.161
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.036,0.004,0.018,0.384,0.034
"P33","Otro candidato",0.209,0.109,0.038,0.191,0.447
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.53,0.182,0.033,0.127,0.167
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.226,0.48,0.044,0.131,0.166
"P35","Javier Milei – José Luis Espert por los liberales",0.023,0.137,0.864,0.162,0.178
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.024,0.007,0.012,0.441,0.044
"P35","Otro candidato",0.197,0.194,0.047,0.139,0.445
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.451,0.33,0.045,0.118,0.204
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.435,0.329,0.038,0.127,0.185
"P37","Javier Milei – José Luis Espert por los liberales",0.021,0.143,0.864,0.163,0.167
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.008,0.004,0.01,0.439,0.028
"P37","Otro candidato",0.085,0.194,0.043,0.153,0.416
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.831,0.08,0.037,0.345,0.21
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.091,0.802,0.455,0.206,0.208
"P38","No sabe",0.078,0.118,0.508,0.449,0.582
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.715,0.043,0.027,0.249,0.123
