"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Javier Milei presidente – José Luis Espert por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.342,0.033,0.034,0.042,0.042
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.019,0.181,0.014,0.016,0.014
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.088,0.685,0.037,0.422,0.313
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.019,0.006,0.74,0.025,0.027
"P25","Otros candidatos",0.057,0.027,0.045,0.437,0.398
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.11,0.824,0.034,0.362,0.323
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.7,0.1,0.121,0.041,0.217
"P29","Javier Milei – José Luis Espert por los liberales",0.054,0.013,0.809,0.047,0.031
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.007,0.007,0.005,0.458,0.016
"P29","Otro candidato",0.129,0.056,0.031,0.092,0.413
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.128,0.714,0.026,0.227,0.208
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.701,0.106,0.213,0.049,0.255
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.049,0.013,0.729,0.019,0.024
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.01,0.016,0.009,0.599,0.007
"P33","Otro candidato",0.112,0.151,0.023,0.106,0.506
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.252,0.556,0.035,0.219,0.194
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.611,0.25,0.048,0.081,0.123
