"var","categoria","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck","Arabella Carreras por Unidos Bariloche","Pablo Chamátropulos por Podemos Bariloche","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora","No sabe"
"P05","Siempre",0.242,0.168,0.357,0.254,0.345,0.162,0.284
"P05","Casi siempre",0.386,0.448,0.373,0.416,0.263,0.251,0.301
"P05","Casi nunca",0.247,0.257,0.225,0.221,0.3,0.362,0.246
"P05","Nunca, pero esta es una excepción",0.125,0.127,0.045,0.109,0.092,0.225,0.169
"P07","Cambia Bariloche",0.466,0.099,0.06,0.1,0.035,0.203,0.115
"P07","Juntos Somos Río Negro",0.074,0.548,0.404,0.045,0.052,0.049,0.144
"P07","Unidos Bariloche",0.006,0.015,0.068,0.066,0.027,0,0.025
"P07","Podemos Bariloche",0,0.033,0.025,0.333,0.003,0,0.014
"P07","Vamos con Todos",0.074,0.007,0.021,0.116,0.331,0.324,0.008
"P07","Nos Une Río Negro",0.032,0.012,0.017,0.078,0.034,0.101,0.039
"P07","No sabe",0.348,0.286,0.405,0.262,0.518,0.323,0.655
"P08","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.688,0.151,0.008,0.05,0.035,0.017,0.08
"P08","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.084,0.485,0.026,0.337,0.042,0.031,0.044
"P08","Arabella Carreras por Unidos Bariloche",0.094,0.069,0.741,0.024,0.081,0.03,0.002
"P08","Pablo Chamátropulos por Podemos Bariloche",0.004,0.022,0.008,0.516,0.007,0.186,0.007
"P08","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.047,0.128,0,0.013,0.768,0.014,0.026
"P08","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.005,0.066,0.008,0.06,0.03,0.652,0.066
"P08","No sabe",0.078,0.079,0.209,0,0.037,0.07,0.775
"P10","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.595,0.039,0,0.056,0.009,0.17,0.082
"P10","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.146,0.437,0.041,0.011,0.014,0,0.053
"P10","Arabella Carreras por Unidos Bariloche",0.106,0.278,0.751,0.104,0.08,0,0.02
"P10","Pablo Chamátropulos por Podemos Bariloche",0.034,0.051,0.007,0.488,0.017,0.02,0.012
"P10","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.034,0.057,0.004,0.3,0.825,0,0.007
"P10","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.012,0,0.137,0,0.03,0.669,0.004
"P10","No sabe",0.073,0.138,0.06,0.041,0.025,0.141,0.822
"P11","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.757,0.134,0.034,0.049,0.007,0,0.073
"P11","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.018,0.593,0.241,0.036,0.004,0.21,0.099
"P11","Arabella Carreras por Unidos Bariloche",0.049,0.127,0.639,0.081,0.019,0.012,0.009
"P11","Pablo Chamátropulos por Podemos Bariloche",0.061,0.003,0,0.513,0.01,0,0.006
"P11","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.009,0.01,0,0.192,0.826,0.086,0.012
"P11","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.005,0.007,0,0.059,0.029,0.602,0.006
"P11","No sabe",0.101,0.126,0.086,0.07,0.105,0.09,0.795
"P12","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.627,0.162,0.127,0.051,0.023,0.15,0.103
"P12","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.061,0.613,0.036,0,0.09,0.112,0.175
"P12","Arabella Carreras por Unidos Bariloche",0.101,0.033,0.719,0.035,0.028,0.013,0.003
"P12","Pablo Chamátropulos por Podemos Bariloche",0.002,0,0,0.459,0,0,0
"P12","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.074,0.029,0.028,0.043,0.801,0.01,0.007
"P12","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.083,0.005,0.005,0.207,0,0.599,0.004
"P12","No sabe",0.052,0.158,0.085,0.205,0.058,0.116,0.708
"P13","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.766,0.165,0.155,0,0.036,0.017,0.083
"P13","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.016,0.491,0.064,0.216,0.02,0.103,0.142
"P13","Arabella Carreras por Unidos Bariloche",0.036,0.062,0.696,0.117,0.027,0.041,0.015
"P13","Pablo Chamátropulos por Podemos Bariloche",0.01,0.004,0.008,0.609,0.028,0.165,0.006
"P13","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.078,0.19,0,0.023,0.821,0,0.009
"P13","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.006,0.014,0.008,0.035,0.014,0.591,0.022
"P13","No sabe",0.088,0.074,0.069,0,0.054,0.083,0.723
"P14","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.614,0.103,0.015,0.103,0.026,0.013,0.117
"P14","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.056,0.693,0.084,0.009,0.021,0,0.114
"P14","Arabella Carreras por Unidos Bariloche",0.097,0.053,0.71,0.033,0.026,0,0.021
"P14","Pablo Chamátropulos por Podemos Bariloche",0.031,0.005,0,0.682,0.008,0,0.007
"P14","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.051,0.04,0.114,0.088,0.888,0.022,0.014
"P14","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.026,0,0.006,0.068,0.01,0.92,0.022
"P14","No sabe",0.125,0.106,0.071,0.017,0.021,0.045,0.705
"P15","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.825,0.087,0.02,0.263,0.042,0.168,0.066
"P15","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.029,0.711,0.047,0.098,0.009,0.11,0.14
"P15","Arabella Carreras por Unidos Bariloche",0.063,0.102,0.652,0.009,0.01,0.06,0.012
"P15","Pablo Chamátropulos por Podemos Bariloche",0.029,0.023,0.008,0.601,0,0,0
"P15","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.006,0.005,0.034,0,0.917,0.032,0.025
"P15","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.011,0.015,0.012,0,0.007,0.588,0
"P15","No sabe",0.037,0.057,0.227,0.029,0.015,0.042,0.757
"P16","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.703,0.072,0.016,0.017,0.045,0,0.11
"P16","Carlos Valeri  por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.03,0.623,0.15,0,0.027,0,0.077
"P16","Arabella Carreras por Unidos Bariloche",0.127,0.038,0.693,0.219,0.067,0.013,0.007
"P16","Pablo Chamátropulos por Podemos Bariloche",0.019,0,0.132,0.615,0,0,0.007
"P16","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.013,0.005,0.009,0.008,0.818,0.3,0.005
"P16","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.014,0.012,0,0.141,0.005,0.638,0.007
"P16","No sabe",0.094,0.25,0,0,0.038,0.049,0.787
"P17","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.722,0.132,0,0.02,0.016,0,0.14
"P17","Carlos Valeri por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.046,0.48,0.121,0,0.015,0.027,0.066
"P17","Arabella Carreras por Unidos Bariloche",0.085,0.12,0.669,0.075,0.026,0.014,0.002
"P17","Pablo Chamátropulos por Podemos Bariloche",0.047,0.05,0,0.514,0.024,0.1,0.014
