"var","categoria","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck","Arabella Carreras por Unidos Bariloche","Pablo Chamátropulos por Podemos Bariloche","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora","No sabe"
"P05","Siempre",0.297,0.245,0.274,0.14,0.243,0.149,0.272
"P05","Casi siempre",0.266,0.366,0.341,0.276,0.26,0.27,0.283
"P05","Casi nunca",0.218,0.288,0.313,0.239,0.429,0.335,0.302
"P05","Nunca, pero esta es una excepción",0.219,0.101,0.072,0.345,0.068,0.246,0.143
"P07","Cambia Bariloche",0.486,0.079,0.118,0.118,0.023,0.165,0.093
"P07","Juntos Somos Río Negro",0.12,0.42,0.28,0.051,0.142,0.149,0.167
"P07","Unidos Bariloche",0.031,0.023,0.167,0.022,0.057,0.034,0.011
"P07","Podemos Bariloche",0.032,0.008,0.024,0.334,0.003,0,0.012
"P07","Vamos con Todos",0.016,0.053,0,0.248,0.218,0.073,0.001
"P07","Nos Une Río Negro",0.022,0.096,0.039,0.009,0.042,0.116,0.008
"P07","No sabe",0.293,0.321,0.372,0.218,0.515,0.463,0.708
"P09","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.709,0.118,0.142,0.014,0.068,0.011,0.058
"P09","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.133,0.585,0.089,0.072,0.156,0.125,0.05
"P09","Arabella Carreras por Unidos Bariloche",0.005,0.022,0.657,0.018,0,0.011,0.092
"P09","Pablo Chamátropulos por Podemos Bariloche",0.015,0.136,0.01,0.56,0.005,0.038,0
"P09","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.023,0.039,0.08,0.018,0.715,0.043,0.018
"P09","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.007,0.018,0.018,0.284,0.008,0.581,0.021
"P09","No sabe",0.108,0.082,0.004,0.034,0.048,0.191,0.761
"P10","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.55,0.082,0.075,0.348,0,0.011,0.05
"P10","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.155,0.325,0.075,0.052,0.025,0.115,0.077
"P10","Arabella Carreras por Unidos Bariloche",0.131,0.159,0.802,0,0.121,0.049,0.014
"P10","Pablo Chamátropulos por Podemos Bariloche",0.024,0.035,0.007,0.501,0.044,0.013,0.023
"P10","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0,0.193,0.004,0,0.765,0.074,0.018
"P10","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.012,0.005,0.031,0,0.026,0.725,0.056
"P10","No sabe",0.128,0.201,0.006,0.099,0.019,0.013,0.762
