"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck/Pesatti","Tortoriello/Álvarez Guerrero","Horne/Costa Brutten","Rivero/Astuena","Casas/Villarroel","Zamaro/Roca"
"Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.209,0.197,0.222,0.196,0.203,0.212,0.263,0.193,0.185,0.267,0.118,0.447,0.247,0.239,0.048,0.019
"Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.148,0.146,0.15,0.217,0.137,0.083,0.098,0.186,0.165,0.082,0.217,0.17,0.061,0.079,0.265,0
"Arabella Carreras por Unidos Bariloche",0.124,0.133,0.114,0.017,0.16,0.181,0.21,0.125,0.113,0.142,0.2,0.13,0.054,0.027,0.066,0
"Pablo Chamátropulos por Podemos Bariloche",0.042,0.042,0.042,0.034,0.041,0.044,0.064,0.039,0.058,0.016,0.026,0.025,0.011,0.25,0.049,0
"Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.132,0.144,0.119,0.171,0.1,0.162,0.076,0.153,0.121,0.133,0.131,0.084,0.295,0.159,0.399,0.108
"Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.073,0.077,0.069,0.069,0.08,0.066,0.071,0.05,0.062,0.113,0.075,0.03,0.149,0.038,0.173,0.122
"No sabe",0.272,0.261,0.284,0.296,0.279,0.252,0.218,0.254,0.296,0.247,0.233,0.114,0.183,0.208,0,0.751
