"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck/Pesatti","Tortoriello/Álvarez Guerrero","Horne/Costa Brutten","Rivero/Astuena","Casas/Villarroel","Zamaro/Roca"
"Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.168,0.178,0.156,0.199,0.11,0.194,0.229,0.117,0.178,0.195,0.105,0.325,0.172,0.251,0,0
"Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.114,0.071,0.163,0.102,0.11,0.134,0.126,0.091,0.132,0.103,0.183,0.083,0.049,0.085,0.225,0
"Arabella Carreras por Unidos Bariloche",0.161,0.177,0.144,0.082,0.192,0.19,0.226,0.217,0.122,0.182,0.22,0.204,0.068,0.045,0.118,0.348
"Pablo Chamátropulos por Podemos Bariloche",0.05,0.047,0.053,0.048,0.049,0.048,0.061,0.065,0.05,0.036,0.048,0.041,0.008,0.246,0,0
"Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.145,0.13,0.161,0.193,0.136,0.129,0.07,0.181,0.128,0.142,0.129,0.09,0.36,0.154,0.408,0.157
"Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.087,0.1,0.072,0.119,0.068,0.08,0.074,0.035,0.09,0.126,0.071,0.045,0.142,0.018,0.164,0.162
"No sabe",0.275,0.297,0.251,0.257,0.335,0.225,0.214,0.294,0.3,0.216,0.244,0.212,0.201,0.201,0.085,0.333
