"var","categoria","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck","Arabella Carreras por Unidos Bariloche","Pablo Chamátropulos por Podemos Bariloche","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora","No sabe"
"P05","Siempre",0.293,0.238,0.307,0.256,0.339,0.17,0.259
"P05","Casi siempre",0.289,0.351,0.326,0.353,0.196,0.318,0.263
"P05","Casi nunca",0.331,0.247,0.319,0.287,0.3,0.306,0.292
"P05","Nunca, pero esta es una excepción",0.087,0.164,0.048,0.104,0.165,0.206,0.186
"P07","Cambia Bariloche",0.456,0.121,0.13,0,0.034,0.14,0.111
"P07","Juntos Somos Río Negro",0.116,0.539,0.32,0.164,0.025,0.025,0.109
"P07","Unidos Bariloche",0.049,0.018,0.066,0.048,0.074,0.007,0.032
"P07","Podemos Bariloche",0.011,0.038,0.02,0.414,0.003,0.01,0.003
"P07","Vamos con Todos",0.002,0,0.034,0.161,0.255,0.235,0.002
"P07","Nos Une Río Negro",0.041,0.025,0.014,0.013,0.05,0.112,0.052
"P07","No sabe",0.325,0.259,0.416,0.2,0.559,0.471,0.691
"P08","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.697,0.157,0.08,0,0.047,0,0.085
"P08","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.146,0.471,0.081,0.234,0.073,0,0.037
"P08","Arabella Carreras por Unidos Bariloche",0.061,0.022,0.78,0,0,0.026,0.04
"P08","Pablo Chamátropulos por Podemos Bariloche",0.052,0.008,0,0.703,0,0.153,0.004
"P08","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0,0.105,0.046,0.053,0.713,0.066,0
"P08","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0.012,0,0,0.032,0.674,0.003
"P08","No sabe",0.044,0.225,0.013,0.01,0.135,0.081,0.831
"P09","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.654,0.058,0.141,0.122,0.065,0.046,0.097
"P09","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.108,0.706,0.076,0.018,0.051,0,0.081
"P09","Arabella Carreras por Unidos Bariloche",0.011,0.059,0.702,0,0.099,0.007,0.038
"P09","Pablo Chamátropulos por Podemos Bariloche",0.032,0.003,0.014,0.802,0.033,0.036,0.004
"P09","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.017,0.013,0.024,0.019,0.713,0.012,0.01
"P09","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.007,0,0,0,0.015,0.845,0.018
"P09","No sabe",0.171,0.161,0.043,0.039,0.024,0.054,0.752
"P10","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.746,0.007,0.006,0.019,0.004,0.163,0.058
"P10","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.076,0.345,0.098,0.015,0.086,0.005,0.077
"P10","Arabella Carreras por Unidos Bariloche",0.052,0.262,0.839,0,0.009,0,0.021
"P10","Pablo Chamátropulos por Podemos Bariloche",0.014,0.06,0.025,0.693,0,0.012,0.023
"P10","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.01,0.068,0.004,0.154,0.751,0.092,0.01
"P10","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.011,0,0.009,0.034,0.132,0.55,0.012
"P10","No sabe",0.091,0.258,0.019,0.085,0.018,0.178,0.799
"P11","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.627,0.14,0.094,0.029,0.004,0.051,0.095
"P11","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.101,0.493,0.065,0,0.155,0.165,0.055
"P11","Arabella Carreras por Unidos Bariloche",0.016,0.126,0.725,0.035,0.04,0,0.006
"P11","Pablo Chamátropulos por Podemos Bariloche",0.057,0,0.017,0.687,0,0.013,0.004
"P11","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.058,0.025,0,0.23,0.693,0,0.006
"P11","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0.006,0.013,0.019,0.006,0.649,0.017
"P11","No sabe",0.141,0.21,0.086,0,0.102,0.122,0.817
"P12","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.804,0.108,0,0.022,0.109,0.135,0.043
"P12","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.037,0.694,0.117,0.039,0.084,0.005,0.079
"P12","Arabella Carreras por Unidos Bariloche",0.031,0.018,0.8,0,0.016,0,0.013
