"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck/Pesatti","Tortoriello/Álvarez Guerrero","Horne/Costa Brutten","Rivero/Astuena","Casas/Villarroel","Zamaro/Roca"
"Siempre",0.181,0.197,0.165,0.189,0.168,0.196,0.178,0.242,0.156,0.17,0.322,0.179,0.127,0.168,0.291,0.151
"Casi siempre",0.306,0.29,0.322,0.223,0.318,0.353,0.443,0.243,0.31,0.358,0.249,0.528,0.295,0.242,0.375,0.353
"Casi nunca",0.345,0.346,0.345,0.334,0.372,0.358,0.27,0.32,0.373,0.32,0.31,0.244,0.542,0.255,0.159,0.357
"Nunca, pero esta es una excepción",0.168,0.167,0.168,0.254,0.142,0.093,0.109,0.195,0.161,0.152,0.119,0.049,0.036,0.335,0.175,0.139
