"var","categoria","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello","Carlos Valeri por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck","Arabella Carreras por Unidos Bariloche","Pablo Chamátropulos por Podemos Bariloche","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora","No sabe"
"P05","Siempre",0.205,0.209,0.313,0.243,0.246,0.329,0.268
"P05","Casi siempre",0.36,0.353,0.421,0.315,0.309,0.223,0.254
"P05","Casi nunca",0.244,0.325,0.23,0.282,0.35,0.253,0.313
"P05","Nunca, pero esta es una excepción",0.191,0.113,0.036,0.16,0.095,0.195,0.165
"P07","Cambia Bariloche",0.353,0.083,0.148,0.242,0.043,0.236,0.082
"P07","Juntos Somos Río Negro",0.076,0.588,0.279,0.17,0.054,0.04,0.168
"P07","Unidos Bariloche",0.055,0.02,0.083,0.008,0.03,0.052,0.016
"P07","Podemos Bariloche",0.078,0,0.034,0.288,0,0,0.006
"P07","Vamos con Todos",0.012,0,0,0.009,0.318,0.118,0.044
"P07","Nos Une Río Negro",0.032,0,0.01,0.046,0.044,0.109,0.047
"P07","No sabe",0.394,0.309,0.446,0.237,0.511,0.445,0.637
"P08","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.599,0.105,0.072,0.15,0,0,0.099
"P08","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.089,0.513,0.121,0.195,0.061,0.105,0.058
"P08","Arabella Carreras por Unidos Bariloche",0.096,0.167,0.643,0.061,0.027,0.028,0.039
"P08","Pablo Chamátropulos por Podemos Bariloche",0.013,0.008,0,0.512,0.004,0.096,0.059
"P08","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.015,0.009,0.152,0.012,0.852,0.013,0.04
"P08","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.081,0.015,0.008,0,0.042,0.624,0.016
"P08","No sabe",0.107,0.183,0.004,0.07,0.014,0.134,0.689
"P09","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.689,0.073,0.14,0.156,0.049,0.01,0.039
"P09","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.107,0.643,0.169,0.142,0.031,0.017,0.1
"P09","Arabella Carreras por Unidos Bariloche",0,0.106,0.613,0,0,0,0.074
"P09","Pablo Chamátropulos por Podemos Bariloche",0.005,0,0.032,0.443,0.05,0.12,0.016
"P09","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.012,0.017,0.032,0.06,0.858,0.01,0.048
"P09","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0.017,0.009,0.133,0,0.71,0.067
"P09","No sabe",0.187,0.144,0.005,0.066,0.012,0.133,0.656
"P10","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.603,0.071,0.034,0.119,0.004,0.101,0.107
