"var","categoria","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck","Arabella Carreras por Unidos Bariloche","Pablo Chamátropulos por Podemos Bariloche","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora","No sabe"
"P16","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.012,0.093,0.019,0,0.01,0.815,0.008
"P16","No sabe",0.083,0.203,0.019,0.056,0.07,0.055,0.791
"P17","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.697,0.108,0.079,0.141,0.009,0.049,0.017
"P17","Carlos Valeri por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.036,0.431,0.152,0,0.026,0.078,0.047
"P17","Arabella Carreras por Unidos Bariloche",0.031,0.135,0.61,0.025,0.009,0,0.018
"P17","Pablo Chamátropulos por Podemos Bariloche",0.041,0.045,0.012,0.751,0.066,0,0
"P17","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.031,0.006,0.027,0,0.841,0.016,0.014
"P17","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.042,0.094,0,0,0.006,0.758,0.043
"P17","No sabe",0.122,0.181,0.12,0.083,0.043,0.099,0.861
"P18","La votaría",0.497,0.174,0.006,0.02,0.042,0.049,0.058
"P18","Puede que la vote",0.154,0.373,0.155,0.028,0.066,0.136,0.084
"P18","Nunca la votaría",0.158,0.218,0.733,0.525,0.641,0.667,0.58
"P18","No sabe",0.191,0.235,0.106,0.427,0.251,0.148,0.278
"P19","Lo votaría",0.587,0.121,0.006,0.032,0.008,0.037,0.019
"P19","Puede que lo vote",0.13,0.479,0.207,0.046,0.084,0.04,0.102
"P19","Nunca lo votaría",0.188,0.266,0.654,0.862,0.738,0.866,0.661
"P19","No sabe",0.095,0.134,0.133,0.06,0.17,0.057,0.218
"P20","La votaría",0.411,0.14,0.518,0,0,0.037,0.041
"P20","Puede que la vote",0.142,0.454,0.244,0.098,0.099,0.02,0.104
"P20","Nunca la votaría",0.431,0.376,0.214,0.902,0.801,0.909,0.66
"P20","No sabe",0.016,0.03,0.024,0,0.1,0.034,0.195
"P21","Lo votaría",0.29,0.198,0.115,0.046,0.013,0.141,0.069
"P21","Puede que lo vote",0.16,0.45,0.256,0,0.135,0.229,0.101
"P21","Nunca lo votaría",0.393,0.222,0.527,0.893,0.734,0.593,0.618
"P21","No sabe",0.157,0.13,0.102,0.061,0.118,0.037,0.212
"P22","Lo votaría",0.393,0.221,0.18,0,0,0.037,0.089
"P22","Puede que lo vote",0.192,0.5,0.068,0.113,0.115,0.153,0.107
"P22","Nunca lo votaría",0.397,0.246,0.647,0.81,0.733,0.734,0.621
"P22","No sabe",0.018,0.033,0.105,0.077,0.152,0.076,0.183
"P23","Lo votaría",0.375,0.259,0.069,0.061,0.033,0.036,0.187
"P23","Puede que lo vote",0.102,0.502,0.089,0,0.13,0.109,0.048
"P23","Nunca lo votaría",0.464,0.222,0.735,0.924,0.647,0.744,0.559
"P23","No sabe",0.059,0.017,0.107,0.015,0.19,0.111,0.206
"P24","La votaría",0.319,0.345,0.005,0,0.066,0.036,0.079
"P24","Puede que la vote",0.165,0.188,0.068,0,0.096,0,0.076
"P24","Nunca la votaría",0.468,0.409,0.831,0.891,0.663,0.925,0.621
"P24","No sabe",0.048,0.058,0.096,0.109,0.175,0.039,0.224
"P25","Lo votaría",0.35,0.127,0.116,0,0.088,0.037,0.137
"P25","Puede que lo vote",0.118,0.515,0.241,0.138,0.03,0.152,0.1
"P25","Nunca lo votaría",0.517,0.27,0.531,0.772,0.742,0.73,0.57
"P25","No sabe",0.015,0.088,0.112,0.09,0.14,0.081,0.193
"P26","Lo votaría",0.365,0.119,0.03,0.778,0,0.037,0.015
"P26","Puede que lo vote",0.168,0.402,0.141,0.177,0.103,0,0.068
"P26","Nunca lo votaría",0.437,0.374,0.712,0.045,0.693,0.914,0.712
"P26","No sabe",0.03,0.105,0.117,0,0.204,0.049,0.205
"P27","Lo votaría",0.347,0.212,0.02,0.019,0.341,0.056,0.036
"P27","Puede que lo vote",0.089,0.417,0.073,0.119,0.326,0.191,0.066
"P27","Nunca lo votaría",0.501,0.302,0.777,0.773,0.21,0.692,0.665
"P27","No sabe",0.063,0.069,0.13,0.089,0.123,0.061,0.233
"P28","Lo votaría",0.304,0.193,0.005,0,0.294,0.037,0.046
"P28","Puede que lo vote",0.093,0.223,0.094,0,0.292,0.093,0.015
"P28","Nunca lo votaría",0.529,0.526,0.777,0.911,0.253,0.707,0.694
"P28","No sabe",0.074,0.058,0.124,0.089,0.161,0.163,0.245
"P29","Lo votaría",0.311,0.17,0.059,0,0.032,0.643,0.051
"P29","Puede que lo vote",0.062,0.22,0.05,0,0.161,0.114,0.043
"P29","Nunca lo votaría",0.591,0.571,0.813,0.911,0.687,0.243,0.745
"P29","No sabe",0.036,0.039,0.078,0.089,0.12,0,0.161
"P30","La votaría",0.287,0.13,0,0,0.109,0.188,0.052
"P30","Puede que la vote",0.141,0.219,0.177,0.018,0.293,0.178,0.028
"P30","Nunca la votaría",0.518,0.59,0.671,0.897,0.531,0.512,0.698
"P30","No sabe",0.054,0.061,0.152,0.085,0.067,0.122,0.222
"P31","Si",0.351,0.458,0.428,0.547,0.395,0.334,0.479
"P31","No",0.649,0.542,0.572,0.453,0.605,0.666,0.521
