"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck/Pesatti","Tortoriello/Álvarez Guerrero","Horne/Costa Brutten","Rivero/Astuena","Casas/Villarroel","Zamaro/Roca"
"Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.216,0.207,0.226,0.26,0.162,0.227,0.257,0.13,0.232,0.261,0.123,0.458,0.187,0.171,0.169,0
"Carlos Valeri por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.114,0.087,0.142,0.083,0.134,0.104,0.154,0.113,0.126,0.094,0.254,0.073,0.033,0.092,0.173,0
"Arabella Carreras por Unidos Bariloche",0.115,0.155,0.072,0.079,0.123,0.141,0.138,0.136,0.1,0.122,0.141,0.19,0.066,0.053,0.054,0.241
"Pablo Chamátropulos por Podemos Bariloche",0.055,0.063,0.047,0.095,0.033,0.029,0.06,0.071,0.055,0.041,0.024,0.082,0.032,0.247,0,0
"Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.132,0.144,0.119,0.105,0.139,0.174,0.111,0.168,0.102,0.157,0.101,0.068,0.376,0.119,0.422,0.077
"Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.074,0.069,0.08,0.103,0.077,0.039,0.043,0.025,0.09,0.087,0.071,0.007,0.155,0.137,0.102,0
"No sabe",0.294,0.275,0.314,0.275,0.332,0.286,0.237,0.357,0.295,0.238,0.286,0.122,0.151,0.181,0.08,0.682
