"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck/Pesatti","Tortoriello/Álvarez Guerrero","Horne/Costa Brutten","Rivero/Astuena","Casas/Villarroel","Zamaro/Roca"
"Cambia Bariloche",0.15,0.16,0.14,0.164,0.124,0.153,0.196,0.184,0.134,0.148,0.205,0.309,0.044,0.141,0,0.036
"Juntos Somos Río Negro",0.185,0.195,0.175,0.178,0.188,0.164,0.235,0.189,0.184,0.185,0.372,0.205,0.083,0.148,0.093,0.02
"Unidos Bariloche",0.044,0.035,0.053,0.025,0.051,0.063,0.042,0.031,0.044,0.054,0.043,0.027,0.149,0,0.092,0
"Podemos Bariloche",0.031,0.039,0.022,0.05,0.018,0.025,0.027,0.036,0.036,0.017,0.035,0.009,0.065,0.141,0,0
"Vamos con Todos",0.07,0.067,0.073,0.126,0.041,0.049,0.041,0.094,0.059,0.068,0.042,0.042,0.189,0.059,0.439,0.081
"Nos Une Río Negro",0.033,0.033,0.032,0.033,0.035,0.028,0.03,0.021,0.033,0.042,0.042,0.021,0.018,0.048,0.048,0.036
"No sabe",0.487,0.471,0.505,0.424,0.543,0.518,0.429,0.445,0.51,0.486,0.261,0.387,0.452,0.463,0.328,0.827
