"var","categoria","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck","Arabella Carreras por Unidos Bariloche","Pablo Chamátropulos por Podemos Bariloche","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora","No sabe"
"P05","Siempre",0.236,0.29,0.311,0.297,0.256,0.286,0.233
"P05","Casi siempre",0.333,0.28,0.416,0.311,0.258,0.191,0.349
"P05","Casi nunca",0.301,0.26,0.199,0.285,0.393,0.287,0.291
"P05","Nunca, pero esta es una excepción",0.13,0.17,0.074,0.107,0.093,0.236,0.127
"P07","Cambia Bariloche",0.456,0.136,0.104,0.055,0.01,0.235,0.126
"P07","Juntos Somos Río Negro",0.079,0.47,0.326,0.232,0.039,0.068,0.18
"P07","Unidos Bariloche",0.022,0.032,0.065,0.014,0.075,0.026,0.029
"P07","Podemos Bariloche",0.063,0,0.057,0.323,0.005,0,0.015
"P07","Vamos con Todos",0.066,0.018,0.018,0,0.382,0.087,0.006
"P07","Nos Une Río Negro",0.045,0.013,0.01,0.011,0.079,0.11,0.005
"P07","No sabe",0.269,0.331,0.42,0.365,0.41,0.474,0.639
"P08","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.656,0.254,0.151,0.086,0,0.029,0.091
"P08","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.066,0.359,0.123,0.083,0.166,0.008,0.096
"P08","Arabella Carreras por Unidos Bariloche",0.055,0.076,0.572,0.015,0.003,0.047,0.003
"P08","Pablo Chamátropulos por Podemos Bariloche",0.132,0.027,0,0.563,0,0,0.022
"P08","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0,0.032,0.109,0.12,0.762,0.05,0.01
"P08","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.005,0.071,0.022,0.017,0.036,0.67,0.003
