"var","categoria","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello","Carlos Valeri  por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck","Arabella Carreras por Unidos Bariloche","Pablo Chamátropulos por Podemos Bariloche","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora","No sabe"
"P05","Siempre",0.196,0.194,0.369,0.275,0.268,0.21,0.226
"P05","Casi siempre",0.373,0.47,0.305,0.388,0.258,0.283,0.308
"P05","Casi nunca",0.26,0.241,0.239,0.24,0.284,0.279,0.338
"P05","Nunca, pero esta es una excepción",0.171,0.095,0.087,0.097,0.19,0.228,0.128
"P07","Cambia Bariloche",0.409,0.109,0.204,0.044,0.099,0.187,0.058
"P07","Juntos Somos Río Negro",0.098,0.439,0.257,0.082,0.003,0.046,0.171
"P07","Unidos Bariloche",0.018,0.044,0.054,0.01,0.07,0.06,0.026
"P07","Podemos Bariloche",0.05,0.053,0.025,0.386,0.005,0,0.007
"P07","Vamos con Todos",0.071,0,0.073,0.016,0.383,0.048,0.006
"P07","Nos Une Río Negro",0.029,0.028,0.015,0,0.061,0.215,0.04
"P07","No sabe",0.325,0.327,0.372,0.462,0.379,0.444,0.692
"P08","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.767,0.13,0.079,0,0.089,0.044,0.03
"P08","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.111,0.371,0.151,0.074,0.02,0.119,0.125
"P08","Arabella Carreras por Unidos Bariloche",0,0.218,0.652,0.015,0,0.034,0.043
"P08","Pablo Chamátropulos por Podemos Bariloche",0.005,0,0.058,0.574,0.101,0,0.015
"P08","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.038,0.144,0.016,0.073,0.715,0.039,0.026
"P08","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0.059,0.022,0,0.034,0.739,0
"P08","No sabe",0.079,0.078,0.022,0.264,0.041,0.025,0.761
"P09","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.766,0.044,0.202,0.073,0.019,0.048,0.08
"P09","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.058,0.688,0.045,0,0.006,0.028,0.157
"P09","Arabella Carreras por Unidos Bariloche",0.009,0.116,0.572,0.264,0.007,0,0
"P09","Pablo Chamátropulos por Podemos Bariloche",0.005,0,0.093,0.632,0.003,0.125,0
"P09","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.032,0.026,0.069,0,0.794,0.011,0.021
"P09","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0,0.008,0,0.162,0.763,0.015
"P09","No sabe",0.13,0.126,0.011,0.031,0.009,0.025,0.727
"P10","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.675,0.064,0.068,0,0.097,0.055,0.027
"P10","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.116,0.426,0.071,0.012,0.018,0.007,0.09
"P10","Arabella Carreras por Unidos Bariloche",0.021,0.326,0.755,0.067,0.01,0.047,0.009
"P10","Pablo Chamátropulos por Podemos Bariloche",0.025,0,0.013,0.644,0.006,0.013,0.049
"P10","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.026,0.06,0.065,0,0.791,0.104,0.014
"P10","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.033,0.01,0.011,0.235,0.061,0.736,0.004
"P10","No sabe",0.104,0.114,0.017,0.042,0.017,0.038,0.807
"P11","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.735,0.051,0.114,0,0.01,0.046,0.102
"P11","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.064,0.589,0.029,0.276,0.096,0,0.086
"P11","Arabella Carreras por Unidos Bariloche",0.025,0.219,0.611,0.018,0.006,0.068,0.006
"P11","Pablo Chamátropulos por Podemos Bariloche",0.02,0.003,0.02,0.582,0,0,0.016
"P11","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.012,0.008,0.105,0.085,0.837,0,0.015
"P11","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0,0.029,0.039,0.012,0.783,0.014
"P11","No sabe",0.144,0.13,0.092,0,0.039,0.103,0.761
"P12","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.765,0.138,0.038,0.252,0.099,0,0.025
"P12","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.049,0.607,0.117,0.038,0.104,0.007,0.273
"P12","Arabella Carreras por Unidos Bariloche",0.017,0.103,0.675,0.015,0.053,0,0.009
"P12","Pablo Chamátropulos por Podemos Bariloche",0.004,0,0,0.482,0,0,0.002
"P12","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.054,0.038,0.055,0.046,0.702,0.068,0.019
"P12","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.074,0,0.084,0,0.011,0.821,0.014
"P12","No sabe",0.037,0.114,0.031,0.167,0.031,0.104,0.658
"P13","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.715,0.13,0.165,0.284,0.041,0.03,0.089
"P13","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.061,0.431,0.137,0,0.07,0.113,0.182
"P13","Arabella Carreras por Unidos Bariloche",0.012,0.141,0.599,0.038,0.006,0.113,0.002
"P13","Pablo Chamátropulos por Podemos Bariloche",0.022,0,0.076,0.588,0.082,0.015,0.021
"P13","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.077,0.173,0,0.016,0.719,0,0.013
"P13","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0.031,0,0.074,0.069,0.65,0.03
"P13","No sabe",0.113,0.094,0.023,0,0.013,0.079,0.663
"P14","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.73,0.147,0.085,0,0.01,0.047,0.061
"P14","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.115,0.531,0.074,0,0.031,0.013,0.144
"P14","Arabella Carreras por Unidos Bariloche",0,0.141,0.727,0.066,0,0.012,0.059
"P14","Pablo Chamátropulos por Podemos Bariloche",0.015,0,0.048,0.635,0.007,0,0.009
"P14","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.044,0.053,0.014,0.299,0.819,0.082,0.01
"P14","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.03,0,0.025,0,0.122,0.795,0.028
"P14","No sabe",0.066,0.128,0.027,0,0.011,0.051,0.689
"P15","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.835,0.066,0.176,0,0.103,0.038,0.075
"P15","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.058,0.653,0.128,0.048,0.008,0.224,0.14
"P15","Arabella Carreras por Unidos Bariloche",0.037,0.149,0.616,0.036,0.003,0.031,0.009
"P15","Pablo Chamátropulos por Podemos Bariloche",0.025,0,0,0.65,0,0,0.01
"P15","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0,0.018,0.008,0,0.86,0.019,0.039
"P15","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.012,0,0.027,0,0.011,0.664,0.013
"P15","No sabe",0.033,0.114,0.045,0.266,0.015,0.024,0.714
"P17","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.799,0.145,0.128,0,0.015,0.018,0.067
"P17","Carlos Valeri por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.037,0.587,0.02,0,0.02,0.013,0.076
"P17","Arabella Carreras por Unidos Bariloche",0.026,0.169,0.606,0.017,0,0.06,0.004
"P17","Pablo Chamátropulos por Podemos Bariloche",0.045,0.046,0.027,0.525,0.084,0,0.017
"P17","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.024,0.003,0.043,0.064,0.761,0.009,0.018
"P17","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0,0.106,0,0.005,0.707,0.032
"P17","No sabe",0.069,0.05,0.07,0.394,0.115,0.193,0.786
"P18","La votaría",0.471,0.196,0.074,0.014,0.241,0.029,0.029
"P18","Puede que la vote",0.136,0.327,0.176,0.028,0.046,0.285,0.146
"P18","Nunca la votaría",0.134,0.41,0.609,0.728,0.533,0.39,0.468
"P18","No sabe",0.259,0.067,0.141,0.23,0.18,0.296,0.357
"P19","Lo votaría",0.557,0.142,0.131,0,0.014,0.142,0.062
"P19","Puede que lo vote",0.129,0.413,0.267,0.029,0.09,0.228,0.126
"P19","Nunca lo votaría",0.119,0.42,0.503,0.886,0.796,0.509,0.573
"P19","No sabe",0.195,0.025,0.099,0.085,0.1,0.121,0.239
"P20","La votaría",0.297,0.306,0.485,0,0.174,0.091,0.02
"P20","Puede que la vote",0.142,0.382,0.303,0.088,0.091,0.134,0.156
"P20","Nunca la votaría",0.538,0.287,0.171,0.869,0.656,0.731,0.665
"P20","No sabe",0.023,0.025,0.041,0.043,0.079,0.044,0.159
"P21","Lo votaría",0.319,0.206,0.11,0,0.011,0.091,0.13
"P21","Puede que lo vote",0.17,0.497,0.292,0.03,0.118,0.139,0.111
"P21","Nunca lo votaría",0.275,0.233,0.49,0.883,0.792,0.724,0.55
"P21","No sabe",0.236,0.064,0.108,0.087,0.079,0.046,0.209
"P22","Lo votaría",0.308,0.336,0.129,0,0.172,0.026,0.117
"P22","Puede que lo vote",0.191,0.402,0.199,0,0.096,0.343,0.138
"P22","Nunca lo votaría",0.47,0.233,0.566,0.955,0.63,0.578,0.558
"P22","No sabe",0.031,0.029,0.106,0.045,0.102,0.053,0.187
"P23","Lo votaría",0.283,0.19,0.147,0.045,0.208,0.025,0.26
"P23","Puede que lo vote",0.099,0.385,0.11,0,0.122,0.29,0.126
"P23","Nunca lo votaría",0.536,0.383,0.651,0.955,0.542,0.582,0.417
"P23","No sabe",0.082,0.042,0.092,0,0.128,0.103,0.197
"P24","La votaría",0.29,0.242,0.032,0,0.237,0.025,0.152
"P24","Puede que la vote",0.104,0.174,0.218,0,0.102,0.077,0.06
"P24","Nunca la votaría",0.505,0.556,0.655,0.919,0.548,0.845,0.578
"P24","No sabe",0.101,0.028,0.095,0.081,0.113,0.053,0.21
"P25","Lo votaría",0.27,0.359,0.047,0,0.243,0.025,0.076
"P25","Puede que lo vote",0.196,0.438,0.215,0.015,0.026,0.422,0.102
"P25","Nunca lo votaría",0.432,0.185,0.657,0.919,0.632,0.497,0.634
"P25","No sabe",0.102,0.018,0.081,0.066,0.099,0.056,0.188
"P26","Lo votaría",0.228,0.183,0.128,0.543,0.19,0.025,0.014
"P26","Puede que lo vote",0.201,0.396,0.146,0.021,0.096,0.301,0.062
"P26","Nunca lo votaría",0.446,0.385,0.595,0.436,0.576,0.614,0.753
"P26","No sabe",0.125,0.036,0.131,0,0.138,0.06,0.171
"P27","Lo votaría",0.2,0.258,0.105,0.014,0.484,0.038,0.07
"P27","Puede que lo vote",0.144,0.294,0.088,0,0.286,0.359,0.118
"P27","Nunca lo votaría",0.532,0.421,0.695,0.922,0.157,0.535,0.578
"P27","No sabe",0.124,0.027,0.112,0.064,0.073,0.068,0.234
"P28","Lo votaría",0.208,0.266,0.034,0,0.446,0.025,0.034
"P28","Puede que lo vote",0.066,0.112,0.16,0,0.257,0.364,0.038
"P28","Nunca lo votaría",0.588,0.595,0.67,0.935,0.186,0.473,0.715
"P28","No sabe",0.138,0.027,0.136,0.065,0.111,0.138,0.213
"P29","Lo votaría",0.216,0.252,0.033,0,0.217,0.531,0.041
"P29","Puede que lo vote",0.089,0.108,0.075,0,0.157,0.379,0.024
"P29","Nunca lo votaría",0.603,0.613,0.84,0.935,0.563,0.09,0.776
"P29","No sabe",0.092,0.027,0.052,0.065,0.063,0,0.159
"P30","La votaría",0.244,0.214,0.119,0,0.079,0.127,0.04
"P30","Puede que la vote",0.05,0.172,0.13,0.013,0.468,0.359,0.038
"P30","Nunca la votaría",0.594,0.548,0.631,0.925,0.42,0.405,0.727
"P30","No sabe",0.112,0.066,0.12,0.062,0.033,0.109,0.195
"P31","Si",0.508,0.381,0.261,0.283,0.362,0.488,0.535
"P31","No",0.492,0.619,0.739,0.717,0.638,0.512,0.465
