"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.376,0.457,0.294,0.489,0.396,0.3,0.305,0.326,0.384,0.406,0.371,0.396,0.386,0.289,0.201,0.359,0.387,0.512,0.382,0.412
"No",0.525,0.459,0.592,0.423,0.527,0.589,0.55,0.527,0.527,0.523,0.532,0.496,0.544,0.618,0.637,0.601,0.489,0.383,0.504,0.49
"No sabe",0.099,0.084,0.114,0.088,0.077,0.111,0.145,0.147,0.089,0.071,0.097,0.108,0.07,0.093,0.162,0.04,0.124,0.105,0.114,0.098
