"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Siempre",0.193,0.22,0.25,0.195
"P08","Casi siempre",0.334,0.316,0.385,0.355
"P08","Casi nunca",0.338,0.371,0.271,0.26
"P08","Nunca, pero esta es una excepción",0.135,0.093,0.094,0.19
"P09","Muy de acuerdo",0.584,0.249,0.066,0.051
"P09","De acuerdo",0.261,0.223,0.036,0.168
"P09","Ni de acuerdo ni en desacuerdo",0.1,0.309,0.155,0.376
"P09","En desacuerdo",0.035,0.117,0.305,0.304
"P09","Muy en desacuerdo",0.012,0.07,0.424,0.024
"P09","No sabe",0.008,0.032,0.014,0.077
"P10","De acuerdo",0.811,0.435,0.118,0.243
"P10","Ni de acuerdo ni en desacuerdo",0.132,0.285,0.148,0.248
"P10","En desacuerdo",0.03,0.176,0.602,0.121
"P10","No sabe",0.027,0.104,0.132,0.388
"P11","De acuerdo",0.851,0.58,0.217,0.396
"P11","Ni de acuerdo ni en desacuerdo",0.107,0.222,0.241,0.225
"P11","En desacuerdo",0.036,0.145,0.43,0.21
"P11","No sabe",0.006,0.053,0.112,0.169
"P12","De acuerdo",0.936,0.694,0.249,0.534
"P12","Ni de acuerdo ni en desacuerdo",0.044,0.16,0.261,0.119
"P12","En desacuerdo",0.013,0.107,0.367,0.206
"P12","No sabe",0.007,0.039,0.123,0.141
"P13","De acuerdo",0.81,0.455,0.117,0.169
"P13","Ni de acuerdo ni en desacuerdo",0.15,0.358,0.247,0.347
"P13","En desacuerdo",0.027,0.099,0.557,0.062
"P13","No sabe",0.013,0.088,0.079,0.422
"P14","De acuerdo",0.809,0.437,0.148,0.345
"P14","Ni de acuerdo ni en desacuerdo",0.149,0.418,0.182,0.178
"P14","En desacuerdo",0.031,0.105,0.614,0.085
"P14","No sabe",0.011,0.04,0.056,0.392
"P15","De acuerdo",0.725,0.518,0.252,0.325
"P15","Ni de acuerdo ni en desacuerdo",0.2,0.303,0.143,0.248
"P15","En desacuerdo",0.059,0.124,0.531,0.12
"P15","No sabe",0.016,0.055,0.074,0.307
"P16","De acuerdo",0.89,0.676,0.251,0.439
"P16","Ni de acuerdo ni en desacuerdo",0.063,0.197,0.171,0.123
"P16","En desacuerdo",0.035,0.081,0.493,0.04
"P16","No sabe",0.012,0.046,0.085,0.398
"P17","De acuerdo",0.784,0.249,0.039,0.142
"P17","Ni de acuerdo ni en desacuerdo",0.144,0.399,0.045,0.129
"P17","En desacuerdo",0.061,0.316,0.9,0.281
"P17","No sabe",0.011,0.036,0.016,0.448
"P18","De acuerdo",0.75,0.124,0.027,0.074
"P18","Ni de acuerdo ni en desacuerdo",0.178,0.533,0.055,0.133
"P18","En desacuerdo",0.047,0.271,0.894,0.181
"P18","No sabe",0.025,0.072,0.024,0.612
"P19","De acuerdo",0.932,0.346,0.035,0.183
"P19","Ni de acuerdo ni en desacuerdo",0.043,0.425,0.033,0.069
"P19","En desacuerdo",0.023,0.199,0.917,0.308
"P19","No sabe",0.002,0.03,0.015,0.44
"P21","De acuerdo",0.879,0.366,0.051,0.206
"P21","Ni de acuerdo ni en desacuerdo",0.087,0.372,0.045,0.135
"P21","En desacuerdo",0.024,0.214,0.89,0.243
"P21","No sabe",0.01,0.048,0.014,0.416
"P22","Si",0.467,0.365,0.577,0.352
"P22","No",0.365,0.28,0.146,0.167
"P22","No sabe",0.168,0.355,0.277,0.481
"P23","Si",0.678,0.244,0.109,0.23
"P23","No",0.244,0.607,0.773,0.652
"P23","No sabe",0.078,0.149,0.118,0.118
"P24","Si",0.596,0.187,0.054,0.081
"P24","No",0.304,0.626,0.836,0.689
"P24","No sabe",0.1,0.187,0.11,0.23
"P25","Si",0.64,0.25,0.094,0.161
"P25","No",0.286,0.57,0.825,0.593
"P25","No sabe",0.074,0.18,0.081,0.246
"P26","A favor",0.89,0.527,0.108,0.251
"P26","En contra",0.062,0.237,0.767,0.393
"P26","No sabe",0.048,0.236,0.125,0.356
