"var","categoria","Si","No","No sabe"
"P08","Siempre",0.237,0.224,0.17
"P08","Casi siempre",0.338,0.341,0.384
"P08","Casi nunca",0.309,0.319,0.325
"P08","Nunca, pero esta es una excepción",0.116,0.116,0.121
"P09","Muy de acuerdo",0.303,0.494,0.221
"P09","De acuerdo",0.153,0.197,0.191
"P09","Ni de acuerdo ni en desacuerdo",0.125,0.135,0.26
"P09","En desacuerdo",0.18,0.102,0.146
"P09","Muy en desacuerdo",0.222,0.069,0.152
"P09","No sabe",0.017,0.003,0.03
"P10","De acuerdo",0.457,0.669,0.377
"P10","Ni de acuerdo ni en desacuerdo",0.168,0.107,0.222
"P10","En desacuerdo",0.296,0.17,0.254
"P10","No sabe",0.079,0.054,0.147
"P11","De acuerdo",0.554,0.698,0.483
"P11","Ni de acuerdo ni en desacuerdo",0.184,0.141,0.189
"P11","En desacuerdo",0.209,0.112,0.262
"P11","No sabe",0.053,0.049,0.066
"P12","De acuerdo",0.617,0.78,0.567
"P12","Ni de acuerdo ni en desacuerdo",0.147,0.084,0.178
"P12","En desacuerdo",0.182,0.082,0.194
"P12","No sabe",0.054,0.054,0.061
"P13","De acuerdo",0.481,0.639,0.353
"P13","Ni de acuerdo ni en desacuerdo",0.191,0.189,0.326
"P13","En desacuerdo",0.281,0.132,0.203
"P13","No sabe",0.047,0.04,0.118
"P14","De acuerdo",0.497,0.672,0.351
"P14","Ni de acuerdo ni en desacuerdo",0.17,0.167,0.301
"P14","En desacuerdo",0.304,0.131,0.251
"P14","No sabe",0.029,0.03,0.097
"P15","De acuerdo",0.526,0.577,0.428
"P15","Ni de acuerdo ni en desacuerdo",0.156,0.235,0.241
"P15","En desacuerdo",0.277,0.144,0.245
"P15","No sabe",0.041,0.044,0.086
"P16","De acuerdo",0.583,0.739,0.567
"P16","Ni de acuerdo ni en desacuerdo",0.121,0.112,0.135
"P16","En desacuerdo",0.25,0.11,0.198
"P16","No sabe",0.046,0.039,0.1
"P17","De acuerdo",0.39,0.576,0.319
"P17","Ni de acuerdo ni en desacuerdo",0.117,0.165,0.18
"P17","En desacuerdo",0.463,0.242,0.442
"P17","No sabe",0.03,0.017,0.059
"P18","De acuerdo",0.377,0.506,0.248
"P18","Ni de acuerdo ni en desacuerdo",0.117,0.246,0.259
"P18","En desacuerdo",0.461,0.215,0.391
"P18","No sabe",0.045,0.033,0.102
"P19","De acuerdo",0.466,0.682,0.388
"P19","Ni de acuerdo ni en desacuerdo",0.075,0.096,0.145
"P19","En desacuerdo",0.436,0.211,0.412
"P19","No sabe",0.023,0.011,0.055
"P20","De acuerdo",0.448,0.631,0.317
"P20","Ni de acuerdo ni en desacuerdo",0.113,0.156,0.216
"P20","En desacuerdo",0.409,0.187,0.386
"P20","No sabe",0.03,0.026,0.081
"P21","De acuerdo",0.478,0.661,0.33
"P21","Ni de acuerdo ni en desacuerdo",0.097,0.116,0.158
"P21","En desacuerdo",0.406,0.194,0.448
"P21","No sabe",0.019,0.029,0.064
"P23","Si",0.424,0.504,0.233
"P23","No",0.508,0.449,0.529
"P23","No sabe",0.068,0.047,0.238
"P24","Si",0.328,0.476,0.165
"P24","No",0.595,0.463,0.559
"P24","No sabe",0.077,0.061,0.276
"P25","Si",0.367,0.526,0.228
"P25","No",0.572,0.404,0.567
"P25","No sabe",0.061,0.07,0.205
"P26","A favor",0.482,0.728,0.453
"P26","En contra",0.434,0.206,0.319
"P26","No sabe",0.084,0.066,0.228
