"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.328,0.395,0.261,0.407,0.338,0.278,0.283,0.292,0.322,0.364,0.33,0.309,0.334,0.286,0.227,0.312,0.329,0.554,0.336,0.281
"No",0.551,0.498,0.603,0.474,0.543,0.599,0.589,0.547,0.554,0.549,0.591,0.537,0.567,0.602,0.601,0.624,0.542,0.347,0.487,0.582
"No sabe",0.121,0.107,0.136,0.119,0.119,0.123,0.128,0.161,0.124,0.087,0.079,0.154,0.099,0.112,0.172,0.064,0.129,0.099,0.177,0.137
