"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"A Alberto Fernández",0.253,0.174,0.323,0.489,0.07,0.294,0.309,0.32,0.318,0.076,0.08,0.285,0.361,0.204,0.534,0
"A Sergio Massa",0.216,0.216,0.217,0,0.335,0.238,0.198,0.303,0.189,0.164,0.138,0.259,0.255,0.244,0.148,0.334
"A algún candidato del peronismo",0.194,0.29,0.109,0.175,0.279,0.089,0.168,0.152,0.187,0.252,0.359,0.081,0.121,0.136,0.249,0.666
"A algún candidato del kirchnerismo",0.337,0.32,0.351,0.336,0.316,0.379,0.325,0.225,0.306,0.508,0.423,0.375,0.263,0.416,0.069,0
