"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P7","Al candidato del Frente de Todos",0.405,0.423,0.456,0.356,0.442
"P7","Al candidato de Juntos por el Cambio",0.345,0.257,0.293,0.289,0.28
"P7","Al candidato de los liberales - libertarios",0.109,0.196,0.165,0.183,0.099
"P7","Al candidato de la Izquierda",0.032,0.012,0.037,0.029,0.032
"P7","A otro candidato",0.061,0.053,0.035,0.047,0.064
"P7","No sabe",0.048,0.059,0.014,0.096,0.083
"P8","A Julio Zamora por el Frente de Todos",0.323,0.353,0.411,0.289,0.428
"P8","A Malena Galmarini por el Frente de Todos",0.116,0.124,0.158,0.073,0.085
"P8","A Segundo Cernadas por Cambiemos",0.291,0.152,0.332,0.357,0.214
"P8","A Nicolás Massot por Cambiemos",0.1,0.065,0.039,0.118,0.103
"P8","Al candidato de los liberales libertarios",0.092,0.221,0.049,0.079,0.044
"P8","A Paula Akerfeld por el Frente de Izquierda",0.012,0.026,0,0.041,0.044
"P8","No sabe",0.066,0.059,0.011,0.043,0.082
"P10","A Julio Zamora por el Frente de Todos",0.37,0.402,0.467,0.304,0.428
"P10","A Segundo Cernadas por Cambiemos",0.369,0.276,0.339,0.292,0.258
"P10","Al candidato de los liberales libertarios",0.093,0.203,0.134,0.245,0.119
"P10","A Paula Akerfeld por el Frente de Izquierda",0.036,0.037,0.046,0.081,0.04
"P10","No sabe",0.132,0.082,0.014,0.078,0.155
"P12","A Malena Galmarini por el Frente de Todos",0.31,0.379,0.362,0.347,0.31
"P12","A Segundo Cernadas por Cambiemos",0.405,0.229,0.38,0.358,0.357
"P12","Al candidato de los liberales libertarios",0.1,0.247,0.176,0.166,0.1
"P12","A Paula Akerfeld por el Frente de Izquierda",0.028,0.012,0.026,0.075,0.044
"P12","No sabe",0.157,0.133,0.056,0.054,0.189
"P14","Muy buena",0.138,0.144,0.215,0.169,0.088
"P14","Buena",0.113,0.193,0.344,0.158,0.16
"P14","Ni buena ni mala",0.235,0.167,0.172,0.119,0.275
"P14","Mala",0.159,0.148,0.133,0.201,0.112
"P14","Muy mala",0.293,0.29,0.109,0.299,0.259
"P14","No sabe",0.062,0.058,0.027,0.054,0.106
"P15","Muy buena",0.187,0.153,0.233,0.157,0.303
"P15","Buena",0.171,0.253,0.255,0.213,0.179
"P15","Ni buena ni mala",0.253,0.282,0.294,0.203,0.247
"P15","Mala",0.206,0.085,0.145,0.193,0.112
"P15","Muy mala",0.156,0.19,0.073,0.217,0.089
"P15","No sabe",0.027,0.037,0,0.017,0.07
"P16","Muy buena",0.224,0.091,0.217,0.175,0.157
"P16","Buena",0.198,0.127,0.369,0.233,0.123
"P16","Ni buena ni mala",0.238,0.468,0.098,0.178,0.298
"P16","Mala",0.105,0.137,0.13,0.134,0.177
"P16","Muy mala",0.126,0.076,0.12,0.231,0.11
"P16","No sabe",0.109,0.101,0.066,0.049,0.135
"P17","Muy buena",0.048,0.065,0.086,0.065,0.063
"P17","Buena",0.062,0.035,0.024,0.067,0.037
"P17","Ni buena ni mala",0.323,0.426,0.443,0.323,0.29
"P17","Mala",0.102,0.107,0.046,0.14,0.055
"P17","Muy mala",0.088,0.073,0.038,0.121,0.062
"P17","No sabe",0.377,0.294,0.363,0.284,0.493
"P18","Muy buena",0.103,0.084,0.066,0.156,0.096
"P18","Buena",0.074,0.072,0.077,0.151,0.078
"P18","Ni buena ni mala",0.33,0.47,0.517,0.314,0.323
"P18","Mala",0.151,0.113,0.097,0.042,0.09
"P18","Muy mala",0.109,0.082,0.046,0.168,0.057
"P18","No sabe",0.233,0.179,0.197,0.169,0.356
"P19","Muy buena",0.172,0.145,0.171,0.174,0.275
"P19","Buena",0.203,0.292,0.338,0.208,0.187
"P19","Ni buena ni mala",0.248,0.258,0.304,0.24,0.22
"P19","Mala",0.158,0.147,0.125,0.18,0.139
"P19","Muy mala",0.174,0.155,0.058,0.198,0.106
"P19","No sabe",0.045,0.003,0.004,0,0.073
"P20","Que continúe el intendente Julio Zamora",0.171,0.137,0.211,0.196,0.25
"P20","Que continúe Julio Zamora pero con mejoras",0.244,0.302,0.242,0.206,0.322
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.131,0.147,0.289,0.127,0.173
"P20","Que cambie el intendente Julio Zamora",0.454,0.414,0.258,0.471,0.255
"P21","La seguridad",0.293,0.208,0.35,0.229,0.317
"P21","El tránsito",0.014,0.076,0.056,0.103,0.032
"P21","El arreglo de las calles",0.152,0.092,0.18,0.051,0.146
"P21","El estado de las escuelas y la educación",0.065,0.052,0.077,0.042,0.035
"P21","El sistema de salud",0.069,0.128,0.053,0.074,0.089
"P21","El deporte y la cultura",0.08,0.157,0.067,0.257,0.1
"P21","La obra pública",0.042,0.085,0.009,0.066,0.058
"P21","La luminaria",0.09,0.115,0.035,0.052,0.061
"P21","No sabe",0.195,0.087,0.173,0.126,0.162
"P22","La seguridad",0.183,0.081,0.118,0.176,0.145
"P22","El tránsito",0.12,0.285,0.06,0.102,0.081
"P22","El arreglo de las calles",0.156,0.119,0.304,0.165,0.087
"P22","El estado de las escuelas y la educación",0.161,0.1,0.213,0.266,0.136
"P22","El sistema de salud",0.132,0.245,0.202,0.096,0.254
"P22","El deporte y la cultura",0.013,0.011,0.014,0.039,0.055
"P22","La obra pública",0.055,0.058,0.011,0.042,0.023
"P22","La luminaria",0.013,0.053,0,0.038,0.008
"P22","No sabe",0.167,0.048,0.078,0.076,0.211
"P24","Los robos",0.337,0.258,0.206,0.229,0.161
"P24","El narcotráfico",0.297,0.323,0.175,0.184,0.263
"P24","La ausencia de patrulleros y personal policial",0.147,0.155,0.444,0.2,0.141
"P24","Otro",0.143,0.206,0.155,0.228,0.212
"P24","Ninguno",0.076,0.058,0.02,0.159,0.223
"P25","Frente de Todos y el peronismo",0.34,0.342,0.327,0.325,0.423
"P25","Cambiemos",0.343,0.205,0.238,0.306,0.218
"P25","Liberales Libertarios",0.156,0.317,0.266,0.165,0.158
"P25","Izquierda",0.035,0.025,0,0.102,0.016
