"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de los liberales - libertarios","Al candidato de la Izquierda","A otro candidato","No sabe"
"P8","A Julio Zamora por el Frente de Todos",0.666,0.08,0.166,0.04,0.065,0.25
"P8","A Malena Galmarini por el Frente de Todos",0.169,0.043,0.021,0.136,0.082,0.214
"P8","A Segundo Cernadas por Cambiemos",0.112,0.556,0.164,0.008,0.151,0.075
"P8","A Nicolás Massot por Cambiemos",0.017,0.258,0.024,0.018,0.053,0.006
"P8","Al candidato de los liberales libertarios",0.005,0.044,0.586,0.263,0.086,0.01
"P8","A Paula Akerfeld por el Frente de Izquierda",0.001,0,0.008,0.512,0.16,0.054
"P8","No sabe",0.03,0.019,0.031,0.023,0.403,0.391
"P10","A Julio Zamora por el Frente de Todos",0.776,0.105,0.081,0.011,0.179,0.205
"P10","A Segundo Cernadas por Cambiemos",0.085,0.746,0.142,0.199,0.093,0.357
"P10","Al candidato de los liberales libertarios",0.051,0.105,0.604,0.009,0.194,0.03
"P10","A Paula Akerfeld por el Frente de Izquierda",0.025,0.013,0.04,0.682,0.099,0.015
"P10","No sabe",0.063,0.031,0.133,0.099,0.435,0.393
"P12","A Malena Galmarini por el Frente de Todos",0.623,0.074,0.056,0.134,0.158,0.276
"P12","A Segundo Cernadas por Cambiemos",0.184,0.767,0.187,0.417,0.243,0.202
"P12","Al candidato de los liberales libertarios",0.026,0.095,0.69,0.08,0.141,0.018
"P12","A Paula Akerfeld por el Frente de Izquierda",0.046,0.002,0,0.358,0.114,0.021
"P12","No sabe",0.121,0.062,0.067,0.011,0.344,0.483
"P14","Muy buena",0.257,0.044,0.015,0.2,0.071,0.162
"P14","Buena",0.263,0.068,0.066,0.007,0.132,0.098
"P14","Ni buena ni mala",0.256,0.142,0.174,0.203,0.279,0.263
"P14","Mala",0.106,0.195,0.156,0.401,0.24,0.167
"P14","Muy mala",0.057,0.467,0.484,0.189,0.233,0.14
"P14","No sabe",0.061,0.084,0.105,0,0.045,0.17
"P15","Muy buena",0.386,0.058,0.012,0.078,0.068,0.215
"P15","Buena",0.306,0.131,0.091,0.004,0.184,0.193
"P15","Ni buena ni mala",0.184,0.277,0.289,0.29,0.381,0.315
"P15","Mala",0.052,0.273,0.252,0.125,0.242,0.098
"P15","Muy mala",0.039,0.221,0.322,0.503,0.12,0.069
"P15","No sabe",0.033,0.04,0.034,0,0.005,0.11
"P16","Muy buena",0.101,0.36,0.12,0.073,0.176,0.074
"P16","Buena",0.093,0.337,0.11,0.205,0.141,0.282
"P16","Ni buena ni mala",0.273,0.179,0.475,0.424,0.238,0.225
"P16","Mala",0.218,0.023,0.139,0.067,0.08,0.111
"P16","Muy mala",0.205,0.059,0.06,0.231,0.135,0.139
"P16","No sabe",0.11,0.042,0.096,0,0.23,0.169
"P17","Muy buena",0.114,0.032,0.003,0.011,0,0.04
"P17","Buena",0.045,0.044,0.055,0.08,0.02,0.085
"P17","Ni buena ni mala",0.352,0.35,0.379,0.259,0.265,0.266
"P17","Mala",0.082,0.076,0.154,0.096,0.143,0.009
"P17","Muy mala",0.072,0.064,0.12,0.302,0.17,0.027
"P17","No sabe",0.335,0.434,0.289,0.252,0.402,0.573
"P18","Muy buena",0.108,0.206,0.049,0.011,0.02,0.004
"P18","Buena",0.061,0.11,0.079,0.123,0.11,0.126
"P18","Ni buena ni mala",0.314,0.367,0.39,0.278,0.343,0.313
"P18","Mala",0.167,0.053,0.136,0.046,0.074,0.029
"P18","Muy mala",0.128,0.029,0.122,0.242,0.157,0.086
"P18","No sabe",0.222,0.235,0.224,0.3,0.296,0.442
"P19","Muy buena",0.399,0.04,0.012,0.094,0.065,0.154
"P19","Buena",0.328,0.136,0.104,0.05,0.148,0.224
"P19","Ni buena ni mala",0.139,0.362,0.293,0.372,0.24,0.386
"P19","Mala",0.075,0.222,0.175,0.17,0.257,0.074
"P19","Muy mala",0.031,0.203,0.399,0.314,0.19,0.1
"P19","No sabe",0.028,0.037,0.017,0,0.1,0.062
"P20","Que continúe el intendente Julio Zamora",0.389,0.028,0.058,0,0.032,0.21
"P20","Que continúe Julio Zamora pero con mejoras",0.424,0.095,0.116,0.352,0.286,0.307
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.081,0.216,0.15,0.208,0.177,0.224
"P20","Que cambie el intendente Julio Zamora",0.106,0.661,0.676,0.44,0.505,0.259
"P21","La seguridad",0.331,0.271,0.195,0.013,0.259,0.369
"P21","El tránsito",0.066,0.02,0.043,0.008,0.009,0.026
"P21","El arreglo de las calles",0.169,0.106,0.014,0.5,0.133,0.026
"P21","El estado de las escuelas y la educación",0.032,0.088,0.014,0.013,0.129,0.062
"P21","El sistema de salud",0.072,0.102,0.038,0.06,0.148,0.076
"P21","El deporte y la cultura",0.094,0.087,0.245,0.21,0.085,0.081
"P21","La obra pública",0.088,0.015,0.036,0.019,0.018,0.078
"P21","La luminaria",0.061,0.087,0.148,0.034,0.037,0.074
"P21","No sabe",0.087,0.224,0.267,0.143,0.182,0.208
"P22","La seguridad",0.176,0.164,0.075,0.426,0.085,0.075
"P22","El tránsito",0.133,0.126,0.117,0.208,0.042,0.145
"P22","El arreglo de las calles",0.16,0.185,0.089,0,0.252,0.079
"P22","El estado de las escuelas y la educación",0.145,0.144,0.172,0.165,0.306,0.219
"P22","El sistema de salud",0.179,0.145,0.231,0.044,0.141,0.274
"P22","El deporte y la cultura",0.026,0.016,0.044,0,0.05,0
"P22","La obra pública",0.019,0.041,0.106,0.061,0.063,0.035
"P22","La luminaria",0.027,0.015,0.014,0,0.005,0.021
"P22","No sabe",0.135,0.164,0.152,0.096,0.056,0.152
"P23","Agua corriente y cloacas",0.431,0.493,0.359,0.486,0.472,0.35
"P23","Energía eléctrica",0.143,0.117,0.206,0.057,0.131,0.136
"P23","Red de gas natural",0.086,0.074,0.096,0.098,0.048,0.018
"P23","Recolección de residuos",0.112,0.122,0.18,0.129,0.109,0.206
"P23","Ninguno",0.228,0.194,0.159,0.23,0.24,0.29
"P24","Los robos",0.294,0.183,0.481,0.218,0.153,0.138
"P24","El narcotráfico",0.225,0.37,0.234,0.108,0.206,0.266
