"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Al candidato del Frente de Todos",0.403,0.406,0.401,0.424,0.41,0.378,0.393,0.428,0.43,0.331,0.417,0.387,0.399,0.706,0.226,0.322
"Al candidato de Juntos por el Cambio",0.3,0.286,0.313,0.211,0.268,0.389,0.388,0.27,0.283,0.363,0.312,0.213,0.322,0.103,0.53,0.255
"Al candidato de los liberales - libertarios",0.12,0.154,0.088,0.145,0.151,0.07,0.07,0.123,0.093,0.16,0.121,0.117,0.119,0.06,0.107,0.17
"Al candidato de la Izquierda",0.027,0.023,0.03,0.04,0.025,0.017,0.024,0.017,0.03,0.032,0.023,0.044,0.023,0.023,0.022,0.034
"A otro candidato",0.066,0.076,0.057,0.11,0.063,0.048,0.036,0.074,0.075,0.041,0.048,0.177,0.04,0.042,0.063,0.065
"No sabe",0.084,0.055,0.111,0.07,0.083,0.098,0.089,0.088,0.089,0.073,0.079,0.062,0.097,0.066,0.052,0.154
