"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P34","Positiva",0.285,0.449,0.396,0.014
"P34","Neutra",0.194,0.191,0.198,0.243
"P34","Negativa",0.516,0.348,0.392,0.366
"P34","No sabe",0.005,0.012,0.014,0.377
"P35","Positiva",0.509,0.147,0.138,0.493
"P35","Neutra",0.202,0.163,0.114,0.25
"P35","Negativa",0.281,0.686,0.745,0.257
"P35","No sabe",0.008,0.004,0.003,0
"P36","Positiva",0.252,0.474,0.536,0.275
"P36","Neutra",0.127,0.182,0.127,0.047
"P36","Negativa",0.597,0.337,0.328,0.205
"P36","No sabe",0.024,0.007,0.009,0.473
"P37","Positiva",0.135,0.364,0.459,0.23
"P37","Neutra",0.215,0.29,0.228,0.094
"P37","Negativa",0.614,0.305,0.276,0.085
"P37","No sabe",0.036,0.041,0.037,0.591
