"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"A Malena Galmarini por el Frente de Todos",0.319,0.306,0.332,0.251,0.391,0.274,0.29,0.266,0.394,0.262,0.349,0.263,0.314,0.537,0.179,0.245
"A Segundo Cernadas por Cambiemos",0.376,0.342,0.407,0.388,0.281,0.47,0.482,0.421,0.339,0.382,0.35,0.321,0.417,0.178,0.604,0.355
"Al candidato de los liberales libertarios",0.14,0.198,0.086,0.203,0.167,0.079,0.062,0.182,0.092,0.167,0.14,0.18,0.126,0.09,0.112,0.267
"A Paula Akerfeld por el Frente de Izquierda",0.037,0.039,0.035,0.067,0.029,0.029,0.029,0.015,0.041,0.057,0.017,0.124,0.023,0.049,0.006,0.009
"No sabe",0.128,0.115,0.14,0.091,0.132,0.148,0.137,0.116,0.134,0.132,0.144,0.112,0.12,0.146,0.099,0.124
