"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.193,0.215,0.171,0.285,0.191,0.157,0.14,0.288,0.178,0.127,0.226,0.13,0.295,0.259,0.174,0,0,0
"2",0.073,0.073,0.072,0.081,0.048,0.091,0.099,0.107,0.057,0.065,0.033,0.101,0.043,0.044,0.086,0,0,0
"3",0.062,0.04,0.083,0.068,0.037,0.077,0.096,0.018,0.061,0.102,0.062,0.045,0.048,0.081,0.045,0,0,0
"4",0.055,0.062,0.048,0.021,0.061,0.051,0.088,0.077,0.041,0.057,0.106,0.063,0.009,0.04,0.067,0,0,0
"5",0.15,0.142,0.157,0.122,0.157,0.129,0.196,0.069,0.21,0.132,0.115,0.159,0.063,0.132,0.138,0,0,0
"6",0.044,0.039,0.05,0.035,0.042,0.056,0.046,0,0.044,0.087,0.056,0.043,0.054,0.07,0.035,0,0,0
"7",0.062,0.063,0.061,0.034,0.067,0.079,0.059,0.015,0.058,0.112,0.073,0.103,0.047,0.057,0.081,0,0,0
"8",0.058,0.06,0.056,0.082,0.051,0.043,0.069,0.032,0.062,0.076,0.047,0.029,0.151,0.032,0.103,0,0,0
"9-Pésimo",0.262,0.282,0.243,0.204,0.311,0.274,0.185,0.36,0.241,0.204,0.226,0.252,0.265,0.24,0.258,0,0,0
"No sabe",0.041,0.024,0.059,0.068,0.035,0.043,0.022,0.034,0.048,0.038,0.056,0.075,0.025,0.045,0.013,0,0,0
