"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.163,0.193,0.135,0.131,0.144,0.163,0.245,0.184,0.145,0.168,0.197,0.034,0.145,0.279,0.083,0,0,0,6
"Buena",0.204,0.166,0.241,0.118,0.208,0.299,0.138,0.227,0.188,0.205,0.27,0.077,0.344,0.25,0.152,0,0,0,6
"Ni buena ni mala",0.163,0.146,0.18,0.133,0.151,0.17,0.214,0.055,0.216,0.195,0.168,0.281,0.074,0.113,0.17,0,0,0,6
"Mala",0.296,0.245,0.346,0.406,0.317,0.24,0.219,0.318,0.29,0.285,0.281,0.291,0.239,0.198,0.39,0,0,0,6
"Muy mala",0.165,0.246,0.085,0.212,0.177,0.117,0.156,0.203,0.155,0.14,0.082,0.299,0.198,0.157,0.203,0,0,0,6
"No sabe",0.009,0.004,0.013,0,0.003,0.011,0.028,0.013,0.006,0.007,0.002,0.018,0,0.003,0.002,0,0,0,6
"Positiva",0.367,0.359,0.376,0.249,0.352,0.462,0.383,0.411,0.333,0.373,0.467,0.111,0.489,0.529,0.235,0,0,0,4
"Neutra",0.163,0.146,0.18,0.133,0.151,0.17,0.214,0.055,0.216,0.195,0.168,0.281,0.074,0.113,0.17,0,0,0,4
"Negativa",0.461,0.491,0.431,0.618,0.494,0.357,0.375,0.521,0.445,0.425,0.363,0.59,0.437,0.355,0.593,0,0,0,4
"No sabe",0.009,0.004,0.013,0,0.003,0.011,0.028,0.013,0.006,0.007,0.002,0.018,0,0.003,0.002,0,0,0,4
