"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.136,0.172,0.101,0.196,0.084,0.142,0.161,0.264,0.103,0.035,0.254,0.073,0.123,0.201,0.073,0,0,0,6
"Buena",0.175,0.232,0.122,0.173,0.157,0.175,0.234,0.207,0.148,0.185,0.23,0.154,0.191,0.226,0.076,0,0,0,6
"Ni buena ni mala",0.254,0.208,0.296,0.255,0.259,0.226,0.274,0.183,0.311,0.238,0.297,0.12,0.286,0.304,0.243,0,0,0,6
"Mala",0.278,0.215,0.337,0.248,0.305,0.298,0.225,0.227,0.301,0.298,0.142,0.427,0.203,0.119,0.423,0,0,0,6
"Muy mala",0.147,0.167,0.129,0.121,0.174,0.159,0.103,0.103,0.137,0.223,0.06,0.219,0.195,0.144,0.181,0,0,0,6
"No sabe",0.01,0.006,0.015,0.007,0.021,0,0.003,0.016,0,0.021,0.017,0.007,0.002,0.006,0.004,0,0,0,6
"Positiva",0.311,0.404,0.223,0.369,0.241,0.317,0.395,0.471,0.251,0.22,0.484,0.227,0.314,0.427,0.149,0,0,0,4
"Neutra",0.254,0.208,0.296,0.255,0.259,0.226,0.274,0.183,0.311,0.238,0.297,0.12,0.286,0.304,0.243,0,0,0,4
"Negativa",0.425,0.382,0.466,0.369,0.479,0.457,0.328,0.33,0.438,0.521,0.202,0.646,0.398,0.263,0.604,0,0,0,4
"No sabe",0.01,0.006,0.015,0.007,0.021,0,0.003,0.016,0,0.021,0.017,0.007,0.002,0.006,0.004,0,0,0,4
