"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Muy de acuerdo",0.236,0.258,0.214,0.294,0.173,0.246,0.291,0.321,0.227,0.144,0.296,0.258,0.101,0.189,0.232,0,0,0
"De acuerdo",0.168,0.203,0.134,0.117,0.159,0.238,0.181,0.147,0.121,0.277,0.191,0.171,0.172,0.208,0.126,0,0,0
"Ni de acuerdo ni en desacuerdo",0.314,0.276,0.35,0.368,0.34,0.235,0.26,0.205,0.422,0.257,0.273,0.217,0.52,0.284,0.35,0,0,0
"En desacuerdo",0.148,0.111,0.185,0.074,0.176,0.167,0.18,0.143,0.145,0.162,0.136,0.176,0.111,0.155,0.155,0,0,0
"Muy en desacuerdo",0.085,0.106,0.066,0.147,0.073,0.071,0.029,0.103,0.06,0.109,0.046,0.087,0.092,0.138,0.062,0,0,0
"No sabe",0.049,0.046,0.051,0,0.079,0.043,0.059,0.081,0.025,0.051,0.058,0.091,0.004,0.026,0.075,0,0,0
