"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"CFK","Ni buena ni mala",0.101,0.103,0.099,0.027,0.15,0.068,0.101,0.07,0.112,0.116,0.111,0.062,0.107,0.16,0.032,0,0,0
"CFK","Mala",0.239,0.257,0.22,0.232,0.207,0.268,0.281,0.27,0.251,0.192,0.349,0.164,0.112,0.169,0.316,0,0,0
"CFK","Muy mala",0.361,0.341,0.382,0.43,0.391,0.358,0.221,0.287,0.416,0.36,0.251,0.665,0.291,0.213,0.519,0,0,0
"CFK","No sabe",0.017,0.006,0.027,0,0.019,0,0.054,0.028,0.02,0.002,0.01,0.039,0,0.005,0.024,0,0,0
"Aníbal Tortoriello","Muy buena",0.111,0.115,0.107,0.056,0.073,0.122,0.245,0.155,0.102,0.081,0.18,0.208,0.047,0.051,0.173,0,0,0
"Aníbal Tortoriello","Buena",0.155,0.142,0.167,0.174,0.152,0.093,0.235,0.111,0.171,0.174,0.171,0.259,0.061,0.137,0.178,0,0,0
"Aníbal Tortoriello","Ni buena ni mala",0.347,0.342,0.352,0.224,0.405,0.386,0.266,0.201,0.49,0.297,0.396,0.39,0.263,0.239,0.418,0,0,0
"Aníbal Tortoriello","Mala",0.182,0.181,0.183,0.266,0.164,0.196,0.123,0.137,0.173,0.236,0.161,0.018,0.223,0.29,0.118,0,0,0
"Aníbal Tortoriello","Muy mala",0.16,0.209,0.112,0.196,0.176,0.15,0.098,0.383,0.022,0.132,0.081,0.092,0.382,0.257,0.067,0,0,0
"Aníbal Tortoriello","No sabe",0.045,0.011,0.079,0.084,0.03,0.053,0.033,0.013,0.042,0.08,0.011,0.033,0.024,0.026,0.046,0,0,0
"Mauricio Macri","Muy buena",0.115,0.178,0.055,0.221,0.053,0.122,0.16,0.144,0.111,0.095,0.11,0.245,0.033,0.129,0.134,0,0,0
"Mauricio Macri","Buena",0.135,0.099,0.17,0.091,0.126,0.149,0.183,0.121,0.192,0.072,0.15,0.248,0.039,0.046,0.188,0,0,0
"Mauricio Macri","Ni buena ni mala",0.151,0.126,0.175,0.1,0.187,0.092,0.198,0.083,0.172,0.187,0.171,0.189,0,0.037,0.282,0,0,0
"Mauricio Macri","Mala",0.209,0.164,0.252,0.182,0.17,0.268,0.246,0.194,0.155,0.294,0.274,0.113,0.208,0.238,0.179,0,0,0
"Mauricio Macri","Muy mala",0.383,0.429,0.338,0.406,0.461,0.369,0.178,0.444,0.37,0.342,0.293,0.186,0.72,0.547,0.215,0,0,0
