"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.142,0.145,0.139,0.208,0.106,0.124,0.151,0.222,0.126,0.072,0.28,0.051,0.049,0.225,0.068,0,0,0,6
"Buena",0.173,0.215,0.134,0.176,0.155,0.17,0.226,0.193,0.162,0.17,0.265,0.098,0.27,0.271,0.07,0,0,0,6
"Ni buena ni mala",0.281,0.259,0.302,0.251,0.247,0.344,0.335,0.234,0.306,0.293,0.267,0.253,0.297,0.24,0.29,0,0,0,6
"Mala",0.242,0.169,0.311,0.247,0.265,0.244,0.164,0.196,0.259,0.268,0.116,0.387,0.166,0.157,0.351,0,0,0,6
"Muy mala",0.153,0.209,0.099,0.118,0.211,0.114,0.11,0.15,0.139,0.182,0.055,0.205,0.215,0.104,0.215,0,0,0,6
"No sabe",0.009,0.003,0.015,0,0.016,0.004,0.014,0.005,0.008,0.015,0.017,0.006,0.003,0.003,0.006,0,0,0,6
"Positiva",0.315,0.36,0.273,0.384,0.261,0.294,0.377,0.415,0.288,0.242,0.545,0.149,0.319,0.496,0.138,0,0,0,4
"Neutra",0.281,0.259,0.302,0.251,0.247,0.344,0.335,0.234,0.306,0.293,0.267,0.253,0.297,0.24,0.29,0,0,0,4
"Negativa",0.395,0.378,0.41,0.365,0.476,0.358,0.274,0.346,0.398,0.45,0.171,0.592,0.381,0.261,0.566,0,0,0,4
"No sabe",0.009,0.003,0.015,0,0.016,0.004,0.014,0.005,0.008,0.015,0.017,0.006,0.003,0.003,0.006,0,0,0,4
