"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Muy de acuerdo",0.312,0.355,0.269,0.551,0.26,0.235,0.249,0.462,0.313,0.156,0.389,0.351,0.156,0.239,0.348,0,0,0
"De acuerdo",0.15,0.135,0.166,0.027,0.155,0.217,0.2,0.161,0.137,0.16,0.128,0.298,0.084,0.082,0.252,0,0,0
"Ni de acuerdo ni en desacuerdo",0.192,0.203,0.18,0.062,0.235,0.205,0.228,0.17,0.208,0.189,0.216,0.174,0.15,0.161,0.216,0,0,0
"En desacuerdo",0.212,0.168,0.255,0.198,0.213,0.208,0.231,0.127,0.256,0.23,0.178,0.102,0.343,0.331,0.098,0,0,0
"Muy en desacuerdo",0.124,0.131,0.117,0.162,0.125,0.116,0.085,0.08,0.086,0.228,0.084,0.064,0.264,0.172,0.078,0,0,0
"No sabe",0.01,0.008,0.013,0,0.012,0.019,0.007,0,0,0.037,0.005,0.011,0.003,0.015,0.008,0,0,0
