"var","categoria","1-Excelente","2","3","4","5","6","7","8","9-Pésimo","No sabe"
"P12","Gran excedente habitual",0,0.02,0,0,0.094,0,0,0,0.015,0
"P12","Gran excedente excepcional",0,0,0,0.04,0,0,0,0,0,0
"P12","Pequeño excedente habitual",0.008,0,0.042,0.043,0.019,0,0.068,0.011,0.027,0.019
"P12","Pequeño excedente excepcional",0.034,0,0.031,0.195,0.078,0.036,0.089,0.06,0.099,0
"P12","Alcanza gastos familia",0.122,0.1,0.071,0.153,0.071,0.145,0.257,0.158,0.111,0.019
"P12","No alcanza gastos familia",0.104,0.036,0.09,0.067,0.129,0.157,0.062,0,0.069,0.04
"P12","Solo NBFamiliares",0.233,0.424,0.204,0.179,0.342,0.394,0.344,0.457,0.329,0.438
"P12","No alcanza NBFamiliares",0.499,0.398,0.562,0.323,0.262,0.268,0.158,0.314,0.35,0.484
"P12","No sabe",0,0.022,0,0,0.005,0,0.022,0,0,0
"P13","Muy buena",0.356,0.038,0.078,0.05,0.056,0.037,0.015,0.147,0.143,0.038
"P13","Buena",0.112,0.27,0.148,0.104,0.151,0.264,0.18,0.023,0.112,0.437
"P13","Ni buena ni mala",0.173,0.224,0.497,0.326,0.313,0.344,0.298,0.322,0.109,0.345
"P13","Mala",0.195,0.37,0.128,0.196,0.379,0.25,0.409,0.371,0.23,0.053
"P13","Muy mala",0.164,0.062,0.096,0.168,0.101,0.09,0.098,0.137,0.406,0.127
"P13","No sabe",0,0.036,0.053,0.156,0,0.015,0,0,0,0
"P14","Muy buena",0.265,0.357,0.026,0.336,0.306,0.2,0.124,0.162,0.369,0.428
"P14","Buena",0.097,0.117,0.12,0.302,0.189,0.195,0.307,0.111,0.127,0.147
"P14","Ni buena ni mala",0.11,0.213,0.305,0.074,0.113,0.122,0.107,0.177,0.139,0.04
"P14","Mala",0.279,0.148,0.059,0,0.11,0.105,0.213,0.322,0.072,0.223
"P14","Muy mala",0.249,0.165,0.463,0.288,0.282,0.378,0.249,0.228,0.293,0.162
"P14","No sabe",0,0,0.027,0,0,0,0,0,0,0
"P16","Muy buena",0.321,0.176,0.264,0.05,0.174,0.083,0.039,0.023,0.254,0
"P16","Buena",0.164,0.205,0.283,0.377,0.169,0.298,0.226,0.164,0.097,0.162
"P16","Ni buena ni mala",0.169,0.212,0.194,0.35,0.391,0.384,0.135,0.425,0.07,0.722
"P16","Mala",0.179,0.325,0.191,0.223,0.14,0.049,0.326,0.344,0.25,0.057
"P16","Muy mala",0.136,0.082,0.053,0,0.126,0.111,0.234,0.044,0.329,0.059
"P16","No sabe",0.031,0,0.015,0,0,0.075,0.04,0,0,0
"P19","Muy buena",0.223,0.113,0.265,0.248,0.04,0.139,0.013,0.077,0.079,0
"P19","Buena",0.247,0.154,0.262,0.239,0.118,0.173,0.292,0.225,0.089,0.106
"P19","Ni buena ni mala",0.182,0.245,0.355,0.189,0.488,0.378,0.319,0.213,0.098,0.694
"P19","Mala",0.156,0.351,0.036,0.27,0.234,0.153,0.278,0.165,0.352,0.2
"P19","Muy mala",0.192,0.137,0.082,0.054,0.103,0.111,0.098,0.32,0.354,0
"P19","No sabe",0,0,0,0,0.017,0.046,0,0,0.028,0
"P20","Gobierno nacional",0.438,0.259,0.595,0.338,0.299,0.355,0.365,0.151,0.147,0.078
"P20","Gobierno provincial",0.449,0.432,0.303,0.638,0.496,0.42,0.523,0.767,0.731,0.652
"P20","No sabe",0.113,0.309,0.102,0.024,0.205,0.225,0.112,0.082,0.122,0.27
"P21","El anterior gobierno de Arabela Carreras",0.355,0.328,0.12,0.305,0.189,0.022,0.349,0.385,0.291,0.685
"P21","El actual gobierno de Alberto Weretilneck",0.603,0.58,0.761,0.578,0.769,0.889,0.322,0.461,0.69,0.292
"P21","No sabe",0.042,0.092,0.119,0.117,0.042,0.089,0.329,0.154,0.019,0.023
"P22","El anterior gobierno de Alberto Fernández",0.248,0.665,0.275,0.126,0.099,0.135,0.193,0,0.783,0.52
"P22","El actual gobierno de Javier Milei",0.752,0.202,0.725,0.874,0.901,0.865,0.694,1,0.19,0.48
"P22","No sabe",0,0.133,0,0,0,0,0.113,0,0.027,0
"P23","Empleado sector publico",0.269,0.23,0.089,0.476,0.307,0.319,0.126,0.211,0.349,0.28
"P23","Empleado sector privado",0.18,0.218,0.23,0.091,0.18,0.09,0.269,0.149,0.256,0.448
"P23","Changas o trabajos eventuales",0.303,0.296,0.011,0.219,0.174,0.31,0.096,0.353,0.154,0.168
"P23","Estudiante",0,0,0.045,0,0.061,0,0,0,0.05,0
"P23","Amas de casa",0.026,0.093,0.341,0.04,0.044,0.043,0.102,0.177,0.073,0
"P23","Profesional o independiente",0.106,0.053,0.175,0.11,0.077,0.206,0.19,0.061,0.058,0.066
"P23","Comerciante, emprendedor o empresario",0.032,0.071,0.031,0,0.139,0,0.136,0.011,0.008,0
"P23","Trabajador informal",0,0,0,0,0,0,0.04,0,0.011,0
"P23","No tengo trabajo",0.084,0.039,0.078,0.064,0.018,0.032,0.041,0.038,0.041,0.038
"P24","Muy de acuerdo",0.329,0.462,0.139,0.139,0.202,0.12,0.112,0.253,0.288,0.372
"P24","De acuerdo",0.069,0.17,0.25,0.305,0.313,0.182,0.225,0.112,0.145,0.084
"P24","Ni de acuerdo ni en desacuerdo",0.354,0.259,0.397,0.135,0.221,0.465,0.302,0.494,0.241,0.213
"P24","En desacuerdo",0.118,0.047,0.072,0.381,0.088,0.057,0.196,0.084,0.166,0.223
"P24","Muy en desacuerdo",0.126,0.021,0.069,0.04,0.147,0.063,0.08,0.057,0.143,0.068
"P24","No sabe",0.004,0.041,0.073,0,0.029,0.113,0.085,0,0.017,0.04
"P25","Muy de acuerdo",0.154,0.267,0.05,0.253,0.206,0.035,0,0.071,0.153,0.391
"P25","De acuerdo",0.042,0.348,0.051,0.29,0.143,0.106,0.255,0.05,0.11,0.019
"P25","Ni de acuerdo ni en desacuerdo",0.181,0.088,0.128,0.109,0.198,0.284,0.041,0.345,0.184,0.101
"P25","En desacuerdo",0.335,0.223,0.381,0.279,0.433,0.425,0.298,0.496,0.369,0.427
"P25","Muy en desacuerdo",0.288,0.074,0.39,0.069,0.02,0.15,0.379,0.038,0.184,0.062
"P25","No sabe",0,0,0,0,0,0,0.027,0,0,0
"P26","Si",0.639,0.621,0.753,0.931,0.807,0.905,0.92,0.691,0.69,0.625
"P26","No",0.361,0.379,0.247,0.069,0.193,0.095,0.08,0.309,0.31,0.375
"P27","Muy de acuerdo",0.323,0.309,0.339,0.211,0.248,0.037,0.035,0,0.292,0.407
"P27","De acuerdo",0.07,0.131,0.119,0.17,0.311,0.234,0.176,0.191,0.185,0.127
"P27","Ni de acuerdo ni en desacuerdo",0.202,0.305,0.142,0.331,0.133,0.212,0.138,0.176,0.242,0.065
"P27","En desacuerdo",0.241,0.195,0.225,0.217,0.259,0.351,0.253,0.542,0.175,0.335
"P27","Muy en desacuerdo",0.159,0.06,0.175,0.071,0.049,0.166,0.398,0.071,0.106,0.066
"P27","No sabe",0.005,0,0,0,0,0,0,0.02,0,0
"P28","Si",0.753,0.701,0.604,0.82,0.863,0.851,0.821,0.428,0.769,0.537
"P28","No",0.247,0.299,0.396,0.18,0.137,0.149,0.179,0.572,0.231,0.463
"P29","Muy de acuerdo",0.336,0.391,0.125,0.477,0.305,0.188,0.158,0.343,0.34,0.353
"P29","De acuerdo",0.104,0.219,0.145,0.099,0.196,0.037,0.242,0.121,0.161,0.181
"P29","Ni de acuerdo ni en desacuerdo",0.2,0.158,0.113,0.121,0.255,0.275,0.149,0.293,0.16,0.118
"P29","En desacuerdo",0.197,0.116,0.474,0.262,0.174,0.349,0.265,0.175,0.156,0.304
"P29","Muy en desacuerdo",0.152,0.116,0.116,0.041,0.052,0.101,0.173,0.057,0.183,0.044
"P29","No sabe",0.011,0,0.027,0,0.018,0.05,0.013,0.011,0,0
"P30","No estaba enterado",0.157,0.363,0.205,0.373,0.121,0.297,0.195,0.551,0.253,0.618
"P30","De acuerdo",0.512,0.421,0.195,0.324,0.5,0.143,0.362,0.123,0.436,0.236
"P30","En desacuerdo",0.266,0.182,0.502,0.265,0.299,0.375,0.36,0.326,0.21,0.066
"P30","No sabe",0.065,0.034,0.098,0.038,0.08,0.185,0.083,0,0.101,0.08
"P31","No tengo cable ni internet",0.271,0.338,0.129,0.363,0.182,0,0.041,0.184,0.275,0.303
"P31","Si tuve",0.603,0.531,0.726,0.294,0.581,0.729,0.811,0.668,0.513,0.531
"P31","No tuve",0.126,0.131,0.145,0.343,0.237,0.271,0.148,0.148,0.212,0.166
"P32","Reclamando directamente a la empresa",0.544,0.198,0.64,0.513,0.238,0.388,0.35,0.044,0.297,0.904
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.2,0.56,0.157,0.209,0.462,0.262,0.339,0.317,0.387,0
"P32","Nunca se pudo resolver",0.256,0.242,0.203,0.278,0.3,0.35,0.311,0.639,0.316,0.096
"P33","1-Excelente",0.603,0.227,0.104,0.089,0.098,0.014,0,0,0.025,0
"P33","2",0.167,0.635,0.172,0.076,0.074,0.138,0,0,0,0.022
"P33","3",0.029,0.032,0.266,0.035,0.01,0,0,0,0.006,0
"P33","4",0.044,0.032,0.067,0.562,0.026,0.064,0,0,0,0
"P33","5",0.135,0.046,0.288,0.115,0.6,0.216,0.14,0.132,0,0
"P33","6",0,0.009,0,0.123,0.042,0.117,0.195,0.302,0.005,0
