"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Martín Urionagüena a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.398,0.359,0.393,0.24,0.347,0.313
"P05","Bastante",0.32,0.319,0.287,0.522,0.042,0.304
"P05","Poco",0.164,0.224,0.21,0.194,0.227,0.136
"P05","Nada",0.082,0.084,0.064,0.044,0.376,0.195
"P05","No sabe",0.036,0.014,0.046,0,0.008,0.052
"P06","Siempre",0.174,0.164,0.129,0.049,0.144,0.07
"P06","Casi siempre",0.354,0.479,0.256,0.796,0.115,0.271
"P06","Casi nunca",0.264,0.193,0.233,0.111,0.24,0.258
"P06","Nunca, pero esta es una excepción",0.208,0.164,0.382,0.044,0.501,0.401
"P08","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.594,0.068,0.159,0.123,0,0.044
"P08","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por Unión por la Patria",0.21,0.057,0.085,0.166,0.405,0.197
"P08","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.054,0.576,0.129,0.069,0,0.009
"P08","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.043,0.194,0.072,0.09,0.048,0.078
"P08","Javier Milei a presidente, Carolina Piparo a gobernadora y Martín Urionagüena a intendente por la Libertad Avanza",0.068,0.101,0.546,0.01,0.029,0.02
"P08","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.002,0.009,0.456,0,0.021
"P08","En blanco",0,0.002,0,0.007,0.487,0.01
"P08","No sabe",0.031,0,0,0.079,0.031,0.621
"P14","Si",0.369,0.414,0.4,0.464,0.171,0.473
"P14","No",0.631,0.586,0.6,0.536,0.829,0.527
