"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Siempre",0.138,0.165,0.112,0.115,0.117,0.207,0.15,0.127,0.126,0.179,0.161,0.115,0.126,0.125,0.234,0.117
"Casi siempre",0.35,0.389,0.313,0.25,0.36,0.409,0.443,0.315,0.386,0.33,0.311,0.292,0.412,0.412,0.411,0.244
"Casi nunca",0.245,0.211,0.277,0.24,0.266,0.24,0.196,0.196,0.256,0.295,0.212,0.378,0.222,0.268,0.181,0.571
"Nunca, pero esta es una excepción",0.267,0.235,0.298,0.395,0.257,0.144,0.211,0.362,0.232,0.196,0.316,0.215,0.24,0.195,0.174,0.068
