"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Menos de 5 años ",0.217,0.219,0.215,0.356,0.255,0.172,0.163,0.187,0.238,0.187,0.198,0.229,0.195,0.189,0.279,0.319,0.172
"Entre 6 y 10 años",0.212,0.225,0.201,0.39,0.276,0.131,0.138,0.179,0.23,0.174,0.197,0.194,0.211,0.277,0.179,0.219,0.245
"Entre 11 y 20 años",0.246,0.235,0.256,0.169,0.32,0.207,0.137,0.227,0.257,0.272,0.265,0.261,0.251,0.222,0.261,0.213,0.236
"Mas de 20 años",0.325,0.321,0.328,0.085,0.149,0.49,0.562,0.407,0.275,0.367,0.34,0.316,0.343,0.312,0.281,0.249,0.347
