"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.799,0.775,0.82,0.6,0.813,0.816,0.783,0.778,0.802,0.83,0.802,0.848,0.81,0.805,0.771,0.809,0.733
"No",0.201,0.225,0.18,0.4,0.187,0.184,0.217,0.222,0.198,0.17,0.198,0.152,0.19,0.195,0.229,0.191,0.267
