"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.484,0.498,0.471,0.478,0.463,0.494,0.522,0.472,0.491,0.517,0.474,0.451,0.491,0.463,0.535,0.432,0.504
"No",0.448,0.443,0.452,0.478,0.458,0.449,0.414,0.436,0.427,0.432,0.467,0.549,0.437,0.464,0.39,0.535,0.431
"No sabe",0.068,0.059,0.077,0.044,0.079,0.057,0.064,0.092,0.082,0.051,0.059,0,0.072,0.073,0.075,0.033,0.065
