"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.637,0.637,0.638,0.739,0.605,0.635,0.691,0.605,0.597,0.659,0.613,0.536,0.586,0.717,0.64,0.745,0.643
"No",0.303,0.311,0.294,0.217,0.334,0.31,0.239,0.298,0.327,0.32,0.31,0.359,0.361,0.243,0.341,0.203,0.289
"No sabe",0.06,0.052,0.068,0.044,0.061,0.055,0.07,0.097,0.076,0.021,0.077,0.105,0.053,0.04,0.019,0.052,0.068
