"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.516,0.54,0.49,0.375,0.525,0.533,0.503,0.529,0.498,0.529,0.578,0.545,0.423,0.545,0.546,0.451,0.579
"No",0.444,0.425,0.464,0.5,0.441,0.438,0.445,0.44,0.456,0.445,0.37,0.455,0.548,0.392,0.454,0.487,0.373
"No sabe",0.04,0.035,0.046,0.125,0.034,0.029,0.052,0.031,0.046,0.026,0.052,0,0.029,0.063,0,0.062,0.048
