"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.636,0.625,0.645,0.474,0.605,0.679,0.691,0.677,0.584,0.693,0.662,0.321,0.58,0.659,0.648,0.679,0.513
"No",0.304,0.313,0.296,0.421,0.35,0.255,0.235,0.268,0.351,0.286,0.27,0.597,0.32,0.29,0.287,0.262,0.417
"No sabe",0.06,0.062,0.059,0.105,0.045,0.066,0.074,0.055,0.065,0.021,0.068,0.082,0.1,0.051,0.065,0.059,0.07
