"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.517,0.529,0.506,0.5,0.515,0.523,0.52,0.518,0.488,0.527,0.542,0.348,0.502,0.521,0.466,0.634,0.467
"No",0.483,0.471,0.494,0.5,0.485,0.477,0.48,0.482,0.512,0.473,0.458,0.652,0.498,0.479,0.534,0.366,0.533
