"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Toloza Paz",0.338,0.334,0.341,0.299,0.342,0.367,0.347,0.369,0.314,0.336,0.591,0.084,0.108
"Diego Santilli",0.249,0.245,0.252,0.211,0.222,0.27,0.346,0.254,0.239,0.259,0.095,0.578,0.164
"Facundo Manes",0.095,0.103,0.088,0.05,0.111,0.111,0.105,0.063,0.097,0.136,0.041,0.159,0.195
"Florencio Randazzo",0.047,0.043,0.051,0.037,0.06,0.052,0.027,0.039,0.055,0.046,0.043,0.024,0.202
"A los candidatos de la izquierda",0.029,0.026,0.032,0.033,0.036,0.02,0.021,0.024,0.029,0.036,0.03,0.008,0.032
"Jose Luis Espert",0.072,0.113,0.035,0.15,0.057,0.044,0.022,0.049,0.085,0.081,0.033,0.075,0.112
"Otros candidatos",0.069,0.052,0.085,0.097,0.073,0.05,0.042,0.083,0.07,0.048,0.076,0.029,0.046
"Votaría en blanco o anularía",0.101,0.084,0.116,0.123,0.099,0.086,0.09,0.119,0.111,0.058,0.091,0.043,0.141
