"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.148,0.082,0.245,0.539,0.074,0.102,0.128,0.089,0.231,0.101,0.213,0.106,0.062,0.103,0.216,0,0,0
"2",0.158,0.164,0.15,0,0.102,0.305,0.165,0.281,0.221,0.063,0.119,0.221,0,0.128,0.165,0,0,0
"3",0.033,0.031,0.036,0,0.031,0.04,0.049,0,0.006,0.067,0.016,0.055,0.021,0.039,0.035,0,0,0
"4",0.072,0.092,0.042,0.082,0.059,0.078,0.083,0,0.108,0.068,0.049,0.118,0.022,0.106,0.057,0,0,0
"5",0.161,0.167,0.151,0,0.194,0.116,0.249,0.172,0.198,0.127,0.244,0.068,0.02,0.163,0.133,0,0,0
"6",0.047,0.033,0.068,0,0.025,0.054,0.11,0.096,0.025,0.048,0.058,0,0,0.081,0.03,0,0,0
"7",0.032,0.049,0.008,0,0.026,0.031,0.067,0,0.024,0.051,0.03,0.045,0,0.015,0.056,0,0,0
"8",0.042,0.05,0.032,0,0.075,0.033,0.015,0,0,0.092,0.027,0.037,0.101,0.051,0.034,0,0,0
"9-Pésimo",0.275,0.29,0.252,0.297,0.395,0.224,0.086,0.362,0.164,0.333,0.232,0.316,0.754,0.291,0.25,0,0,0
"No sabe",0.032,0.042,0.016,0.082,0.019,0.017,0.048,0,0.023,0.05,0.012,0.034,0.02,0.023,0.024,0,0,0
