"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Si",0.692,0.753,0.611,0.752,0.668,0.797,0.553,0.56,0.626,0.828,0.562,0.873,0.898,0.629,0.82,0,0,0
"No",0.308,0.247,0.389,0.248,0.332,0.203,0.447,0.44,0.374,0.172,0.438,0.127,0.102,0.371,0.18,0,0,0
