"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.214,0.121,0.339,0,0.283,0.154,0.253,0.214,0.297,0.171,0.177,0,0.809,0.438,0.005,0,0,0,6
"Buena",0.165,0.219,0.093,0,0.154,0.231,0.217,0.378,0.127,0.111,0.185,0.013,0.158,0.342,0,0,0,0,6
"Ni buena ni mala",0.054,0.056,0.052,0,0.08,0.04,0.047,0,0.047,0.077,0.069,0,0,0.093,0.024,0,0,0,6
"Mala",0.255,0.316,0.172,0.237,0.23,0.31,0.262,0.408,0.311,0.174,0.274,0.421,0.033,0.031,0.38,0,0,0,6
"Muy mala",0.312,0.288,0.344,0.763,0.253,0.265,0.221,0,0.218,0.467,0.295,0.566,0,0.096,0.591,0,0,0,6
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Positiva",0.379,0.34,0.432,0,0.437,0.385,0.47,0.592,0.424,0.282,0.362,0.013,0.967,0.78,0.005,0,0,0,4
"Neutra",0.054,0.056,0.052,0,0.08,0.04,0.047,0,0.047,0.077,0.069,0,0,0.093,0.024,0,0,0,4
"Negativa",0.567,0.604,0.516,1,0.483,0.575,0.483,0.408,0.529,0.641,0.569,0.987,0.033,0.127,0.971,0,0,0,4
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
