"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.243,0.249,0.235,0,0.25,0.179,0.436,0.378,0.266,0.184,0.181,0,0.728,0.506,0,0,0,0,6
"Buena",0.144,0.127,0.168,0,0.177,0.218,0.086,0.214,0.063,0.162,0.175,0.013,0.238,0.263,0.02,0,0,0,6
"Ni buena ni mala",0.039,0.034,0.046,0,0.051,0.056,0.019,0,0.015,0.065,0.036,0.054,0,0.032,0.049,0,0,0,6
"Mala",0.234,0.302,0.141,0.238,0.191,0.313,0.239,0.348,0.301,0.158,0.224,0.461,0,0.106,0.276,0,0,0,6
"Muy mala",0.338,0.288,0.406,0.762,0.331,0.234,0.211,0.06,0.355,0.427,0.384,0.472,0.034,0.093,0.655,0,0,0,6
"No sabe",0.002,0,0.004,0,0,0,0.009,0,0,0.004,0,0,0,0,0,0,0,0,6
"Positiva",0.387,0.376,0.403,0,0.427,0.397,0.522,0.592,0.329,0.346,0.356,0.013,0.966,0.769,0.02,0,0,0,4
"Neutra",0.039,0.034,0.046,0,0.051,0.056,0.019,0,0.015,0.065,0.036,0.054,0,0.032,0.049,0,0,0,4
"Negativa",0.572,0.59,0.547,1,0.522,0.547,0.45,0.408,0.656,0.585,0.608,0.933,0.034,0.199,0.931,0,0,0,4
"No sabe",0.002,0,0.004,0,0,0,0.009,0,0,0.004,0,0,0,0,0,0,0,0,4
