"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.039,0.024,0.059,0,0.064,0.03,0.018,0,0.009,0.068,0.037,0,0.174,0.064,0.02,0,0,0,6
"Buena",0.248,0.278,0.208,0,0.225,0.144,0.546,0.512,0.26,0.151,0.201,0.048,0.521,0.439,0.086,0,0,0,6
"Ni buena ni mala",0.306,0.307,0.306,0.322,0.369,0.342,0.129,0.214,0.356,0.312,0.435,0.189,0.272,0.401,0.131,0,0,0,6
"Mala",0.224,0.226,0.22,0.237,0.181,0.373,0.155,0.214,0.194,0.243,0.129,0.505,0.033,0.051,0.428,0,0,0,6
"Muy mala",0.156,0.139,0.179,0.441,0.145,0.1,0.073,0,0.172,0.202,0.169,0.258,0,0.021,0.33,0,0,0,6
"No sabe",0.027,0.026,0.028,0,0.016,0.011,0.079,0.06,0.009,0.024,0.029,0,0,0.024,0.005,0,0,0,6
"Positiva",0.287,0.302,0.267,0,0.289,0.174,0.564,0.512,0.269,0.219,0.238,0.048,0.695,0.503,0.106,0,0,0,4
"Neutra",0.306,0.307,0.306,0.322,0.369,0.342,0.129,0.214,0.356,0.312,0.435,0.189,0.272,0.401,0.131,0,0,0,4
"Negativa",0.38,0.365,0.399,0.678,0.326,0.473,0.228,0.214,0.366,0.445,0.298,0.763,0.033,0.072,0.758,0,0,0,4
"No sabe",0.027,0.026,0.028,0,0.016,0.011,0.079,0.06,0.009,0.024,0.029,0,0,0.024,0.005,0,0,0,4
