"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.09,0.136,0.028,0,0.018,0.228,0.153,0.348,0.007,0.044,0.066,0.267,0,0,0.226,0,0,0,6
"Buena",0.207,0.219,0.192,0.441,0.229,0.119,0.118,0,0.268,0.248,0.228,0.405,0.033,0.158,0.26,0,0,0,6
"Ni buena ni mala",0.29,0.233,0.367,0.118,0.234,0.412,0.38,0.429,0.24,0.267,0.266,0.252,0.135,0.387,0.229,0,0,0,6
"Mala",0.142,0.14,0.146,0.119,0.185,0.126,0.083,0,0.085,0.221,0.133,0.032,0.378,0.199,0.055,0,0,0,6
"Muy mala",0.236,0.25,0.216,0.322,0.31,0.083,0.187,0.164,0.382,0.185,0.27,0.034,0.454,0.23,0.206,0,0,0,6
"No sabe",0.035,0.022,0.051,0,0.024,0.032,0.079,0.059,0.018,0.035,0.037,0.01,0,0.026,0.024,0,0,0,6
"Positiva",0.297,0.355,0.22,0.441,0.247,0.347,0.271,0.348,0.275,0.292,0.294,0.672,0.033,0.158,0.486,0,0,0,4
"Neutra",0.29,0.233,0.367,0.118,0.234,0.412,0.38,0.429,0.24,0.267,0.266,0.252,0.135,0.387,0.229,0,0,0,4
"Negativa",0.378,0.39,0.362,0.441,0.495,0.209,0.27,0.164,0.467,0.406,0.403,0.066,0.832,0.429,0.261,0,0,0,4
"No sabe",0.035,0.022,0.051,0,0.024,0.032,0.079,0.059,0.018,0.035,0.037,0.01,0,0.026,0.024,0,0,0,4
