"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"A Malena Galmarini por el Frente de Todos",0.243,0.245,0.241,0.209,0.239,0.254,0.288,0.232,0.278,0.197,0.189,0.176,0.318,0.48,0.142,0.067
"A Segundo Cernadas por Cambiemos",0.334,0.285,0.383,0.248,0.324,0.408,0.376,0.349,0.305,0.366,0.345,0.313,0.332,0.168,0.54,0.549
"Al candidato de los liberales libertarios",0.218,0.307,0.131,0.384,0.21,0.156,0.094,0.196,0.231,0.22,0.241,0.209,0.201,0.107,0.222,0.078
"A Paula Akerfeld por el Frente de Izquierda",0.045,0.042,0.046,0.03,0.069,0.016,0.04,0.049,0.029,0.065,0.026,0.116,0.034,0.047,0.009,0.203
"No sabe",0.16,0.121,0.199,0.129,0.158,0.166,0.202,0.174,0.157,0.152,0.199,0.186,0.115,0.198,0.087,0.103
