"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Son lo mismo, ambos son de Massa",0.285,0.271,0.298,0.33,0.279,0.281,0.246,0.328,0.261,0.276,0.281,0.272,0.293,0.232,0.32,0.319
"Son aliados en el Frente de Todos pero compiten",0.271,0.286,0.256,0.189,0.291,0.297,0.282,0.246,0.285,0.274,0.251,0.221,0.307,0.338,0.232,0.291
"Son enemigos porque Zamora traicionó a Massa",0.223,0.261,0.185,0.294,0.2,0.21,0.215,0.205,0.204,0.274,0.231,0.161,0.241,0.228,0.237,0.15
"No sabe",0.221,0.182,0.261,0.187,0.23,0.212,0.257,0.221,0.25,0.176,0.237,0.346,0.159,0.202,0.211,0.24
