"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P07","Al candidato del Frente de Todos",0.214,0.333,0.402,0.35,0.383,0.369,0.271,0.242,0.327
"P07","Al candidato de Juntos por el Cambio",0.329,0.3,0.29,0.255,0.354,0.138,0.441,0.398,0.229
"P07","Al candidato de los liberales - libertarios",0.301,0.183,0.211,0.292,0.123,0.332,0.138,0.286,0.232
"P07","Al candidato de la Izquierda",0.025,0.082,0.03,0.044,0.007,0.088,0.007,0.015,0.031
"P07","A otro candidato",0.041,0.004,0.027,0.025,0.036,0.045,0.024,0.016,0.059
"P07","No sabe",0.09,0.098,0.04,0.034,0.097,0.028,0.119,0.043,0.122
"P08","A Julio Zamora por el Frente de Todos",0.331,0.249,0.234,0.235,0.28,0.371,0.268,0.183,0.305
"P08","A Malena Galmarini por el Frente de Todos",0.038,0.171,0.206,0.183,0.162,0.209,0.022,0.094,0.084
"P08","A Segundo Cernadas por Cambiemos",0.186,0.22,0.271,0.132,0.271,0.207,0.36,0.271,0.125
"P08","A Nicolás Massot por Cambiemos",0.113,0.095,0.086,0.164,0.084,0,0.08,0.196,0.063
"P08","Al candidato de los liberales libertarios",0.286,0.164,0.172,0.186,0.131,0.133,0.131,0.217,0.241
"P08","A Paula Akerfeld por el Frente de Izquierda",0.019,0.098,0.013,0.042,0.011,0.048,0.007,0.016,0.03
"P08","No sabe",0.027,0.003,0.018,0.058,0.061,0.032,0.132,0.023,0.152
"P10","A Julio Zamora por el Frente de Todos",0.206,0.3,0.41,0.32,0.312,0.411,0.327,0.233,0.32
"P10","A Segundo Cernadas por Cambiemos",0.262,0.273,0.352,0.265,0.364,0.326,0.405,0.282,0.221
"P10","Al candidato de los liberales libertarios",0.355,0.194,0.11,0.241,0.099,0.071,0.123,0.232,0.238
"P10","A Paula Akerfeld por el Frente de Izquierda",0.033,0.084,0.007,0.058,0.029,0.164,0.007,0.118,0.045
"P10","No sabe",0.144,0.149,0.121,0.116,0.196,0.028,0.138,0.135,0.176
"P12","A Malena Galmarini por el Frente de Todos",0.224,0.211,0.239,0.22,0.29,0.364,0.234,0.208,0.268
"P12","A Segundo Cernadas por Cambiemos",0.3,0.215,0.328,0.364,0.399,0.245,0.424,0.388,0.211
"P12","Al candidato de los liberales libertarios",0.257,0.306,0.315,0.236,0.176,0.095,0.146,0.232,0.244
"P12","A Paula Akerfeld por el Frente de Izquierda",0.038,0.087,0.016,0.057,0.024,0.268,0.007,0.016,0.039
"P12","No sabe",0.181,0.181,0.102,0.123,0.111,0.028,0.189,0.156,0.238
"P14","Muy buena",0.079,0.036,0.063,0.101,0.09,0.285,0,0.086,0.077
"P14","Buena",0.024,0.126,0.137,0.076,0.192,0.048,0.129,0.086,0.154
"P14","Ni buena ni mala",0.212,0.19,0.193,0.208,0.13,0.208,0.204,0.119,0.21
"P14","Mala",0.161,0.139,0.163,0.225,0.213,0.21,0.215,0.087,0.142
"P14","Muy mala",0.397,0.509,0.376,0.296,0.278,0.221,0.446,0.622,0.241
"P14","No sabe",0.127,0,0.068,0.094,0.097,0.028,0.006,0,0.176
"P15","Muy buena",0.137,0.2,0.13,0.138,0.198,0.227,0.196,0.196,0.23
"P15","Buena",0.211,0.17,0.19,0.284,0.208,0.18,0.067,0.056,0.097
"P15","Ni buena ni mala",0.207,0.386,0.267,0.168,0.309,0.351,0.208,0.173,0.268
"P15","Mala",0.136,0.156,0.213,0.2,0.113,0.164,0.34,0.404,0.069
"P15","Muy mala",0.282,0.068,0.17,0.156,0.153,0.046,0.189,0.075,0.266
"P15","No sabe",0.027,0.02,0.03,0.054,0.019,0.032,0,0.096,0.07
"P16","Muy buena",0.162,0.096,0.221,0.073,0.205,0,0.1,0.024,0.102
"P16","Buena",0.112,0.142,0.17,0.106,0.209,0.343,0.474,0.489,0.195
"P16","Ni buena ni mala",0.226,0.319,0.22,0.322,0.215,0.483,0.17,0.217,0.243
"P16","Mala",0.171,0.144,0.218,0.152,0.087,0.104,0.12,0.154,0.095
"P16","Muy mala",0.115,0.26,0.104,0.23,0.184,0.02,0.094,0.093,0.143
"P16","No sabe",0.214,0.039,0.067,0.117,0.1,0.05,0.042,0.023,0.222
"P17","Muy buena",0.01,0.003,0.038,0.051,0.07,0.293,0,0,0.015
"P17","Buena",0.088,0,0.065,0.073,0.03,0,0,0.015,0.031
"P17","Ni buena ni mala",0.272,0.552,0.218,0.253,0.345,0.327,0.361,0.09,0.193
"P17","Mala",0.113,0.079,0.105,0.126,0.076,0.104,0.097,0.041,0.03
"P17","Muy mala",0.12,0.028,0.123,0.087,0.087,0.046,0.051,0.068,0.088
"P17","No sabe",0.397,0.338,0.451,0.41,0.392,0.23,0.491,0.786,0.643
"P18","Muy buena",0.102,0.099,0.096,0.063,0.056,0.116,0.097,0.04,0.05
"P18","Buena",0.121,0.037,0.133,0.135,0.13,0.119,0.092,0.391,0.059
"P18","Ni buena ni mala",0.222,0.518,0.356,0.281,0.295,0.398,0.379,0.081,0.373
"P18","Mala",0.219,0.058,0.074,0.228,0.111,0.104,0.086,0.052,0.09
"P18","Muy mala",0.05,0.162,0.081,0.077,0.1,0.046,0.081,0.131,0.102
"P18","No sabe",0.286,0.126,0.26,0.216,0.308,0.217,0.265,0.305,0.326
"P19","Muy buena",0.116,0.123,0.186,0.035,0.164,0.05,0.144,0.204,0.242
"P19","Buena",0.124,0.248,0.159,0.333,0.254,0.563,0.212,0.065,0.138
"P19","Ni buena ni mala",0.282,0.337,0.287,0.339,0.287,0.076,0.055,0.148,0.103
"P19","Mala",0.133,0.244,0.199,0.21,0.142,0.223,0.334,0.472,0.223
"P19","Muy mala",0.252,0.048,0.148,0.083,0.071,0.088,0.212,0.111,0.186
"P19","No sabe",0.093,0,0.021,0,0.082,0,0.043,0,0.108
"P20","Que continúe el intendente Julio Zamora",0.158,0.24,0.154,0.055,0.12,0.068,0.165,0.188,0.276
"P20","Que continúe Julio Zamora pero con mejoras",0.151,0.113,0.16,0.333,0.258,0.505,0.185,0.147,0.111
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.184,0.245,0.23,0.209,0.191,0.11,0.088,0.073,0.134
"P20","Que cambie el intendente Julio Zamora",0.507,0.402,0.456,0.403,0.431,0.317,0.562,0.592,0.479
"P21","Es kirchnerista",0.305,0.118,0.158,0.07,0.182,0.028,0.156,0.061,0.155
"P21","Forma parte del Frente de Todos",0.177,0.174,0.342,0.18,0.306,0.749,0.282,0.389,0.153
"P21","Es un hombre de Massa",0.08,0.23,0.181,0.207,0.143,0.05,0.124,0.027,0.137
"P21","Es un peronista independiente de centro",0.061,0.132,0.075,0.155,0.075,0,0.096,0.056,0.096
"P21","Es un oportunista y está donde le conviene",0.185,0.306,0.156,0.241,0.21,0.128,0.269,0.373,0.157
"P21","No sabe",0.192,0.04,0.088,0.147,0.084,0.045,0.073,0.094,0.302
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.249,0.192,0.165,0.254,0.056,0.097,0.207,0,0.107
"P22","Son aliados tácticos pero lo ocultan",0.111,0.195,0.162,0.174,0.151,0.387,0.112,0.296,0.107
"P22","Son adversarios políticos",0.28,0.398,0.551,0.296,0.495,0.277,0.353,0.413,0.299
"P22","No sabe",0.36,0.215,0.122,0.276,0.298,0.239,0.328,0.291,0.487
"P23","Son lo mismo, ambos son de Massa",0.352,0.255,0.344,0.268,0.342,0.068,0.279,0.009,0.228
"P23","Son aliados en el Frente de Todos pero compiten",0.202,0.383,0.313,0.284,0.275,0.538,0.243,0.259,0.182
"P23","Son enemigos porque Zamora traicionó a Massa",0.171,0.157,0.178,0.333,0.182,0.201,0.347,0.385,0.17
"P23","No sabe",0.275,0.205,0.165,0.115,0.201,0.193,0.131,0.347,0.42
"P24","La seguridad",0.311,0.378,0.176,0.148,0.311,0.06,0.323,0.064,0.103
"P24","El tránsito",0.034,0.124,0.109,0.067,0.101,0.107,0.011,0.148,0.014
"P24","El arreglo de las calles",0.065,0.054,0.162,0.326,0.062,0.209,0.048,0.034,0.071
