"var","categoria","A Julio Zamora por el Frente de Todos","A Segundo Cernadas por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.716,0.106,0.102,0.228,0.196
"P07","Al candidato de Juntos por el Cambio",0.101,0.758,0.092,0.206,0.129
"P07","Al candidato de los liberales - libertarios",0.049,0.064,0.784,0.123,0.17
"P07","Al candidato de la Izquierda",0.026,0.002,0.002,0.397,0.024
"P07","A otro candidato",0.019,0.012,0.007,0.032,0.165
"P07","No sabe",0.089,0.058,0.013,0.014,0.316
"P08","A Julio Zamora por el Frente de Todos",0.72,0.061,0.094,0.076,0.095
"P08","A Malena Galmarini por el Frente de Todos",0.185,0.098,0.049,0.307,0.182
"P08","A Segundo Cernadas por Cambiemos",0.024,0.609,0.052,0.025,0.078
"P08","A Nicolás Massot por Cambiemos",0.026,0.197,0.062,0.286,0.051
"P08","Al candidato de los liberales libertarios",0.001,0.011,0.738,0,0.238
"P08","A Paula Akerfeld por el Frente de Izquierda",0.015,0.006,0.005,0.281,0.03
"P08","No sabe",0.029,0.018,0,0.025,0.326
"P12","A Malena Galmarini por el Frente de Todos",0.469,0.114,0.116,0.117,0.197
"P12","A Segundo Cernadas por Cambiemos",0.215,0.79,0.031,0.217,0.054
"P12","Al candidato de los liberales libertarios",0.092,0.073,0.813,0,0.137
"P12","A Paula Akerfeld por el Frente de Izquierda",0.034,0.005,0.005,0.622,0.015
"P12","No sabe",0.19,0.018,0.035,0.044,0.597
"P14","Muy buena",0.183,0.014,0.013,0.037,0.128
"P14","Buena",0.199,0.078,0.005,0.039,0.113
"P14","Ni buena ni mala",0.253,0.126,0.194,0.223,0.21
"P14","Mala",0.143,0.237,0.184,0.319,0.098
"P14","Muy mala",0.138,0.501,0.495,0.187,0.259
"P14","No sabe",0.084,0.044,0.109,0.195,0.192
"P15","Muy buena",0.446,0.029,0.053,0.036,0.017
"P15","Buena",0.314,0.162,0.103,0.29,0.079
"P15","Ni buena ni mala",0.143,0.35,0.258,0.359,0.344
"P15","Mala",0.016,0.23,0.287,0.168,0.179
"P15","Muy mala",0.033,0.206,0.277,0.083,0.279
"P15","No sabe",0.048,0.023,0.022,0.064,0.102
"P16","Muy buena",0.087,0.346,0.057,0.03,0.026
"P16","Buena",0.124,0.371,0.083,0.097,0.085
"P16","Ni buena ni mala",0.257,0.192,0.351,0.339,0.286
"P16","Mala",0.166,0.036,0.229,0.241,0.116
"P16","Muy mala",0.211,0.032,0.125,0.136,0.274
"P16","No sabe",0.155,0.023,0.155,0.157,0.213
"P17","Muy buena",0.036,0.034,0.063,0.06,0.01
"P17","Buena",0.014,0.032,0.101,0.173,0.069
"P17","Ni buena ni mala",0.253,0.383,0.237,0.251,0.204
"P17","Mala",0.057,0.078,0.159,0.065,0.064
"P17","Muy mala",0.08,0.076,0.103,0.083,0.121
"P17","No sabe",0.56,0.397,0.337,0.368,0.532
"P18","Muy buena",0.053,0.098,0.052,0.142,0.055
"P18","Buena",0.075,0.188,0.05,0.078,0.095
"P18","Ni buena ni mala",0.261,0.412,0.386,0.346,0.19
"P18","Mala",0.12,0.038,0.242,0.094,0.161
"P18","Muy mala",0.15,0.074,0.028,0.143,0.126
"P18","No sabe",0.341,0.19,0.242,0.197,0.373
"P19","Muy buena",0.389,0.041,0.015,0.027,0.023
"P19","Buena",0.342,0.169,0.113,0.334,0.133
"P19","Ni buena ni mala",0.204,0.3,0.285,0.275,0.271
"P19","Mala",0.01,0.319,0.279,0.107,0.301
"P19","Muy mala",0.028,0.163,0.199,0.095,0.172
"P19","No sabe",0.027,0.008,0.109,0.162,0.1
"P20","Que continúe el intendente Julio Zamora",0.41,0.03,0.045,0.02,0.059
"P20","Que continúe Julio Zamora pero con mejoras",0.425,0.09,0.112,0.304,0.149
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.1,0.24,0.152,0.284,0.269
"P20","Que cambie el intendente Julio Zamora",0.065,0.64,0.691,0.392,0.523
"P21","Es kirchnerista",0.169,0.143,0.195,0.023,0.128
"P21","Forma parte del Frente de Todos",0.361,0.258,0.188,0.227,0.115
"P21","Es un hombre de Massa",0.132,0.266,0.12,0.059,0.054
"P21","Es un peronista independiente de centro",0.138,0.093,0.039,0.154,0.074
"P21","Es un oportunista y está donde le conviene",0.069,0.17,0.283,0.38,0.405
"P21","No sabe",0.131,0.07,0.175,0.157,0.224
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.072,0.095,0.335,0.252,0.242
"P22","Son aliados tácticos pero lo ocultan",0.14,0.087,0.251,0.125,0.182
"P22","Son adversarios políticos",0.464,0.579,0.197,0.102,0.205
"P22","No sabe",0.324,0.239,0.217,0.521,0.371
"P23","Son lo mismo, ambos son de Massa",0.124,0.41,0.362,0.163,0.298
"P23","Son aliados en el Frente de Todos pero compiten",0.426,0.19,0.236,0.109,0.197
"P23","Son enemigos porque Zamora traicionó a Massa",0.218,0.259,0.178,0.353,0.182
"P23","No sabe",0.232,0.141,0.224,0.375,0.323
"P24","La seguridad",0.262,0.227,0.263,0.007,0.157
"P24","El tránsito",0.073,0.086,0.036,0.047,0.115
"P24","El arreglo de las calles",0.151,0.146,0.078,0.233,0.106
"P24","El estado de las escuelas y la educación",0.091,0.038,0.017,0.073,0.07
"P24","El sistema de salud",0.144,0.057,0.073,0.042,0.099
"P24","El deporte y la cultura",0.116,0.107,0.174,0.076,0.101
"P24","La obra pública",0.069,0.041,0.042,0.266,0.003
"P24","La luminaria",0.038,0.084,0.089,0,0.111
"P24","No sabe",0.056,0.214,0.228,0.256,0.238
"P25","La seguridad",0.092,0.123,0.26,0.113,0.14
"P25","El tránsito",0.081,0.078,0.086,0.174,0.088
"P25","El arreglo de las calles",0.252,0.228,0.111,0.033,0.163
"P25","El estado de las escuelas y la educación",0.193,0.168,0.238,0.266,0.153
"P25","El sistema de salud",0.175,0.215,0.091,0.124,0.241
"P25","El deporte y la cultura",0.024,0.02,0.007,0.075,0.004
"P25","La obra pública",0.041,0.053,0.025,0.007,0.038
"P25","La luminaria",0.019,0.025,0.032,0.076,0.025
"P25","No sabe",0.123,0.09,0.15,0.132,0.148
"P26","Agua corriente y cloacas",0.376,0.447,0.504,0.222,0.363
"P26","Energía eléctrica",0.081,0.222,0.248,0.059,0.173
"P26","Red de gas natural",0.095,0.017,0.011,0.181,0.094
"P26","Recolección de residuos",0.157,0.159,0.105,0.306,0.193
"P26","Ninguno",0.291,0.155,0.132,0.232,0.177
"P27","Los robos",0.211,0.269,0.365,0.321,0.179
"P27","El narcotráfico",0.325,0.385,0.28,0.283,0.35
"P27","La ausencia de patrulleros y personal policial",0.161,0.167,0.166,0.046,0.194
"P27","Otro",0.17,0.144,0.134,0.173,0.118
"P27","Ninguno",0.133,0.035,0.055,0.177,0.159
"P28","Frente de Todos y el peronismo",0.555,0.087,0.125,0.484,0.251
"P28","Cambiemos",0.158,0.678,0.051,0.181,0.1
"P28","Liberales Libertarios",0.139,0.175,0.746,0.065,0.155
"P28","Izquierda",0.043,0.016,0.011,0.246,0.054
"P28","No sabe",0.105,0.044,0.067,0.024,0.44
"P30","A Alberto Fernández",0.153,0.152,0.04,0,0
"P30","A Sergio Massa",0.347,0.086,0.321,0,0.05
"P30","A algún candidato del peronismo",0.208,0.645,0.583,0.043,0.435
"P30","A algún candidato del kirchnerismo",0.292,0.117,0.056,0.957,0.515
"P31","A Alberto Fernández",0.115,0.141,0.035,0,0.171
"P31","A Sergio Massa",0.324,0.184,0.22,0,0.087
